date,open,high,low,close,volume
2018-01-02,5.964,5.9833,5.8963,5.906,1295976
2018-01-03,5.906,5.9447,5.819,5.8383,1170509
2018-01-04,5.8577,5.9157,5.8577,5.877,945617
2018-01-05,5.9157,5.9324,5.8867,5.9253,615367
2018-01-08,5.9253,5.9737,5.906,5.9543,713290
2018-01-09,5.9543,5.964,5.9157,5.9157,419398
2018-01-10,5.8673,5.9157,5.8383,5.8963,1063035
2018-01-11,5.8963,5.935,5.8673,5.935,882840
2018-01-12,5.906,5.935,5.8673,5.8673,639387
2018-01-16,5.906,5.9253,5.8093,5.819,1171718
2018-01-17,5.8287,5.877,5.8287,5.8577,625426
2018-01-18,5.8867,5.8867,5.7997,5.8093,859052
2018-01-19,5.7997,5.8577,5.7997,5.8383,711434
2018-01-22,5.8287,5.8577,5.819,5.819,468855
2018-01-23,5.819,5.9157,5.819,5.877,823883
2018-01-24,5.8963,5.9,5.819,5.8673,735447
2018-01-25,5.8867,5.8867,5.819,5.8287,660198
2018-01-26,5.819,5.8383,5.7803,5.8093,1204866
2018-01-29,5.8093,5.8093,5.6643,5.674,1703481
2018-01-30,5.6643,5.703,5.6063,5.6353,1149989
2018-01-31,5.6547,5.6643,5.4517,5.5097,1747575
2018-02-01,5.4807,5.5483,5.4324,5.442,1003997
2018-02-02,5.4227,5.4227,5.3357,5.355,1344462
2018-02-05,5.297,5.384,5.239,5.3164,2633325
2018-02-06,5.239,5.3357,5.1714,5.297,2419542
2018-02-07,5.3067,5.3937,5.2777,5.3357,1083793
2018-02-08,5.3357,5.3647,5.268,5.2777,902057
2018-02-09,5.3164,5.326,5.1907,5.268,1101210
2018-02-12,5.3164,5.355,5.2294,5.3357,743815
2018-02-13,5.3357,5.413,5.297,5.384,844949
2018-02-14,5.3744,5.442,5.3454,5.413,653295
2018-02-15,5.442,5.529,5.413,5.5193,859116
2018-02-16,5.5387,5.5677,5.5097,5.529,797216
2018-02-20,5.529,5.5493,5.355,5.355,1121139
2018-02-21,5.5,5.5967,5.4308,5.471,1529051
2018-02-22,5.5097,5.5483,5.4517,5.4614,689382
2018-02-23,5.4614,5.529,5.4614,5.5097,614245
2018-02-26,5.5193,5.587,5.5097,5.5677,678422
2018-02-27,5.6063,5.6063,5.4517,5.4517,651096
2018-02-28,5.4517,5.5,5.326,5.326,870161
2018-03-01,5.3164,5.384,5.2874,5.3454,875141
2018-03-02,5.3164,5.4614,5.2903,5.4517,992121
2018-03-05,5.703,5.8432,5.674,5.8093,7067446
2018-03-06,5.819,5.8577,5.6837,5.848,21205567
2018-03-07,5.79,5.877,5.7417,5.819,2928277
2018-03-08,5.819,5.8335,5.7513,5.7707,2099259
2018-03-09,5.7803,5.7997,5.6837,5.7997,1521037
2018-03-12,5.7997,5.8867,5.79,5.848,1847890
2018-03-13,5.8673,5.8722,5.8093,5.848,1397491
2018-03-14,5.848,5.8867,5.819,5.8577,2262648
2018-03-15,5.8577,5.8696,5.7513,5.7803,2314257
2018-03-16,5.7803,5.8577,5.7417,5.7997,3960650
2018-03-19,5.79,5.79,5.7223,5.761,1271211
2018-03-20,5.79,5.819,5.7127,5.7417,1112199
2018-03-21,5.7513,5.7803,5.732,5.7513,1223171
2018-03-22,5.732,5.8093,5.7223,5.7513,1499762
2018-03-23,5.7707,5.7997,5.7223,5.7223,1196869
2018-03-26,5.7803,5.7997,5.7223,5.79,1609706
2018-03-27,5.79,5.8577,5.7562,5.79,1484901
2018-03-28,5.82,5.89,5.75,5.88,1630394
2018-03-29,5.85,5.99,5.831,5.93,1962114
2018-04-02,5.9,5.925,5.81,5.83,1362909
2018-04-03,5.87,5.91,5.8,5.89,1430961
2018-04-04,5.84,5.96,5.84,5.95,1097202
2018-04-05,5.97,6.0,5.93,5.94,1112402
2018-04-06,5.93,6.0,5.92,5.95,773456
2018-04-09,5.97,5.989,5.91,5.92,1096792
2018-04-10,5.97,5.97,5.925,5.95,882573
2018-04-11,5.95,5.96,5.925,5.96,858037
2018-04-12,5.98,5.98,5.92,5.93,573601
2018-04-13,5.95,5.95,5.875,5.92,620847
2018-04-16,5.94,5.98,5.91,5.96,729376
2018-04-17,5.96,6.05,5.95,6.03,1036149
2018-04-18,6.04,6.09,6.03,6.04,811288
2018-04-19,6.03,6.065,5.985,6.03,770307
2018-04-20,6.01,6.04,5.9834,6.02,606098
2018-04-23,6.03,6.03,5.99,6.0,391328
2018-04-24,6.02,6.03,5.99,6.03,1795816
2018-04-25,6.02,6.03,5.98,6.01,903181
2018-04-26,6.03,6.08,6.0,6.05,862640
2018-04-27,6.07,6.105,6.05,6.09,1001461
2018-04-30,6.1,6.11,6.05,6.06,1032025
2018-05-01,6.07,6.08,5.99,6.06,893338
2018-05-02,6.04,6.07,5.98,5.99,1334968
2018-05-03,6.0,6.065,5.97,6.02,1281363
2018-05-04,6.06,6.2,6.06,6.18,2190900
2018-05-07,6.18,6.245,6.15,6.22,968565
2018-05-08,6.23,6.25,6.18,6.18,674104
2018-05-09,6.18,6.21,6.06,6.12,1269462
2018-05-10,6.14,6.15,6.09,6.15,1392474
2018-05-11,6.17,6.175,6.12,6.13,996927
2018-05-14,6.14,6.16,6.1,6.1,983593
2018-05-15,6.09,6.14,6.08,6.13,1377624
2018-05-16,6.14,6.17,6.115,6.17,1236172
2018-05-17,6.17,6.2,6.1438,6.16,1417750
