symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
OXLC,2017-06-05,9.1246,9.1412,False,9.0495,9.0912,reg,311541
OXLC,2017-06-06,9.1246,9.1641,False,9.0882,9.0912,reg,232001
OXLC,2017-06-07,9.1329,9.1579,False,9.1079,9.1412,reg,220794
OXLC,2017-06-08,9.0912,9.1329,False,9.0829,9.1246,reg,208230
OXLC,2017-06-09,9.0912,9.1329,False,9.0578,9.1079,reg,215865
OXLC,2017-06-12,9.0912,9.1246,False,9.0745,9.0912,reg,299015
OXLC,2017-06-13,9.0495,9.1246,False,9.0412,9.0995,reg,592609
OXLC,2017-06-14,9.0755,9.2010,False,8.8417,9.0149,reg,328803
OXLC,2017-06-15,9.0928,9.1274,False,9.0495,9.0755,reg,138221
OXLC,2017-06-16,8.7377,9.0062,False,8.0883,8.8590,reg,783546
OXLC,2017-06-19,8.6598,8.7234,False,8.4693,8.7031,reg,388740
OXLC,2017-06-20,8.6425,8.6511,False,8.4746,8.6511,reg,176866
OXLC,2017-06-21,8.4693,8.6425,False,8.2268,8.6425,reg,509254
OXLC,2017-06-22,8.3480,8.5299,False,8.2615,8.4433,reg,293267
OXLC,2017-06-23,8.3740,8.4692,False,8.3134,8.3480,reg,195217
OXLC,2017-06-26,8.4520,8.6165,False,8.4520,8.5039,reg,165453
OXLC,2017-06-27,8.4346,8.5299,False,8.3567,8.4520,reg,144816
OXLC,2017-06-28,8.3827,8.5732,False,8.3567,8.4606,reg,144090
OXLC,2017-06-29,8.4000,8.4606,False,8.3480,8.4000,reg,104275
OXLC,2017-06-30,8.5819,8.5992,False,8.4433,8.5559,reg,239895
OXLC,2017-07-05,9.0495,9.1621,False,8.8676,8.9975,reg,204346
OXLC,2017-07-06,9.0668,9.1707,False,8.8339,9.0928,reg,166968
OXLC,2017-07-07,8.9283,9.0062,False,8.8330,8.9975,reg,125876
OXLC,2017-07-10,9.0841,9.1015,False,8.7897,8.7897,reg,162150
OXLC,2017-07-11,9.0928,9.1361,False,9.0322,9.0668,reg,90472
OXLC,2017-07-12,9.1447,9.1794,False,9.0659,9.0928,reg,84855
OXLC,2017-07-13,9.1015,9.1707,False,9.0062,9.1707,reg,101813
OXLC,2017-07-14,9.0322,9.1274,False,8.9456,9.1274,reg,79700
OXLC,2017-07-17,9.0062,9.0322,False,8.8417,9.0322,reg,121980
OXLC,2017-07-18,8.9975,9.1101,False,8.9352,9.0322,reg,91752
OXLC,2017-07-19,9.0841,9.1361,False,8.9981,9.0495,reg,122622
OXLC,2017-07-20,9.0928,9.1361,False,9.0322,9.1361,reg,62556
OXLC,2017-07-21,9.1015,9.1706,False,9.0755,9.1274,reg,71416
OXLC,2017-07-24,9.0062,9.1015,False,8.9456,9.1015,reg,120764
OXLC,2017-07-25,9.0235,9.0495,False,8.9802,9.0062,reg,62337
OXLC,2017-07-26,8.9889,9.0495,False,8.9716,9.0149,reg,102322
OXLC,2017-07-27,9.0149,9.0149,False,8.8763,8.9975,reg,113930
OXLC,2017-07-28,8.9802,9.0495,False,8.9425,9.0495,reg,64521
OXLC,2017-07-31,9.0235,9.0408,False,8.9580,8.9975,reg,57809
OXLC,2017-08-01,9.0408,9.0928,False,8.9975,9.0495,reg,89837
OXLC,2017-08-02,8.9975,9.1032,False,8.9716,9.0235,reg,88373
OXLC,2017-08-03,8.9802,9.0668,False,8.9629,9.0062,reg,100267
OXLC,2017-08-04,9.0495,9.0841,False,9.0071,9.0582,reg,107878
