symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PEZ,2017-07-20,45.346100,45.405800,False,45.286500,45.286500,reg,2108
PEZ,2017-07-21,45.316300,45.316300,False,45.137300,45.137300,reg,1532
PEZ,2017-07-24,45.992500,45.992500,False,45.753800,45.753800,reg,2413
PEZ,2017-07-25,46.072100,46.111800,False,45.943800,45.992500,reg,2755
PEZ,2017-07-26,46.201300,46.201300,False,46.082000,46.082000,reg,976
PEZ,2017-07-27,45.942800,46.499700,False,45.644500,46.171500,reg,1496
PEZ,2017-07-28,45.883100,46.012400,False,45.694200,45.694200,reg,14679
PEZ,2017-07-31,45.803600,46.091900,False,45.743900,46.082000,reg,2182
PEZ,2017-08-01,45.843300,45.843300,False,45.803600,45.803600,reg,519
PEZ,2017-08-02,45.475400,45.793600,False,45.157200,45.743900,reg,3813
PEZ,2017-08-03,45.835000,45.893100,False,45.733900,45.743900,reg,3834
PEZ,2017-08-04,45.783700,45.901300,False,45.753800,45.813500,reg,14227
PEZ,2017-08-07,45.982600,46.052200,False,45.942800,45.942800,reg,1413
PEZ,2017-08-08,45.893100,46.082000,False,45.893100,46.082000,reg,2240
PEZ,2017-08-09,45.584800,45.704100,False,45.077600,45.475400,reg,1778
PEZ,2017-08-10,45.117400,45.316300,False,44.863400,45.316300,reg,2423
PEZ,2017-08-11,45.177100,45.177100,False,44.918500,44.918500,reg,1982
PEZ,2017-08-14,45.667100,45.674300,False,45.644500,45.664300,reg,1130
PEZ,2017-08-15,45.269700,45.356100,False,45.251700,45.356100,reg,1514
PEZ,2017-08-16,45.395800,45.445600,False,45.246700,45.246700,reg,1477
PEZ,2017-08-17,44.490900,45.167100,False,44.391500,45.057700,reg,8305
PEZ,2017-08-18,44.490900,44.667200,False,44.282100,44.282100,reg,3305
PEZ,2017-08-21,44.391500,44.411400,False,44.222400,44.384200,reg,2647
PEZ,2017-08-22,44.988100,44.988100,False,44.699700,44.729600,reg,3749
PEZ,2017-08-23,44.650000,44.650000,False,44.482400,44.605300,reg,649
PEZ,2017-08-24,44.510800,44.557400,False,44.441200,44.530700,reg,2325
PEZ,2017-08-25,44.371600,44.371600,False,44.252200,44.284900,reg,1531
PEZ,2017-08-28,44.123000,44.212500,False,44.083200,44.132900,reg,6205
PEZ,2017-08-29,44.103100,44.142900,False,43.973800,43.973800,reg,1585
PEZ,2017-08-30,44.451100,44.451100,False,44.257200,44.257200,reg,1460
PEZ,2017-08-31,44.886700,44.918500,False,44.858800,44.883700,reg,545
PEZ,2017-09-01,45.197000,45.197000,False,44.978200,44.978200,reg,538
PEZ,2017-09-05,45.157200,45.221800,False,44.660000,45.221800,reg,3330
PEZ,2017-09-06,45.047800,45.047800,False,44.819100,44.829000,reg,7370
PEZ,2017-09-07,45.629800,45.654400,False,45.206900,45.206900,reg,2435
PEZ,2017-09-08,45.793600,45.798600,False,45.694600,45.742600,reg,2061
PEZ,2017-09-11,46.101900,46.151600,False,46.012400,46.012400,reg,1112
PEZ,2017-09-12,46.569300,46.569300,False,46.340600,46.360400,reg,1572
PEZ,2017-09-13,46.509600,46.509600,False,46.469800,46.469800,reg,982
PEZ,2017-09-14,46.380300,46.519600,False,46.331600,46.519600,reg,1266
PEZ,2017-09-15,46.397600,46.397600,False,46.161600,46.161600,reg,1625
PEZ,2017-09-18,46.564500,46.674200,False,46.524600,46.674200,reg,5023
PEZ,2017-09-19,46.644300,46.677200,False,46.514600,46.524600,reg,2603
PEZ,2017-09-20,46.923500,46.923500,False,46.644300,46.644300,reg,924
PEZ,2017-09-21,46.711100,46.711100,False,46.634300,46.639300,reg,1191
PEZ,2017-09-22,46.694100,46.704100,False,46.679200,46.704100,reg,448
PEZ,2017-09-25,46.014000,46.014000,False,46.014000,46.014000,reg,397
PEZ,2017-09-26,46.205500,46.365000,False,46.145600,46.365000,reg,1978
PEZ,2017-09-27,46.843700,46.893600,False,46.444800,46.524600,reg,2682
PEZ,2017-09-28,46.744000,46.744400,False,46.655200,46.655200,reg,1126
PEZ,2017-09-29,46.744000,46.744000,False,46.744000,46.744000,reg,124
PEZ,2017-10-02,47.392300,47.392300,False,47.123000,47.142900,reg,2674
PEZ,2017-10-03,47.651600,47.651600,False,47.492000,47.492000,reg,2781
PEZ,2017-10-04,47.920800,47.920800,False,47.791200,47.813500,reg,1436
PEZ,2017-10-05,48.110300,48.200100,False,48.090400,48.163800,reg,1494
PEZ,2017-10-06,48.240000,48.279900,False,48.240000,48.274900,reg,576
PEZ,2017-10-09,47.900900,48.130300,False,47.900900,48.110300,reg,1792
PEZ,2017-10-10,47.746300,47.746300,False,47.728400,47.728400,reg,1306
PEZ,2017-10-11,47.781200,47.827600,False,47.781200,47.827600,reg,1588
PEZ,2017-10-12,47.781200,47.781200,False,47.781200,47.781200,reg,23
PEZ,2017-10-13,47.980700,48.010600,False,47.943500,47.960700,reg,1806
PEZ,2017-10-16,48.000600,48.180100,False,47.890900,48.180100,reg,522
PEZ,2017-10-17,47.781200,48.160200,False,47.781200,48.160200,reg,1501
PEZ,2017-10-18,47.947800,47.947800,False,47.947800,47.947800,reg,258
PEZ,2017-10-19,47.821100,47.821100,False,47.621600,47.621600,reg,2312
PEZ,2017-10-20,48.294800,48.294800,False,48.259900,48.259900,reg,1450
PEZ,2017-10-23,48.075400,48.075400,False,48.075400,48.075400,reg,1456
PEZ,2017-10-24,48.200100,48.279900,False,47.950800,47.950800,reg,1041
PEZ,2017-10-25,47.511900,47.511900,False,47.442100,47.442100,reg,1126
PEZ,2017-10-26,47.771200,47.841100,False,47.701400,47.701400,reg,942
PEZ,2017-10-27,48.180100,48.180100,False,47.701400,47.701400,reg,2458
PEZ,2017-10-30,48.040500,48.050500,False,47.941800,47.941800,reg,1245
PEZ,2017-10-31,48.678800,48.678800,False,48.150200,48.150200,reg,3392
PEZ,2017-11-01,48.618900,48.928100,False,48.501300,48.928100,reg,2887
PEZ,2017-11-02,48.200100,48.439400,False,47.940800,48.439400,reg,8942
PEZ,2017-11-03,48.200100,48.200100,False,48.200100,48.200100,reg,113
PEZ,2017-11-06,48.638900,48.788500,False,48.638900,48.678800,reg,545
PEZ,2017-11-07,47.900900,48.579100,False,47.900900,48.579100,reg,319
PEZ,2017-11-08,48.230000,48.240000,False,48.001600,48.170200,reg,1910
PEZ,2017-11-09,47.801200,47.801200,False,47.581800,47.601700,reg,2250
PEZ,2017-11-10,47.711400,47.877700,False,47.691500,47.877700,reg,1175
PEZ,2017-11-13,47.950800,47.980700,False,47.771200,47.771200,reg,832
PEZ,2017-11-14,48.092800,48.100400,False,47.910900,47.910900,reg,1155
PEZ,2017-11-15,47.890900,47.890900,False,47.771200,47.771200,reg,2977
PEZ,2017-11-16,48.309800,48.309800,False,48.309800,48.309800,reg,594
PEZ,2017-11-17,48.309800,48.309800,False,48.309800,48.309800,reg,60
PEZ,2017-11-20,48.309800,48.309800,False,48.309800,48.309800,reg,30
PEZ,2017-11-21,49.167500,49.217200,False,49.117600,49.117600,reg,1889
PEZ,2017-11-22,49.167500,49.167500,False,49.167500,49.167500,reg,23
PEZ,2017-11-24,49.315100,49.315100,False,49.315100,49.315100,reg,193
PEZ,2017-11-27,49.259500,49.259500,False,49.259500,49.259500,reg,266
PEZ,2017-11-28,49.676100,49.676100,False,49.676100,49.676100,reg,333
PEZ,2017-11-29,49.237300,49.540600,False,49.177500,49.506600,reg,1320
PEZ,2017-11-30,49.606300,49.636200,False,49.376900,49.426800,reg,15863
PEZ,2017-12-01,49.496600,49.706000,False,48.748600,49.546500,reg,2594
PEZ,2017-12-04,49.157500,50.025200,False,49.097700,50.025200,reg,330701
PEZ,2017-12-05,49.347000,49.560800,False,49.217300,49.476600,reg,75618
PEZ,2017-12-06,49.147500,49.297100,False,49.097700,49.192400,reg,444884
PEZ,2017-12-07,49.714000,49.855600,False,49.396900,49.396900,reg,7779
PEZ,2017-12-08,49.745900,50.065100,False,49.735900,50.065100,reg,7248
PEZ,2017-12-11,49.965300,50.055100,False,49.706000,50.035100,reg,12746
PEZ,2017-12-12,49.805800,50.015200,False,49.785800,50.015200,reg,2872
PEZ,2017-12-13,49.915500,50.065100,False,49.915500,49.935400,reg,2865
PEZ,2017-12-14,49.656200,50.065100,False,49.656200,50.035100,reg,8499
PEZ,2017-12-15,50.025200,50.095000,False,49.895500,49.930400,reg,12906
PEZ,2017-12-18,50.791600,50.791600,False,50.502100,50.581900,reg,16098
PEZ,2017-12-19,50.282400,50.641800,False,50.282400,50.641800,reg,2657
PEZ,2017-12-20,50.282400,50.432200,False,50.139300,50.139300,reg,28668
PEZ,2017-12-21,50.532000,50.636800,False,50.302400,50.392200,reg,10770
