date,open,high,low,close,volume
2018-01-02,1.1,1.1,1.04,1.04,145462
2018-01-03,1.06,1.08,1.04,1.06,190462
2018-01-04,1.06,1.1438,1.0599,1.08,660703
2018-01-05,1.09,1.11,1.08,1.08,184846
2018-01-08,1.08,1.12,1.07,1.0801,185525
2018-01-09,1.09,1.1,1.04,1.07,285621
2018-01-10,1.05,1.07,1.03,1.03,176150
2018-01-11,1.04,1.06,1.03,1.03,298781
2018-01-12,1.04,1.06,1.02,1.045,336534
2018-01-16,1.05,1.1467,1.03,1.05,459681
2018-01-17,1.05,1.07,1.03,1.04,87084
2018-01-18,1.05,1.05,1.03,1.04,129792
2018-01-19,1.02,1.04,1.01,1.015,210656
2018-01-22,1.03,1.14,1.02,1.07,501358
2018-01-23,1.09,1.17,1.05,1.08,569668
2018-01-24,1.11,1.25,1.09,1.23,872078
2018-01-25,1.22,1.2399,1.15,1.15,346328
2018-01-26,1.16,1.177,1.08,1.13,215270
2018-01-29,1.13,1.13,1.11,1.12,102393
2018-01-30,1.12,1.1299,1.09,1.09,106417
2018-01-31,1.09,1.1,1.04,1.04,191038
2018-02-01,1.05,1.07,1.04,1.05,172447
2018-02-02,1.07,1.07,1.0,1.04,221654
2018-02-05,1.05,1.05,0.78,1.0,348519
2018-02-06,0.99,0.99,0.9,0.9101,261168
2018-02-07,0.8946,0.94,0.8801,0.92,123574
2018-02-08,0.92,0.94,0.86,0.88,149663
2018-02-09,0.91,0.91,0.8101,0.8632,106422
2018-02-12,0.9,0.9,0.8295,0.8401,99421
2018-02-13,0.85,0.8988,0.84,0.85,63593
2018-02-14,0.86,0.88,0.8435,0.88,133195
2018-02-15,0.87,0.8985,0.85,0.8699,115871
2018-02-16,0.8599,0.9099,0.8599,0.87,141762
2018-02-20,0.85,0.9,0.85,0.8555,131114
2018-02-21,0.8623,0.945,0.85,0.92,658522
2018-02-22,0.91,0.95,0.85,0.85,133125
2018-02-23,0.855,0.94,0.855,0.89,92157
2018-02-26,0.9,0.9,0.86,0.865,115273
2018-02-27,0.86,0.8896,0.8402,0.8415,65978
2018-02-28,0.84,0.8737,0.82,0.82,45133
2018-03-01,0.83,0.83,0.8001,0.802,69250
2018-03-02,0.8,0.83,0.8,0.81,37172
2018-03-05,0.8294,0.8785,0.81,0.82,91679
2018-03-06,0.84,0.8499,0.8,0.802,114531
2018-03-07,0.82,0.8449,0.802,0.81,46285
2018-03-08,0.8139,0.86,0.8139,0.8301,148037
2018-03-09,0.8352,0.8683,0.8,0.8,221551
2018-03-12,0.885,1.11,0.86,0.9201,2803857
2018-03-13,0.92,0.99,0.86,0.8602,500629
2018-03-14,0.9598,0.9598,0.8901,0.9201,533616
2018-03-15,0.9438,0.95,0.9,0.9005,211898
2018-03-16,0.9012,0.919478,0.89,0.893,131153
2018-03-19,0.8987,0.91,0.89,0.895,116843
2018-03-20,0.9,0.9098,0.87,0.87,154138
2018-03-21,0.87,0.9,0.86,0.86,144377
2018-03-22,0.8561,0.88,0.85,0.8516,146332
2018-03-23,0.85,0.852,0.83,0.8474,136966
2018-03-26,0.85,0.86,0.8226,0.83,89123
2018-03-27,0.8394,0.85,0.83,0.84,92492
2018-03-28,0.845,0.845,0.792,0.8,146042
2018-03-29,0.8017,0.845,0.7616,0.8,182738
2018-04-02,0.7942,0.8,0.765,0.765,113047
2018-04-03,0.78,0.8,0.777,0.7975,90825
2018-04-04,0.79,0.8,0.7651,0.8,92837
2018-04-05,0.78,0.8102,0.77,0.7802,191778
2018-04-06,0.7965,0.801,0.79,0.8,91763
2018-04-09,0.8,0.8025,0.77,0.7811,89797
2018-04-10,0.78,0.78,0.7,0.73,199865
2018-04-11,0.72,0.79,0.72,0.783,252624
2018-04-12,0.77,0.79,0.7225,0.73,150984
2018-04-13,0.73,0.7499,0.7285,0.73,101566
2018-04-16,0.75,0.78,0.7337,0.7501,40666
2018-04-17,0.74,0.76,0.73,0.7401,58634
2018-04-18,0.735,0.76,0.7285,0.731,28715
2018-04-19,0.73,0.7495,0.73,0.7385,30737
2018-04-20,0.7425,0.762,0.735,0.762,82337
2018-04-23,0.7562,0.78,0.735,0.762,107974
2018-04-24,0.78,0.7895,0.74,0.76,173492
2018-04-25,0.7888,0.789,0.74,0.745,81508
2018-04-26,0.735,0.76,0.735,0.748,17253
2018-04-27,0.735,0.75,0.735,0.75,45935
2018-04-30,0.75,0.78,0.7324,0.7699,52197
2018-05-01,0.74,0.78,0.74,0.76,57022
2018-05-02,0.78,0.78,0.74,0.75,31308
2018-05-03,0.74,0.76,0.74,0.76,20697
2018-05-04,0.76,0.7795,0.75,0.76,44686
2018-05-07,0.75,0.7795,0.735,0.7439,74651
2018-05-08,0.74,0.76,0.74,0.7515,22248
2018-05-09,0.77,0.77,0.705,0.705,36264
2018-05-10,0.71,0.76,0.71,0.73,17492
2018-05-11,0.715,0.7474,0.7,0.7351,112064
2018-05-14,0.75,0.75,0.7125,0.7253,37114
2018-05-15,0.72,0.76,0.7,0.76,104876
2018-05-16,0.8,0.8195,0.76,0.765,311211
2018-05-17,0.765,0.82,0.76,0.78,56506
