date,open,high,low,close,volume
2018-01-02,12.67,12.67,12.32,12.48,124591
2018-01-03,12.44,12.49,12.34,12.42,136359
2018-01-04,12.45,12.5,12.35,12.45,95009
2018-01-05,12.45,12.64,12.45,12.56,117965
2018-01-08,12.55,12.98,12.5,12.7,253295
2018-01-09,12.74,13.0,12.6748,12.92,913680
2018-01-10,12.85,12.9,12.47,12.6,382889
2018-01-11,12.6,12.84,12.5,12.83,210406
2018-01-12,12.84,13.19,12.53,13.1,383766
2018-01-16,13.1,13.32,12.93,12.95,318597
2018-01-17,13.01,13.16,12.83,13.1,231172
2018-01-18,13.06,13.06,12.96,12.98,145734
2018-01-19,12.99,13.14,12.92,13.1,278271
2018-01-22,13.05,13.2,13.03,13.16,134809
2018-01-23,13.13,13.29,13.05,13.25,180538
2018-01-24,13.29,13.35,13.11,13.33,173903
2018-01-25,13.39,13.48,13.02,13.1,161070
2018-01-26,13.11,13.2,12.94,13.16,91572
2018-01-29,13.14,13.15,12.96,13.02,121573
2018-01-30,12.94,13.15,12.81,13.03,110297
2018-01-31,13.08,13.16,12.92,12.97,91713
2018-02-01,13.01,13.12,12.82,12.99,134496
2018-02-02,12.95,12.95,12.55,12.58,124730
2018-02-05,12.5,12.62,12.33,12.34,205204
2018-02-06,12.21,12.63,12.17,12.6,189106
2018-02-07,12.55,12.55,12.4,12.42,113224
2018-02-08,12.43,12.52,12.1,12.14,170545
2018-02-09,12.24,12.35,12.05,12.2,176072
2018-02-12,12.22,12.3235,12.12,12.27,145219
2018-02-13,12.21,12.34,12.15,12.25,97643
2018-02-14,12.23,12.33,12.13,12.27,97623
2018-02-15,12.35,12.45,12.15,12.43,84200
2018-02-16,12.4,12.8,12.4,12.72,121957
2018-02-20,12.66,12.7,12.57,12.63,83371
2018-02-21,12.64,12.79,12.5368,12.61,117092
2018-02-22,12.62,12.62,12.38,12.46,120098
2018-02-23,12.53,12.53,12.33,12.36,144936
2018-02-26,12.29,12.57,12.29,12.53,149878
2018-02-27,12.53,12.58,12.3,12.32,58821
2018-02-28,12.33,12.35,12.18,12.18,120485
2018-03-01,12.2,12.47,12.2,12.4,145269
2018-03-02,12.35,12.78,12.35,12.76,90311
2018-03-05,12.74,12.96,12.68,12.91,99534
2018-03-06,12.94,13.0,12.72,12.94,155903
2018-03-07,12.5,12.7,11.64,12.21,924789
2018-03-08,12.2,12.27,11.7501,11.955,266343
2018-03-09,11.98,12.07,11.83,11.95,185887
2018-03-12,11.94,12.0606,11.89,11.95,183127
2018-03-13,11.96,12.035,11.65,11.74,154867
2018-03-14,11.85,12.21,11.78,11.95,217942
2018-03-15,11.94,12.06,11.61,11.67,108751
2018-03-16,11.65,11.89,11.57,11.76,438410
2018-03-19,11.71,11.92,11.66,11.91,114219
2018-03-20,11.92,11.92,11.31,11.34,190313
2018-03-21,11.31,11.439,11.16,11.25,295946
2018-03-22,11.18,11.67,11.18,11.47,303511
2018-03-23,11.46,11.67,11.4,11.43,220712
2018-03-26,11.48,11.58,11.41,11.52,248676
2018-03-27,11.53,11.56,11.43,11.45,78652
2018-03-28,11.47,11.7,11.46,11.61,99562
2018-03-29,11.64,11.79,11.64,11.71,115420
2018-04-02,11.69,11.88,11.65,11.77,193156
2018-04-03,11.81,11.92,11.715,11.91,89815
2018-04-04,11.8,12.31,11.8,12.28,208992
2018-04-05,12.27,12.4,12.1,12.19,152277
2018-04-06,12.17,12.38,12.16,12.2,100643
2018-04-09,12.21,12.35,12.115,12.22,86578
2018-04-10,12.28,12.33,12.095,12.11,132511
2018-04-11,12.06,12.21,12.0,12.03,81096
2018-04-12,12.05,12.16,11.91,11.95,62813
2018-04-13,11.93,12.09,11.87,11.97,109584
2018-04-16,12.02,12.38,11.85,12.28,184037
2018-04-17,12.33,12.53,11.5175,12.34,292650
2018-04-18,12.35,12.38,12.17,12.19,153767
2018-04-19,12.17,12.4,12.05,12.37,165870
2018-04-20,12.31,12.53,12.25,12.51,166818
2018-04-23,12.54,12.55,12.41,12.52,137321
2018-04-24,12.54,12.65,12.41,12.54,131489
2018-04-25,12.53,12.67,12.485,12.65,183164
2018-04-26,12.62,12.88,12.4948,12.69,109776
2018-04-27,12.69,12.92,12.66,12.8,113601
2018-04-30,12.8,13.1,12.795,13.04,182971
2018-05-01,13.0,13.18,12.895,13.15,135578
2018-05-02,13.1,13.155,13.01,13.11,116848
2018-05-03,13.1,13.29,13.09,13.27,76158
2018-05-04,13.26,13.44,13.11,13.41,122566
2018-05-07,13.5,13.63,13.0925,13.24,214633
2018-05-08,13.25,13.729,13.25,13.55,459425
2018-05-09,13.78,15.0,13.75,14.48,988599
2018-05-10,14.5,14.83,14.16,14.36,296472
2018-05-11,14.42,14.66,14.14,14.22,346572
2018-05-14,14.43,14.58,13.96,13.99,232867
2018-05-15,13.25,14.22,13.25,14.11,334159
2018-05-16,14.19,14.4,14.08,14.3,212165
2018-05-17,14.35,14.7,14.1,14.54,369914
