date,open,high,low,close,volume
2018-01-02,38.13,38.185,36.5,37.8,480442
2018-01-03,37.85,39.68,37.655,39.28,295076
2018-01-04,39.4,39.65,38.0,38.29,271591
2018-01-05,38.3,38.58,37.54,37.67,275375
2018-01-08,37.44,37.44,35.11,36.6,302243
2018-01-09,36.93,37.48,35.93,37.02,339481
2018-01-10,36.71,38.32,36.36,38.26,163102
2018-01-11,38.45,39.83,38.02,39.62,373543
2018-01-12,39.4,42.16,38.4,41.33,484159
2018-01-16,41.49,43.345,39.77,39.95,576260
2018-01-17,40.49,40.965,39.35,40.1,528804
2018-01-18,40.0,40.76,39.16,39.69,372138
2018-01-19,39.56,39.93,38.73,39.52,334434
2018-01-22,39.83,41.6,39.38,41.51,303893
2018-01-23,41.7,45.15,41.24,44.45,655431
2018-01-24,44.34,44.93,43.155,43.72,303467
2018-01-25,44.23,44.91,43.71,44.05,268435
2018-01-26,44.13,45.35,43.775,45.04,268637
2018-01-29,44.93,46.14,44.495,44.57,203644
2018-01-30,43.97,44.7,42.61,42.89,309617
2018-01-31,42.97,43.31,41.57,41.8,277105
2018-02-01,41.63,42.0,40.07,40.32,381787
2018-02-02,39.67,40.98,39.47,39.6,323342
2018-02-05,38.83,39.0,29.8301,32.14,3920675
2018-02-06,31.11,32.45,27.19,29.13,2081319
2018-02-07,28.92,30.2,28.13,29.8,1504054
2018-02-08,30.19,30.38,27.94,27.95,560912
2018-02-09,28.23,28.77,27.59,28.19,982723
2018-02-12,28.27,29.8,27.94,29.49,500302
2018-02-13,29.31,29.81,28.02,29.74,486605
2018-02-14,29.33,31.075,29.01,30.95,363711
2018-02-15,32.98,35.42,31.38,32.11,571672
2018-02-16,31.81,34.4349,31.4505,33.2,434872
2018-02-20,32.82,33.92,32.66,33.06,364905
2018-02-21,33.01,34.1,32.86,33.1,217529
2018-02-22,33.55,34.55,33.17,33.65,178670
2018-02-23,33.95,34.7,33.36,34.61,189428
2018-02-26,34.66,35.72,33.84,35.1,258733
2018-02-27,35.0,35.49,33.8,34.75,360328
2018-02-28,34.85,34.97,33.66,33.69,293165
2018-03-01,33.67,33.86,32.45,33.06,396675
2018-03-02,32.75,34.43,32.05,33.84,388258
2018-03-05,33.74,34.54,33.49,33.84,352924
2018-03-06,33.91,35.07,33.41,34.03,338533
2018-03-07,33.67,34.15,33.035,33.69,210785
2018-03-08,33.87,34.73,33.57,34.69,389943
2018-03-09,35.1,35.4,34.46,35.06,232220
2018-03-12,35.12,35.22,34.351,35.02,183041
2018-03-13,35.24,35.31,34.25,34.59,161808
2018-03-14,34.84,34.915,33.81,34.66,180539
2018-03-15,34.9,35.31,34.15,34.91,389291
2018-03-16,34.92,36.03,34.43,35.13,969554
2018-03-19,34.9,35.045,32.54,33.17,441306
2018-03-20,33.23,34.09,33.0,33.85,353361
2018-03-21,40.89,41.5,37.36,38.72,3271102
2018-03-22,38.32,39.57,37.71,38.22,667706
2018-03-23,38.61,39.92,37.8875,38.21,558154
2018-03-26,38.78,39.67,37.75,39.34,754440
2018-03-27,39.69,39.69,37.39,37.68,454255
2018-03-28,37.52,37.82,35.865,36.52,499081
2018-03-29,36.89,37.94,35.85,36.71,602735
2018-04-02,36.83,36.84,34.33,35.24,460618
2018-04-03,35.38,39.45,35.1,39.27,720235
2018-04-04,38.57,44.46,38.57,44.21,1298916
2018-04-05,44.0,44.75,39.76,40.15,672767
2018-04-06,39.8,41.52,39.43,39.51,509006
2018-04-09,40.42,41.69,36.0,36.13,601393
2018-04-10,36.85,38.26,36.5,37.12,507626
2018-04-11,36.98,38.34,36.58,37.91,365568
2018-04-12,38.28,38.8735,37.13,37.6,264886
2018-04-13,37.84,38.2,37.29,37.97,337476
2018-04-16,38.1,38.63,37.76,38.08,283181
2018-04-17,38.49,38.81,37.775,38.49,478325
2018-04-18,38.76,38.76,35.96,36.01,424130
2018-04-19,35.95,36.394,34.38,34.97,283646
2018-04-20,34.78,36.98,34.67,36.84,438959
2018-04-23,13.69,13.7,11.05,11.5,15140857
2018-04-24,11.55,12.1452,10.83,11.085,4497764
2018-04-25,11.0,11.08,10.43,10.99,2592691
2018-04-26,11.14,12.04,11.14,11.79,2751684
2018-04-27,11.79,12.2653,11.62,12.11,1487325
2018-04-30,12.12,12.35,11.92,12.0,1238239
2018-05-01,12.02,12.18,11.92,12.16,955604
2018-05-02,12.15,13.2985,12.06,13.17,1260525
2018-05-03,13.1,13.43,12.641,13.19,804259
2018-05-04,13.22,14.1,13.17,14.01,994485
2018-05-07,13.96,14.13,13.76,13.9,601011
2018-05-08,13.79,14.595,13.78,14.25,914742
2018-05-09,12.75,13.69,12.04,13.56,1353953
2018-05-10,13.74,15.89,13.74,14.79,1306378
2018-05-11,14.72,15.97,14.55,15.72,1275922
2018-05-14,15.73,17.6,15.73,17.01,1175702
2018-05-15,17.0,17.33,16.04,16.48,773550
2018-05-16,16.48,16.81,16.21,16.43,537303
2018-05-17,16.37,16.37,15.43,15.6,1030014
