date,open,high,low,close,volume
2018-01-02,76.7487,77.5977,76.469,77.5977,64918
2018-01-03,77.7176,78.207,77.5495,78.0971,40162
2018-01-04,78.4267,78.4267,77.8973,78.167,180329
2018-01-05,78.5965,78.8362,78.2819,78.8362,25113
2018-01-08,78.7663,79.4055,78.0272,79.066,74605
2018-01-09,79.6053,79.6053,78.5406,78.6065,28883
2018-01-10,77.9872,78.4267,77.4778,78.1071,40546
2018-01-11,78.3268,79.5953,78.3268,79.5454,41729
2018-01-12,79.865,80.3245,79.2958,80.0048,28993
2018-01-16,81.0935,81.0935,79.0859,79.5754,44144
2018-01-17,80.3045,80.704,79.7752,80.5368,26297
2018-01-18,80.744,80.7939,79.9349,80.0648,25928
2018-01-19,80.6241,81.2134,80.1547,81.2034,25749
2018-01-22,80.704,80.704,79.5554,79.835,31597
2018-01-23,80.3344,80.3344,79.5523,79.855,31482
2018-01-24,80.3844,80.3844,78.3768,78.9561,39173
2018-01-25,79.3256,79.5056,78.4966,78.8362,86596
2018-01-26,79.4056,79.5953,78.9398,79.5054,24588
2018-01-29,79.6852,79.6852,79.0573,79.3756,26131
2018-01-30,78.5765,79.0959,78.1884,78.5715,33766
2018-01-31,79.036,79.1359,77.6976,77.7176,43879
2018-02-01,77.368,78.2778,77.368,78.1271,39127
2018-02-02,78.0871,78.0871,76.4491,76.7287,125397
2018-02-05,76.0096,76.7088,73.7723,73.9121,110422
2018-02-06,72.5038,75.4303,71.485,74.9509,75503
2018-02-07,75.3104,75.4502,74.2317,74.6013,29380
2018-02-08,74.861,75.1107,72.7727,72.7834,31357
2018-02-09,73.6224,74.0479,71.2767,73.103,48576
2018-02-12,73.2329,74.3016,72.5287,74.002,47682
2018-02-13,73.2928,74.4379,73.2928,74.4115,24241
2018-02-14,74.022,75.7998,74.022,75.5202,21580
2018-02-15,76.2393,77.1582,75.7199,77.1582,13327
2018-02-16,77.2481,77.5775,76.8586,76.9685,14999
2018-02-20,76.3392,77.667,76.3392,77.4029,11065
2018-02-21,77.388,78.2619,77.2981,77.2981,15476
2018-02-22,77.9073,77.9073,77.132,77.2581,11058
2018-02-23,77.9373,77.9723,77.2581,77.9623,8489
2018-02-26,78.2869,78.9384,78.0072,78.7863,245071
2018-02-27,78.8262,79.2524,78.0437,78.1271,14166
2018-02-28,78.3768,78.3768,76.7887,76.8885,11711
2018-03-01,76.8086,77.4978,75.6304,76.2493,31660
2018-03-02,75.6101,77.9473,75.6101,77.9073,24077
2018-03-05,77.2981,78.3352,77.2981,78.2369,19255
2018-03-06,78.8262,79.4055,78.227,79.3756,9397
2018-03-07,78.7963,80.1147,78.7963,80.0847,41048
2018-03-08,80.0148,80.2346,79.5954,79.7152,14979
2018-03-09,79.9749,81.4331,79.9749,81.3832,10580
2018-03-12,82.1223,82.6317,81.9925,82.4719,18893
2018-03-13,82.8015,83.0312,81.6433,81.8526,15983
2018-03-14,82.2921,82.2921,81.543,81.543,12443
2018-03-15,81.9126,82.0077,81.4403,81.6928,12660
2018-03-16,81.583,81.923,81.4677,81.923,7254
2018-03-19,81.53,81.53,79.51,80.9,14392
2018-03-20,80.77,81.47,80.77,81.2,11334
2018-03-21,81.31,82.25,81.31,81.95,19685
2018-03-22,80.87,81.45,79.65,79.8222,13272
2018-03-23,79.86,79.895,77.4,77.4,16324
2018-03-26,78.71,79.21,77.93,79.21,15152
2018-03-27,79.59,79.6308,76.97,76.99,21171
2018-03-28,76.69,77.4086,75.83,76.23,22666
2018-03-29,76.77,78.22,76.4,77.6,9643
2018-04-02,77.21,77.85,75.0,75.33,174990
2018-04-03,76.0,76.56,75.43,76.43,119226
2018-04-04,75.38,77.345,75.38,77.17,129765
2018-04-05,77.76,77.875,77.32,77.73,7946
2018-04-06,77.19,77.83,75.76,76.29,9683
2018-04-09,76.86,77.65,76.12,76.13,15979
2018-04-10,77.31,78.586,76.975,78.29,20020
2018-04-11,78.38,79.0,78.36,78.8,5913
2018-04-12,79.34,79.8099,79.1565,79.4,7349
2018-04-13,79.83,79.83,78.97,79.205,12809
2018-04-16,79.49,79.703,78.92,79.4679,6642
2018-04-17,80.07,81.13,80.0,81.13,9447
2018-04-18,80.89,81.23,80.55,81.22,8480
2018-04-19,80.75,80.8085,79.64,79.7,7420
2018-04-20,79.75,80.06,78.99,79.32,11444
2018-04-23,79.37,79.735,78.6,78.6,8313
2018-04-24,79.62,79.81,78.121,78.28,10437
2018-04-25,78.42,78.42,77.435,77.84,8796
2018-04-26,78.27,78.27,77.48,77.8,9000
2018-04-27,77.88,77.88,76.44,76.67,16021
2018-04-30,76.76,77.184,76.1556,76.37,9833
2018-05-01,76.38,77.25,76.0,77.11,17859
2018-05-02,77.13,78.32,77.13,77.9,10211
2018-05-03,77.54,77.93,76.78,77.8,15779
2018-05-04,77.54,79.45,77.54,79.18,9133
2018-05-07,79.31,80.3,79.31,80.13,8683
2018-05-08,80.1,80.68,80.1,80.46,8479
2018-05-09,80.91,81.06,80.3149,81.005,12527
2018-05-10,81.1,81.97,81.099,81.97,9149
2018-05-11,81.83,81.83,80.87,81.3,15281
2018-05-14,81.69,82.0,81.0628,81.25,18927
2018-05-15,80.6,81.05,80.3,80.95,17397
2018-05-16,80.91,82.12,80.91,81.99,10095
2018-05-17,81.89,82.4799,81.89,82.17,9649
