date,open,high,low,close,volume
2018-01-02,49.38,49.45,47.16,48.76,1816363
2018-01-03,48.9,49.86,47.5,49.41,1002507
2018-01-04,49.38,50.33,48.75,48.84,650403
2018-01-05,49.22,49.53,48.1,48.69,725588
2018-01-08,48.7,49.29,47.58,47.99,950347
2018-01-09,48.0,52.74,48.0,52.26,1162788
2018-01-10,52.02,52.02,49.92,51.9,766355
2018-01-11,52.07,52.75,51.38,52.33,596409
2018-01-12,52.47,53.95,52.17,52.62,623664
2018-01-16,53.0,53.1982,49.84,50.17,1362891
2018-01-17,50.69,51.489,48.625,49.75,1313313
2018-01-18,49.45,50.28,48.0,49.69,827793
2018-01-19,49.63,50.49,49.32,49.63,648219
2018-01-22,50.25,50.95,48.94,49.45,1071193
2018-01-23,49.37,50.92,47.62,50.76,1753752
2018-01-24,50.8,51.45,49.2,50.77,756403
2018-01-25,51.26,53.09,50.8,52.13,776229
2018-01-26,52.32,54.95,52.2201,54.23,951403
2018-01-29,54.23,55.48,53.6896,54.27,761278
2018-01-30,53.38,53.709,51.6601,52.7,600536
2018-01-31,53.26,53.65,50.71,51.31,639684
2018-02-01,50.84,53.31,50.685,52.42,610473
2018-02-02,52.01,52.72,49.63,49.88,995387
2018-02-05,49.49,50.215,46.18,46.29,937143
2018-02-06,45.65,48.24,45.0,48.15,1160676
2018-02-07,47.96,48.7,47.01,47.11,648083
2018-02-08,47.11,47.65,44.61,44.63,1038770
2018-02-09,45.1,45.72,41.37,44.41,1288921
2018-02-12,44.63,47.335,44.63,46.7,714014
2018-02-13,46.18,46.19,44.88,45.1,648620
2018-02-14,44.62,47.42,44.3615,47.26,775473
2018-02-15,47.77,48.485,47.26,47.96,504096
2018-02-16,47.87,49.09,47.48,47.69,400018
2018-02-20,47.52,50.2,47.52,48.22,692399
2018-02-21,44.0,46.5,43.37,44.91,2755536
2018-02-22,44.95,45.98,44.6075,45.02,775191
2018-02-23,45.51,46.05,44.1,45.82,847875
2018-02-26,46.28,46.28,45.03,45.66,537496
2018-02-27,45.42,45.9,44.97,45.12,691385
2018-02-28,45.13,45.51,42.31,42.32,1577160
2018-03-01,31.99,33.3,30.1,31.56,9230968
2018-03-02,31.2,34.625,30.55,34.25,3076235
2018-03-05,34.0,35.23,33.03,34.98,1669113
2018-03-06,35.35,38.39,34.73,37.29,2478374
2018-03-07,36.68,38.8,36.68,37.78,1539619
2018-03-08,37.99,39.4,37.81,39.05,1205819
2018-03-09,39.37,39.8,38.33,38.43,1043038
2018-03-12,38.47,38.789,33.26,38.03,4377276
2018-03-13,38.4,38.4,35.93,36.45,1455439
2018-03-14,36.82,37.0,35.6,36.38,1013343
2018-03-15,36.62,36.7,35.7,36.11,863361
2018-03-16,36.04,36.11,34.78,34.83,1707162
2018-03-19,34.64,34.76,33.03,33.41,1484015
2018-03-20,33.41,33.5899,32.2,32.38,1751186
2018-03-21,32.51,33.65,32.44,33.33,1337932
2018-03-22,32.8,33.74,31.57,31.7,1617215
2018-03-23,31.57,32.31,30.37,30.57,1176389
2018-03-26,31.34,32.36,30.68,32.24,974723
2018-03-27,32.5,32.58,30.7,30.96,854399
2018-03-28,31.13,32.38,30.68,32.05,979309
2018-03-29,32.27,33.09,31.47,32.66,813565
2018-04-02,32.7,32.9588,30.71,31.19,960100
2018-04-03,31.49,32.32,30.77,32.0,808527
2018-04-04,31.46,33.29,31.2,33.11,1068280
2018-04-05,33.35,33.42,31.98,32.2,680193
2018-04-06,31.78,32.21,30.46,30.91,706040
2018-04-09,31.38,31.73,30.92,31.35,679867
2018-04-10,32.02,32.9899,31.45,31.7,956378
2018-04-11,31.56,32.74,31.56,32.2,516917
2018-04-12,32.51,33.05,32.28,32.47,512753
2018-04-13,32.57,32.58,31.3,32.33,591547
2018-04-16,32.59,33.4,32.33,32.67,495605
2018-04-17,32.88,34.77,32.71,33.71,935951
2018-04-18,33.68,33.91,32.88,33.35,595697
2018-04-19,33.07,33.89,32.64,32.98,834994
2018-04-20,32.92,33.3,32.49,33.25,857332
2018-04-23,33.38,35.1499,33.12,34.64,1395531
2018-04-24,34.6,35.44,34.08,34.61,1344255
2018-04-25,34.62,34.67,32.71,33.64,987845
2018-04-26,34.03,34.9,33.46,34.56,523106
2018-04-27,35.49,35.5,33.92,34.19,710631
2018-04-30,34.43,37.47,34.43,36.13,1945552
2018-05-01,36.13,36.5625,34.88,35.66,1597733
2018-05-02,35.52,35.66,34.43,34.6,1188531
2018-05-03,34.6,35.5689,33.37,33.78,1515411
2018-05-04,44.62,44.98,39.8,42.44,10607935
2018-05-07,43.35,43.85,40.15,40.76,4003842
2018-05-08,40.8,42.49,40.04,42.36,2538679
2018-05-09,42.24,42.96,41.54,42.28,1930462
2018-05-10,43.62,44.0,40.82,41.18,2380734
2018-05-11,40.68,41.7,40.35,41.15,1399246
2018-05-14,41.42,42.3,41.0,41.97,1718527
2018-05-15,41.76,41.88,40.28,40.61,2095035
2018-05-16,40.64,41.0,39.88,40.64,1341513
2018-05-17,40.81,41.14,40.32,40.97,884596
