date,open,high,low,close,volume
2018-01-02,26.5,26.7,25.8,26.25,26808
2018-01-03,26.2,26.2,25.4,25.75,53477
2018-01-04,25.4154,25.95,25.4154,25.95,2489
2018-01-05,25.7,26.098,25.6,26.0,8991
2018-01-08,26.4,26.5448,25.75,25.9,8495
2018-01-09,26.0,26.35,26.0,26.25,1292
2018-01-10,26.05,26.05,25.5,25.7,3907
2018-01-11,25.6,26.7,25.6,26.7,3769
2018-01-12,26.4,26.45,26.05,26.4,2056
2018-01-16,25.6,26.0,25.6,26.0,1524
2018-01-17,25.8,26.55,25.6,25.9,3647
2018-01-18,25.9,25.9,25.4,25.4,3031
2018-01-19,25.2,26.35,25.15,25.8,8828
2018-01-22,25.7,25.75,25.7,25.75,462
2018-01-23,25.9,26.15,25.5,25.7,2827
2018-01-24,25.9,25.9,25.25,25.35,1024
2018-01-25,25.6,25.6,23.7717,24.25,1191
2018-01-26,23.6,24.0,23.6,24.0,645
2018-01-29,24.0,24.0,24.0,24.0,702
2018-01-30,23.15,24.3,23.15,24.3,930
2018-01-31,23.45,25.15,23.45,24.05,5825
2018-02-01,24.2,25.5,24.2,25.0,10335
2018-02-02,24.25,24.25,24.25,24.25,1350
2018-02-05,24.1,24.1,23.15,23.15,1691
2018-02-06,23.1,25.0,23.1,24.25,2788
2018-02-07,24.35,24.7,23.65,24.0,7366
2018-02-08,24.15,24.45,23.25,23.25,2854
2018-02-09,23.2044,24.79,23.0525,23.3,9873
2018-02-12,23.65,24.8,23.0,24.1,14210
2018-02-13,23.75,23.75,23.75,23.75,599
2018-02-14,23.85,24.0205,23.45,23.85,2302
2018-02-15,24.1,25.95,23.9001,24.5,4945
2018-02-16,24.25,25.9999,23.65,25.0,12366
2018-02-20,24.85,25.45,23.4175,24.05,14141
2018-02-21,23.65,24.3252,23.65,24.1,8792
2018-02-22,24.35,24.35,23.6,23.8,1191
2018-02-23,24.0,24.1,24.0,24.1,1053
2018-02-26,24.3,24.3,23.75,24.25,7392
2018-02-27,23.9,24.0,23.875,24.0,723
2018-02-28,24.25,24.25,23.2,23.2,5645
2018-03-01,23.4,23.8961,23.4,23.7,8250
2018-03-02,23.75,24.75,23.7,24.7,9889
2018-03-05,24.7,25.95,24.2,25.7,6539
2018-03-06,25.6,26.65,25.275,26.45,9441
2018-03-07,25.8025,26.65,25.8025,26.4,3992
2018-03-08,26.6,26.6,26.05,26.05,2455
2018-03-09,26.55,26.55,26.2,26.55,927
2018-03-12,26.35,26.55,26.151,26.55,2294
2018-03-13,26.5,26.7,26.5,26.65,2693
2018-03-14,26.65,26.65,26.35,26.35,1048
2018-03-15,26.1235,26.3,26.0,26.0,2597
2018-03-16,25.95,26.7,25.126,26.7,25674
2018-03-19,26.45,26.45,26.25,26.35,2416
2018-03-20,26.3,26.95,26.3,26.65,80797
2018-03-21,26.75,26.9,26.75,26.8,1096
2018-03-22,26.75,27.2,26.45,26.7,10298
2018-03-23,26.65,26.85,26.55,26.6,5047
2018-03-26,26.5,26.725,26.45,26.55,14238
2018-03-27,26.8,26.8,26.45,26.45,2618
2018-03-28,26.45,26.75,26.3,26.75,4065
2018-03-29,26.85,26.85,26.2023,26.55,4594
2018-04-02,26.55,26.55,24.975,25.95,8317
2018-04-03,25.425,26.9,25.425,26.6,9226
2018-04-04,26.5,27.0,26.275,27.0,3998
2018-04-05,27.25,27.25,25.95,25.95,5251
2018-04-06,26.0,26.0,24.4,25.45,4783
2018-04-09,25.3462,25.3462,24.65,24.95,2898
2018-04-10,25.1,25.8,25.1,25.4,4609
2018-04-11,25.9,25.9,25.2766,25.5,2092
2018-04-12,25.05,25.05,24.55,24.55,1568
2018-04-13,25.1297,25.1297,24.7,24.7,1229
2018-04-16,24.5,24.5,24.1,24.4,2429
2018-04-17,24.45,24.5,24.1781,24.35,2366
2018-04-18,24.45,24.45,23.85,23.85,3032
2018-04-19,23.2,23.9,23.2,23.8,1031
2018-04-20,23.35,23.65,22.85,22.85,3445
2018-04-23,21.9,24.2,21.9,23.953,8626
2018-04-24,23.95,23.95,23.65,23.65,900
2018-04-25,23.75,23.9,23.6175,23.9,2090
2018-04-26,23.75,23.95,23.55,23.55,916
2018-04-27,23.5,23.7,23.5,23.7,1242
2018-04-30,23.6865,23.85,23.5,23.5,4377
2018-05-01,23.5,23.95,23.5,23.95,1597
2018-05-02,23.5001,23.95,23.5001,23.75,1264
2018-05-03,23.4481,24.5,23.4481,23.9,2368
2018-05-04,24.1776,24.1776,23.85,24.0,2072
2018-05-07,23.9,23.9,23.9,23.9,653
2018-05-08,24.05,24.05,24.05,24.05,476
2018-05-09,23.65,24.15,23.65,24.15,5559
2018-05-10,24.15,24.425,23.718,24.0,5946
2018-05-11,24.35,24.7,23.6965,24.6,11514
2018-05-14,26.8752,26.8752,23.6,24.0,9934
2018-05-15,23.55,23.8,23.1,23.35,5435
2018-05-16,23.25,23.9,23.25,23.55,2581
2018-05-17,23.6,23.9,23.5497,23.9,4889
