date,open,high,low,close,volume
2018-01-02,8.56,8.59,8.2407,8.59,21024
2018-01-03,8.55,8.55,8.2923,8.4,16221
2018-01-04,8.32,8.5574,8.3001,8.4,24537
2018-01-05,8.4,8.66,7.76,8.15,49164
2018-01-08,7.93,8.7,7.89,8.06,67394
2018-01-09,8.1,8.2224,7.96,7.98,11867
2018-01-10,7.8304,8.1747,7.83,7.99,7203
2018-01-11,7.93,8.19,7.81,8.19,60631
2018-01-12,8.29,8.3,8.09,8.14,12382
2018-01-16,8.27,8.32,7.83,7.9,44718
2018-01-17,8.0,8.05,7.8,7.87,14558
2018-01-18,7.77,8.2598,7.5,7.7,92058
2018-01-19,7.732,8.1234,7.72,7.78,20066
2018-01-22,7.82,8.14,7.8066,7.91,20234
2018-01-23,7.87,8.1758,7.87,8.06,25483
2018-01-24,7.92,8.38,7.92,8.28,40543
2018-01-25,8.24,8.64,8.24,8.64,54992
2018-01-26,8.63,8.8,8.61,8.785,33446
2018-01-29,8.78,9.28,8.78,9.21,54262
2018-01-30,9.05,9.055,8.55,8.9,32403
2018-01-31,8.79,10.1804,8.79,9.8,86269
2018-02-01,9.72,10.17,9.4509,9.87,56723
2018-02-02,9.87,10.99,9.87,10.99,81887
2018-02-05,10.98,11.41,10.51,10.66,67603
2018-02-06,10.14,10.729,10.13,10.729,49565
2018-02-07,10.39,12.1963,10.39,11.78,76910
2018-02-08,11.92,12.749,11.52,11.6,165044
2018-02-09,11.73,12.2,11.371,11.7,47422
2018-02-12,11.79,12.5,11.53,12.48,60777
2018-02-13,12.44,12.66,11.0274,11.05,60198
2018-02-14,10.81,11.2649,10.25,10.28,38811
2018-02-15,10.25,11.12,10.05,11.0145,36521
2018-02-16,11.0,11.5,11.0,11.14,78214
2018-02-20,11.24,11.5999,11.136,11.4,51307
2018-02-21,11.69,12.69,11.47,12.58,138803
2018-02-22,12.65,12.8489,12.25,12.56,70147
2018-02-23,12.74,13.4999,12.35,13.0,146274
2018-02-26,13.0,13.1486,11.0,11.12,142455
2018-02-27,10.96,10.96,10.03,10.16,74900
2018-02-28,10.15,10.15,8.94,9.55,119331
2018-03-01,9.55,9.69,9.27,9.4,33318
2018-03-02,9.43,9.43,8.79,8.9,29059
2018-03-05,8.78,9.71,8.78,9.42,40962
2018-03-06,9.33,10.49,9.33,9.76,96091
2018-03-07,9.8,10.35,9.4,9.55,121462
2018-03-08,9.9709,9.9709,9.5,9.51,52830
2018-03-09,9.61,9.75,9.52,9.55,23990
2018-03-12,9.5,9.6625,9.0,9.1,31067
2018-03-13,9.15,9.55,8.9792,9.4,49583
2018-03-14,9.48,9.69,9.2434,9.37,33468
2018-03-15,9.47,9.59,9.1,9.18,23113
2018-03-16,10.4,11.9,10.1,11.47,391023
2018-03-19,11.53,12.25,11.49,11.88,87263
2018-03-20,11.76,12.0,11.09,11.3,48232
2018-03-21,11.34,12.165,11.34,11.77,40434
2018-03-22,11.73,12.14,11.35,11.59,23366
2018-03-23,11.66,11.979,11.61,11.62,14491
2018-03-26,11.82,11.889,11.191,11.81,30941
2018-03-27,11.73,11.75,11.2014,11.32,30235
2018-03-28,11.26,11.3181,10.48,10.98,44447
2018-03-29,11.14,11.615,10.81,11.3,20708
2018-04-02,11.06,11.1146,10.55,10.69,32906
2018-04-03,10.8,10.8,10.55,10.61,26056
2018-04-04,10.5,10.8878,10.5,10.79,16123
2018-04-05,10.91,11.18,10.6246,11.18,19848
2018-04-06,11.08,11.08,10.61,10.8,16661
2018-04-09,10.94,11.499,10.81,11.15,62673
2018-04-10,11.22,11.31,11.085,11.15,11368
2018-04-11,11.12,11.4,10.71,11.0,40620
2018-04-12,11.36,11.36,11.1423,11.16,24468
2018-04-13,11.26,11.26,10.88,10.96,19513
2018-04-16,10.99,11.1,10.9,10.97,5548
2018-04-17,11.1063,11.32,10.998,11.04,18231
2018-04-18,10.98,11.3,10.98,11.17,31916
2018-04-19,11.07,11.1102,10.8,10.84,18635
2018-04-20,10.8,10.9,10.6,10.9,13925
2018-04-23,10.86,10.9,10.52,10.68,15665
2018-04-24,10.64,10.64,10.2,10.41,22754
2018-04-25,10.32,10.5216,10.2968,10.46,4475
2018-04-26,10.352,10.98,10.352,10.74,9671
2018-04-27,10.7247,10.77,10.41,10.46,8208
2018-04-30,10.5,10.77,10.36,10.71,6752
2018-05-01,10.5,10.7566,10.5,10.721,4963
2018-05-02,10.5812,10.7257,10.51,10.54,4427
2018-05-03,10.62,10.7236,10.44,10.52,9931
2018-05-04,10.5478,10.7,10.47,10.69,7135
2018-05-07,10.7,11.1969,10.53,10.76,23255
2018-05-08,10.6062,10.76,10.6062,10.75,9072
2018-05-09,10.8,11.06,10.1273,10.69,42197
2018-05-10,10.63,10.64,10.2,10.2,20643
2018-05-11,10.18,10.2822,9.57,9.92,34401
2018-05-14,9.8,10.12,9.56,9.56,20243
2018-05-15,9.56,9.72,9.1414,9.305,18759
2018-05-16,9.4412,9.4412,9.261,9.34,8224
2018-05-17,9.28,9.55,9.28,9.5,7628
