date,open,high,low,close,volume
2018-01-02,19.95,20.35,19.8,20.0,21086
2018-01-03,20.0,20.0,19.65,19.8,20256
2018-01-04,19.85,19.85,19.05,19.2,19092
2018-01-05,19.1642,19.5,19.1642,19.35,14244
2018-01-08,19.35,19.35,18.7396,18.75,12670
2018-01-09,18.9,18.9,18.4,18.65,46223
2018-01-10,18.55,19.0,18.35,18.65,20391
2018-01-11,18.65,18.9,18.6,18.8,26326
2018-01-12,18.8,19.1,18.7,18.9,25929
2018-01-16,18.95,19.15,18.6,18.65,22611
2018-01-17,18.55,18.8,18.505,18.65,37599
2018-01-18,18.6,19.1,18.6,18.9,59020
2018-01-19,18.95,19.4,18.905,19.3,161141
2018-01-22,19.35,20.3,19.35,19.95,53803
2018-01-23,20.0,20.0,19.5,19.8,28934
2018-01-24,19.75,19.75,19.25,19.45,11177
2018-01-25,19.35,19.65,18.9,19.25,26580
2018-01-26,19.378,19.45,18.95,19.05,14420
2018-01-29,19.15,19.15,18.6,18.85,13162
2018-01-30,18.75,18.9,18.1,18.2,51974
2018-01-31,18.4468,18.55,18.0,18.0,16826
2018-02-01,18.0,18.15,17.9,18.0,17501
2018-02-02,17.95,18.15,17.45,17.7,49629
2018-02-05,17.7,17.95,17.1751,17.5,65357
2018-02-06,17.3,17.65,17.005,17.5,34267
2018-02-07,17.35,18.25,17.0,17.8,61485
2018-02-08,17.9,17.9,17.15,17.45,26493
2018-02-09,17.55,18.2,17.25,17.95,53071
2018-02-12,17.9,18.25,17.7,18.15,24179
2018-02-13,19.1,21.0,18.5,19.9,169762
2018-02-14,19.65,20.35,19.5,20.25,36891
2018-02-15,20.25,20.25,19.6,19.9,83818
2018-02-16,19.6,20.0,19.6,19.85,34634
2018-02-20,19.81,20.15,19.4,19.65,65475
2018-02-21,19.6,19.9,19.15,19.85,21140
2018-02-22,19.85,19.85,19.25,19.8,43827
2018-02-23,19.8,19.8,19.6,19.659,7490
2018-02-26,19.55,19.95,19.45,19.9,39500
2018-02-27,19.75,19.85,19.6,19.75,39179
2018-02-28,19.75,20.0,19.5,19.7,30974
2018-03-01,19.65,19.7,19.25,19.6,11838
2018-03-02,19.325,19.7,19.325,19.5,14932
2018-03-05,19.5,19.7,19.45,19.7,13971
2018-03-06,19.6,19.65,19.25,19.4,17069
2018-03-07,19.45,19.95,19.35,19.95,32426
2018-03-08,19.9,20.45,19.7681,20.0,47957
2018-03-09,20.0,20.25,19.6,19.95,38447
2018-03-12,20.15,20.245,19.95,20.0,41681
2018-03-13,19.85,19.9,19.275,19.5,34328
2018-03-14,19.45,19.6,19.25,19.6,27375
2018-03-15,19.425,19.5,19.1,19.1,12744
2018-03-16,19.15,19.45,18.655,19.45,30485
2018-03-19,19.3,19.75,18.85,19.35,14520
2018-03-20,19.4,19.65,19.305,19.35,11888
2018-03-21,19.25,19.45,18.8,19.2,39307
2018-03-22,19.2,19.85,19.05,19.15,28442
2018-03-23,18.9775,19.05,18.35,18.45,30857
2018-03-26,18.6,19.0,18.375,18.95,18065
2018-03-27,19.0,19.2,18.2,18.75,42994
2018-03-28,18.8,19.1,18.2,18.4,17889
2018-03-29,18.0925,18.85,17.85,18.35,10385
2018-04-02,18.35,18.35,17.505,17.75,27506
2018-04-03,17.95,18.2,17.703,17.95,10236
2018-04-04,17.75,18.1,17.65,17.85,14143
2018-04-05,17.85,18.2,17.8,17.9,15066
2018-04-06,17.85,18.05,17.6,17.65,28759
2018-04-09,17.75,18.2,17.75,17.9,22347
2018-04-10,18.1,18.2,17.8,17.8,25924
2018-04-11,17.8,18.1,17.7,17.85,16235
2018-04-12,17.9,18.95,17.8,18.75,95713
2018-04-13,18.7,18.7,18.2,18.3,9205
2018-04-16,18.25,18.6,18.0,18.425,29440
2018-04-17,18.65,19.0,18.55,18.75,23614
2018-04-18,18.75,18.8,18.5376,18.65,5443
2018-04-19,18.7,19.1,18.35,19.0,25380
2018-04-20,19.15,19.35,18.0,18.75,54584
2018-04-23,18.9,19.1,18.1,18.15,32947
2018-04-24,18.2,18.45,17.925,18.45,21988
2018-04-25,18.3,18.3,17.8,18.2,24006
2018-04-26,18.4,18.8,18.05,18.2,27497
2018-04-27,18.35,18.35,18.05,18.15,5565
2018-04-30,18.25,18.85,18.0,18.65,17067
2018-05-01,18.5,19.1,18.38,19.0,36737
2018-05-02,19.25,20.045,19.25,19.75,47512
2018-05-03,19.8,19.8,19.25,19.4,16807
2018-05-04,19.45,19.7,19.3,19.55,18032
2018-05-07,19.5,19.85,19.5,19.65,9246
2018-05-08,19.55,19.8,19.4,19.5,17255
2018-05-09,19.5,19.5,19.1,19.35,11024
2018-05-10,19.85,20.7,19.3,20.15,64244
2018-05-11,20.15,20.45,19.7,19.8,25564
2018-05-14,19.8,20.4,19.625,19.75,39728
2018-05-15,19.55,19.721,19.15,19.65,44776
2018-05-16,19.65,19.65,19.45,19.6,18131
2018-05-17,19.575,19.85,19.355,19.6,40131
