date,open,high,low,close,volume
2018-01-02,7.34,7.34,6.29,7.11,67423
2018-01-03,7.0299,7.6799,6.6,7.58,303893
2018-01-04,7.67,8.3834,7.0614,8.33,330339
2018-01-05,8.35,9.4799,7.96,8.58,480450
2018-01-08,8.4,9.6,7.88,8.74,904190
2018-01-09,8.32,8.92,8.14,8.73,487870
2018-01-10,8.88,8.88,7.8,8.43,386344
2018-01-11,8.42,9.94,8.25,9.05,633985
2018-01-12,9.06,9.56,7.6001,8.0,464441
2018-01-16,7.99,8.379,7.98,8.06,57043
2018-01-17,8.04,9.55,7.87,9.04,419048
2018-01-18,8.89,10.1,8.1301,10.07,289626
2018-01-19,9.87,11.32,9.67,11.13,313714
2018-01-22,11.15,11.19,10.01,10.77,208975
2018-01-23,10.78,11.1,10.2256,10.54,308964
2018-01-24,10.67,10.67,9.6,9.7,210431
2018-01-25,9.65,10.01,8.67,8.96,205661
2018-01-26,8.88,9.3,8.6,8.96,296484
2018-01-29,9.0,9.45,8.86,9.24,84141
2018-01-30,9.01,9.72,9.0,9.61,147778
2018-01-31,9.65,10.3,9.28,9.46,193359
2018-02-01,9.5,10.05,8.15,9.09,432031
2018-02-02,9.12,9.37,8.82,9.37,67236
2018-02-05,9.18,10.39,9.18,10.19,93808
2018-02-06,9.81,10.7451,9.49,10.1,352493
2018-02-07,9.91,10.4786,8.62,8.62,502005
2018-02-08,8.7,8.96,7.98,8.01,91733
2018-02-09,8.07,8.79,7.905,7.96,51372
2018-02-12,8.1,8.23,7.48,7.57,49385
2018-02-13,7.63,7.93,7.41,7.49,36346
2018-02-14,7.4,7.4,6.9,7.02,124179
2018-02-15,7.1358,7.41,6.81,7.22,110971
2018-02-16,7.4198,8.66,7.37,8.58,256083
2018-02-20,8.65,9.304,8.1153,8.64,236704
2018-02-21,8.57,9.4,8.57,9.31,176047
2018-02-22,9.13,9.44,8.88,9.15,99147
2018-02-23,9.25,10.29,9.02,10.15,176310
2018-02-26,10.1,10.49,9.46,9.58,525030
2018-02-27,9.4,10.691,8.61,8.67,779232
2018-02-28,8.59,9.31,8.5,8.59,376408
2018-03-01,8.84,9.0,7.61,7.94,179234
2018-03-02,7.9499,8.17,7.7199,7.98,51313
2018-03-05,7.86,8.1,7.86,7.95,42066
2018-03-06,7.93,8.3,7.91,8.12,25426
2018-03-07,8.12,8.33,7.89,7.98,151702
2018-03-08,8.39,8.39,7.82,7.85,57484
2018-03-09,8.05,8.06,7.81,7.96,27607
2018-03-12,8.08,8.4,8.04,8.32,31102
2018-03-13,8.27,8.4999,8.1,8.45,44201
2018-03-14,8.23,8.49,7.9,8.16,63374
2018-03-15,8.275,8.3999,7.56,7.69,95928
2018-03-16,7.79,7.84,7.31,7.6,210589
2018-03-19,7.75,8.83,7.67,8.49,300105
2018-03-20,8.41,9.88,8.39,9.71,483567
2018-03-21,9.63,9.71,8.5,9.375,357635
2018-03-22,9.2,9.5,8.31,8.5,414011
2018-03-23,8.56,8.98,8.16,8.65,84308
2018-03-26,8.77,8.95,8.49,8.69,54900
2018-03-27,8.67,9.55,8.66,9.01,109580
2018-03-28,8.96,9.52,8.61,9.01,274484
2018-03-29,8.99,9.23,8.55,8.7,25995
2018-04-02,9.08,9.13,8.53,8.62,21611
2018-04-03,8.71,8.71,8.41,8.41,9279
2018-04-04,8.45,8.45,8.12,8.14,5092
2018-04-05,8.3,8.5,8.01,8.15,21939
2018-04-06,8.7226,8.8,8.02,8.18,20915
2018-04-09,8.3,8.395,7.99,8.3,14748
2018-04-10,8.85,8.99,8.03,8.27,116355
2018-04-11,8.44,8.56,7.7,7.94,276175
2018-04-12,8.0,8.06,7.3,7.37,223571
2018-04-13,7.47,7.7645,7.41,7.42,165759
2018-04-16,7.54,7.7,7.28,7.565,143452
2018-04-17,7.57,7.77,7.271,7.57,77099
2018-04-18,7.361,7.63,7.36,7.57,20418
2018-04-19,7.58,7.69,6.85,6.88,115951
2018-04-20,6.94,7.389,6.21,6.26,162628
2018-04-23,6.57,6.57,5.95,6.01,137080
2018-04-24,5.96,6.55,5.51,5.51,83424
2018-04-25,5.55,5.82,5.4,5.59,74723
2018-04-26,5.68,5.75,5.24,5.25,63911
2018-04-27,5.3452,5.35,5.2,5.3,58948
2018-04-30,5.51,5.9693,5.4,5.56,311045
2018-05-01,5.6,5.7522,5.1524,5.23,96899
2018-05-02,5.13,5.57,5.06,5.33,223840
2018-05-03,5.47,5.63,5.29,5.48,187076
2018-05-04,5.54,5.77,5.25,5.39,134542
2018-05-07,5.49,5.9,5.49,5.69,195439
2018-05-08,5.78,5.87,5.33,5.44,144586
2018-05-09,5.51,5.6999,5.1,5.16,96766
2018-05-10,5.25,5.26,4.2896,5.01,244471
2018-05-11,4.93,5.0434,4.4,4.98,184456
2018-05-14,5.02,5.03,4.83,5.0,31222
2018-05-15,4.9043,5.0,4.7501,5.0,14647
2018-05-16,5.031,5.19,4.92,5.01,65322
2018-05-17,5.005,5.01,4.71,4.96,46444
