date,open,high,low,close,volume
2018-01-02,24.9576,24.9991,24.7774,24.7774,7005
2018-01-03,24.828,25.0087,24.828,24.937,3340
2018-01-04,24.9702,24.9991,24.9606,24.9991,1650
2018-01-05,25.0087,25.0184,24.9654,25.008,3229
2018-01-08,24.9592,25.0473,24.9439,24.9838,3897
2018-01-09,24.9606,24.9606,24.8449,24.8642,16560
2018-01-10,24.9943,24.9991,24.8738,24.9266,3165
2018-01-11,25.2642,25.2642,24.9521,25.0777,21020
2018-01-12,25.0777,25.2348,24.9806,25.0777,19060
2018-01-16,25.0973,25.1665,25.0722,25.1071,4243
2018-01-17,25.0822,25.0822,24.9403,24.9686,5501
2018-01-18,24.9403,25.009,24.9109,25.009,4230
2018-01-19,24.8814,24.8814,24.8618,24.8716,8270
2018-01-22,24.9241,25.0288,24.8637,24.8821,10327
2018-01-23,24.8814,25.0035,24.8814,25.0035,1873
2018-01-24,25.037,25.037,24.9231,24.96,4825
2018-01-25,24.9609,25.009,24.8913,24.9109,6868
2018-01-26,24.9305,24.9796,24.7839,24.7839,3206
2018-01-29,24.8324,24.8716,24.5901,24.5901,9379
2018-01-30,24.6164,24.7146,24.4065,24.7146,26589
2018-01-31,24.8912,24.8912,24.6164,24.7146,7639
2018-02-01,24.8813,24.9207,24.5968,24.6657,8752
2018-02-02,24.6362,24.6557,24.564,24.587,15244
2018-02-05,24.587,24.7146,24.507,24.6066,9146
2018-02-06,24.5448,24.7051,24.5448,24.586,7623
2018-02-07,24.587,24.6557,24.5379,24.5379,36512
2018-02-08,24.5968,24.8716,24.538,24.6557,12018
2018-02-09,24.6361,24.6361,24.4005,24.5325,13735
2018-02-12,24.6361,24.6459,24.5379,24.636,17442
2018-02-13,24.6361,24.7342,24.6115,24.6753,12379
2018-02-14,24.5962,24.8576,24.587,24.6459,7720
2018-02-15,24.6871,24.6931,24.587,24.587,3480
2018-02-16,24.5868,24.685,24.538,24.6753,4969
2018-02-20,24.6841,24.6841,24.5379,24.6557,5626
2018-02-21,24.6851,24.9991,24.6555,24.8127,13430
2018-02-22,24.6925,24.7833,24.6925,24.744,2307
2018-02-23,24.8127,24.9992,24.744,24.744,3657
2018-02-26,24.8589,25.009,24.7342,25.009,14285
2018-02-27,25.0139,25.0385,24.7812,24.7812,1304
2018-02-28,24.8474,25.2642,24.8108,25.0974,13149
2018-03-01,24.8716,24.9461,24.8618,24.8618,1810
2018-03-02,24.8942,24.9697,24.8117,24.8428,5520
2018-03-05,24.8642,24.96,24.8423,24.96,2520
2018-03-06,24.882,25.0679,24.882,24.9465,4457
2018-03-07,24.9501,25.1072,24.9501,25.0385,6313
2018-03-08,25.0385,25.0875,24.9709,25.0188,7389
2018-03-09,25.0875,25.0875,24.7441,24.8288,35295
2018-03-12,24.8324,24.8373,24.7342,24.7489,27834
2018-03-13,24.7342,24.8324,24.7342,24.8008,3771
2018-03-14,24.744,24.8323,24.6478,24.7735,24370
2018-03-15,24.7931,24.8324,24.744,24.7941,7328
2018-03-16,24.8274,24.9,24.8069,24.8645,5635
2018-03-19,24.8324,24.8523,24.7931,24.8523,4200
2018-03-20,24.8218,24.8912,24.744,24.8912,3458
2018-03-21,24.8656,24.8716,24.803,24.811,2557
2018-03-22,24.8912,24.8995,24.8589,24.8814,7216
2018-03-23,24.9011,24.9011,24.8567,24.8567,608
2018-03-26,24.9011,24.9305,24.8128,24.8912,28188
2018-03-27,24.8814,24.9501,24.8814,24.9305,31003
2018-03-28,24.8912,24.9501,24.8863,24.9011,4930
2018-03-29,24.8968,24.9487,24.8618,24.9109,36966
2018-04-02,24.9992,24.9992,24.8819,24.8912,3751
2018-04-03,24.852,24.9207,24.8127,24.8618,10031
2018-04-04,24.9011,24.9011,24.8714,24.8742,4574
2018-04-05,24.896,24.9171,24.8667,24.8691,7288
2018-04-06,24.9011,24.9206,24.8618,24.8814,2986
2018-04-09,24.7931,24.8814,24.7931,24.852,2544
2018-04-10,24.8912,24.9077,24.8716,24.8716,3900
2018-04-11,24.8912,24.9305,24.8755,24.8912,12452
2018-04-12,25.03,25.13,24.98,25.0399,20450
2018-04-13,25.03,25.03,24.9852,25.02,5557
2018-04-16,25.02,25.05,25.0,25.01,10008
2018-04-17,25.01,25.01,24.82,24.95,47464
2018-04-18,24.95,24.95,24.76,24.92,10446
2018-04-19,24.94,24.94,24.84,24.8501,3228
2018-04-20,24.889,24.9574,24.889,24.8963,10197
2018-04-23,24.93,25.0,24.8898,24.9208,4904
2018-04-24,25.0,25.0,24.93,24.958,5764
2018-04-25,24.94,25.0601,24.85,25.06,15349
2018-04-26,25.08,25.09,24.9502,25.045,9970
2018-04-27,25.02,25.0382,25.0,25.01,2848
2018-04-30,25.05,25.05,25.0,25.0,6195
2018-05-01,25.0,25.0248,24.982,25.0,3468
2018-05-02,25.0,25.06,24.9922,25.03,22372
2018-05-03,25.0,25.06,25.0,25.01,10258
2018-05-04,25.0001,25.07,25.0,25.0,8635
2018-05-07,25.04,25.08,25.04,25.074,2277
2018-05-08,25.0698,25.09,25.035,25.0716,4381
2018-05-09,25.09,25.1,25.04,25.1,6245
2018-05-10,25.1,25.259,25.1,25.202,5687
2018-05-11,25.116,25.24,25.101,25.24,5127
2018-05-14,25.2,25.26,25.0848,25.12,25358
2018-05-15,25.108,25.108,24.79,25.02,44037
2018-05-16,25.057,25.06,25.01,25.02,11342
2018-05-17,25.1228,25.1228,25.0307,25.08,6863
