date,open,high,low,close,volume
2018-01-02,21.6713,21.6713,21.6713,21.6713,346
2018-01-03,21.6961,21.6961,21.6961,21.6961,665
2018-01-04,21.6223,21.7011,21.5817,21.7011,124893
2018-01-05,21.6613,21.6713,21.6613,21.6713,38882
2018-01-08,21.7409,21.7832,21.7409,21.7832,717
2018-01-09,21.8801,21.8801,21.8479,21.8479,7675
2018-01-10,21.7409,21.8504,21.7409,21.8106,18911
2018-01-11,21.8405,22.0593,21.8405,22.0593,46194
2018-01-12,22.129,22.1986,22.129,22.1787,14852
2018-01-16,22.4103,22.4103,22.3081,22.3081,1617
2018-01-17,22.3279,22.3697,22.3279,22.3678,1685
2018-01-18,22.3578,22.3578,22.2683,22.318,7675
2018-01-19,22.2949,22.2949,22.2949,22.2949,683
2018-01-22,22.4514,22.5369,22.4514,22.5071,2172
2018-01-23,22.7061,22.716,22.7061,22.716,401
2018-01-24,22.8454,22.8454,22.589,22.6464,18387
2018-01-25,22.6464,22.6663,22.6066,22.6265,3194
2018-01-26,22.8305,22.9214,22.8305,22.9214,4923
2018-01-29,22.925,22.925,22.8155,22.8155,3071
2018-01-30,22.5767,22.6066,22.517,22.5568,7796
2018-01-31,22.6265,22.6265,22.4474,22.4971,6952
2018-02-01,22.4677,22.4677,22.3016,22.3016,2661
2018-02-02,21.925,21.9684,21.925,21.9499,4714
2018-02-05,21.8703,21.8802,21.3728,21.3728,580
2018-02-06,20.7161,21.3839,20.7161,21.3839,3227
2018-02-07,,,,21.3839,38
2018-02-09,20.5071,20.5071,20.4574,20.4972,31627
2018-02-12,21.2527,21.2527,21.2527,21.2527,897
2018-02-13,21.1141,21.1738,21.1141,21.1738,780
2018-02-14,21.303,21.3927,21.2832,21.3628,16467
2018-02-15,21.7895,21.8006,21.7769,21.7807,1197
2018-02-16,21.9996,22.0291,21.9873,21.9873,1390
2018-02-20,21.7608,21.8106,21.7608,21.8073,3810
2018-02-21,21.7011,21.721,21.7011,21.721,367
2018-02-22,21.731,21.731,21.5618,21.7001,1718
2018-02-23,21.6912,21.6975,21.6912,21.6975,277
2018-02-26,21.9897,21.9897,21.9897,21.9897,1000
2018-02-27,21.9996,22.0031,21.7111,21.7141,5101
2018-02-28,,,,21.7141,2
2018-03-01,21.2558,21.372,21.214,21.372,3892
2018-03-02,21.2385,21.2385,21.2385,21.2385,157
2018-03-05,,,,21.2385,29
2018-03-06,21.6613,21.716,21.6386,21.716,2082
2018-03-07,21.6215,21.7051,21.6215,21.7051,2012
2018-03-08,21.721,21.7708,21.721,21.7708,21336
2018-03-09,,,,21.7708,154
2018-03-12,22.1263,22.1385,22.1263,22.1385,406
2018-03-13,22.1176,22.1176,22.0295,22.0295,6164
2018-03-14,,,,22.0295,5
2018-03-15,21.8156,21.8595,21.8156,21.8595,1341
2018-03-16,,,,21.8595,123
2018-03-19,21.7001,21.7001,21.5986,21.5986,820
2018-03-20,21.5817,21.5817,21.5817,21.5817,2473
2018-03-21,21.532,21.6315,21.532,21.6274,1180
2018-03-22,21.2792,21.374,21.2792,21.3,3149
2018-03-23,20.66,20.66,20.66,20.66,501
2018-03-26,20.665,20.696,20.665,20.696,2089
2018-03-27,20.94,20.95,20.94,20.95,7920
2018-03-28,20.866,20.866,20.866,20.866,727
2018-03-29,21.161,21.161,21.161,21.161,886
2018-04-02,,,,21.161,68
2018-04-03,20.7276,20.78,20.6956,20.7032,2286
2018-04-04,20.88,21.0496,20.864,21.0496,1283
2018-04-05,21.16,21.16,21.1,21.1,506
2018-04-09,20.9517,21.0798,20.9517,21.0521,590
2018-04-10,21.181,21.1928,21.181,21.1928,1209
2018-04-11,21.183,21.204,21.183,21.204,1102
2018-04-13,21.16,21.16,21.15,21.153,919
2018-04-16,21.215,21.215,21.215,21.215,141
2018-04-17,21.4725,21.49,21.46,21.46,16371
2018-04-18,21.4749,21.51,21.31,21.43,414532
2018-04-19,21.2799,21.2799,21.13,21.19,9223
2018-04-20,21.09,21.09,21.09,21.09,190
2018-04-23,21.09,21.09,21.005,21.005,9014
2018-04-24,20.96,20.96,20.8724,20.8724,1668
2018-04-25,20.95,21.02,20.95,21.02,380
2018-04-26,,,,21.02,31
2018-04-30,21.33,21.3428,21.19,21.19,33922
2018-05-02,20.993,21.01,20.993,21.01,357
2018-05-03,20.6524,20.6524,20.6524,20.6524,290
2018-05-04,20.8793,21.1199,20.8793,21.1199,1376
2018-05-08,20.91,20.91,20.91,20.91,141
2018-05-09,21.146,21.146,21.146,21.146,620
2018-05-10,21.33,21.342,21.326,21.326,5513
2018-05-11,21.399,21.399,21.36,21.3627,1450
2018-05-14,21.41,21.41,21.41,21.41,926
2018-05-16,21.45,21.5096,21.433,21.5096,600
2018-05-17,21.4,21.4204,21.4,21.4204,223
