symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
SAEX,2017-07-20,2.910000,3.050000,False,2.900000,3.020000,reg,23975
SAEX,2017-07-21,2.900000,3.050000,False,2.880500,2.910000,reg,38262
SAEX,2017-07-24,2.980000,3.190000,False,2.850000,2.850000,reg,107682
SAEX,2017-07-25,2.990000,3.129000,False,2.870000,3.010000,reg,55398
SAEX,2017-07-26,3.130000,3.150000,False,2.910000,3.038500,reg,33520
SAEX,2017-07-27,2.980000,3.075000,False,2.910000,3.060000,reg,14650
SAEX,2017-07-28,2.980000,3.150000,False,2.880000,2.920000,reg,52018
SAEX,2017-07-31,3.000000,3.033600,False,2.920000,2.940000,reg,17561
SAEX,2017-08-01,2.960000,3.089400,False,2.950000,2.970000,reg,41202
SAEX,2017-08-02,3.050000,3.130000,False,2.880000,2.930000,reg,138792
SAEX,2017-08-03,2.530000,3.007900,False,2.460000,2.970000,reg,112711
SAEX,2017-08-04,2.640000,2.840000,False,2.550000,2.570000,reg,63769
SAEX,2017-08-07,2.550000,2.715000,False,2.550000,2.640000,reg,15233
SAEX,2017-08-08,2.480000,2.590000,False,2.452600,2.510000,reg,20036
SAEX,2017-08-09,2.390000,2.521600,False,2.261300,2.450000,reg,31971
SAEX,2017-08-10,2.360000,2.420000,False,2.283100,2.390000,reg,15627
SAEX,2017-08-11,2.130000,2.359000,False,2.100000,2.310000,reg,77451
SAEX,2017-08-14,2.210000,2.240000,False,2.150000,2.170000,reg,15098
SAEX,2017-08-15,2.080000,2.207200,False,2.017900,2.207200,reg,20502
SAEX,2017-08-16,2.090000,2.184200,False,2.000000,2.030000,reg,31923
SAEX,2017-08-17,2.000000,2.139300,False,1.980000,2.060000,reg,15876
SAEX,2017-08-18,2.060000,2.069900,False,1.980000,2.040000,reg,13413
SAEX,2017-08-21,2.177000,2.190000,False,2.000000,2.090000,reg,50332
SAEX,2017-08-22,1.850000,2.050000,False,1.540000,1.980000,reg,123234
SAEX,2017-08-23,1.570000,1.850000,False,1.560000,1.850000,reg,58293
SAEX,2017-08-24,1.580000,1.650000,False,1.500000,1.600000,reg,56602
SAEX,2017-08-25,1.600000,1.770000,False,1.580000,1.580000,reg,18325
SAEX,2017-08-28,1.630000,1.650000,False,1.510000,1.590000,reg,44292
SAEX,2017-08-29,1.590000,1.620000,False,1.500000,1.531200,reg,31882
SAEX,2017-08-30,1.580000,1.600000,False,1.530100,1.530100,reg,6294
SAEX,2017-08-31,1.590000,1.610000,False,1.530000,1.555700,reg,31167
SAEX,2017-09-01,1.670000,1.740000,False,1.590000,1.590000,reg,49601
SAEX,2017-09-05,1.660000,1.769000,False,1.520000,1.769000,reg,43914
SAEX,2017-09-06,1.690000,1.750000,False,1.630000,1.670000,reg,25499
SAEX,2017-09-07,1.770000,1.900000,False,1.740000,1.740000,reg,43812
SAEX,2017-09-08,1.900000,1.930000,False,1.750000,1.770000,reg,86185
SAEX,2017-09-11,2.390000,2.550000,False,1.900000,1.900000,reg,385030
SAEX,2017-09-12,2.880000,2.950000,False,2.360000,2.380000,reg,270038
SAEX,2017-09-13,2.840000,3.000000,False,2.480000,2.880000,reg,143584
SAEX,2017-09-14,2.850000,2.920000,False,2.680000,2.790000,reg,39589
SAEX,2017-09-15,2.700000,3.200000,False,2.700000,3.000000,reg,190841
SAEX,2017-09-18,2.520000,2.937300,False,2.470000,2.690000,reg,88101
SAEX,2017-09-19,2.510000,2.710000,False,2.340000,2.430000,reg,33471
SAEX,2017-09-20,2.530000,2.629000,False,2.421000,2.510000,reg,29639
SAEX,2017-09-21,2.590000,2.700000,False,2.530000,2.540000,reg,24451
SAEX,2017-09-22,2.680000,2.700000,False,2.536100,2.640000,reg,30444
SAEX,2017-09-25,2.580000,3.099000,False,2.550000,2.680000,reg,62736
SAEX,2017-09-26,2.650000,2.769000,False,2.596700,2.601000,reg,8795
SAEX,2017-09-27,2.590000,2.720000,False,2.532000,2.596300,reg,5706
SAEX,2017-09-28,2.550000,2.630000,False,2.550000,2.600000,reg,14200
SAEX,2017-09-29,2.510000,2.722300,False,2.510000,2.670000,reg,13217
SAEX,2017-10-02,2.640000,2.830000,False,2.420000,2.547300,reg,26258
SAEX,2017-10-03,2.570000,2.719900,False,2.510000,2.640000,reg,27367
SAEX,2017-10-04,2.600000,2.665300,False,2.453300,2.520000,reg,34293
SAEX,2017-10-05,2.650000,2.650000,False,2.510000,2.600000,reg,22431
SAEX,2017-10-06,2.570000,2.610200,False,2.450100,2.600000,reg,28365
SAEX,2017-10-09,2.430000,2.596100,False,2.362500,2.530000,reg,27752
SAEX,2017-10-10,2.360000,2.490000,False,2.320000,2.350000,reg,5229
SAEX,2017-10-11,2.440000,2.450000,False,2.340000,2.440000,reg,19287
SAEX,2017-10-12,2.310000,2.530000,False,2.310000,2.480000,reg,19873
SAEX,2017-10-13,2.060000,2.367400,False,1.880000,2.350000,reg,98062
SAEX,2017-10-16,2.170000,2.222400,False,2.000000,2.060000,reg,27796
SAEX,2017-10-17,2.060000,2.187000,False,2.060000,2.170000,reg,18633
SAEX,2017-10-18,1.990000,2.100000,False,1.910000,2.100000,reg,24280
SAEX,2017-10-19,2.030000,2.030000,False,1.880000,1.950700,reg,27947
SAEX,2017-10-20,1.890000,2.070000,False,1.890000,2.030000,reg,27677
SAEX,2017-10-23,1.975000,1.990000,False,1.890000,1.950000,reg,9920
SAEX,2017-10-24,1.920400,2.110200,False,1.900600,1.970000,reg,23661
SAEX,2017-10-25,1.940000,1.990000,False,1.870000,1.930000,reg,11544
SAEX,2017-10-26,1.960000,1.975000,False,1.900100,1.960000,reg,14849
SAEX,2017-10-27,1.940000,2.030000,False,1.900000,2.030000,reg,32837
SAEX,2017-10-30,1.980000,2.000000,False,1.910100,1.940000,reg,5371
SAEX,2017-10-31,2.170000,2.439900,False,1.930000,2.000000,reg,169830
SAEX,2017-11-01,2.100000,2.300000,False,1.990000,2.210000,reg,85723
SAEX,2017-11-02,1.950000,2.160000,False,1.930000,2.100000,reg,70547
SAEX,2017-11-03,1.910000,2.080200,False,1.760000,1.980000,reg,45219
SAEX,2017-11-06,2.060000,2.250000,False,1.911000,1.950000,reg,139293
SAEX,2017-11-07,2.105000,2.149000,False,2.000000,2.130000,reg,31029
SAEX,2017-11-08,2.010000,2.170000,False,2.010000,2.140000,reg,39390
SAEX,2017-11-09,1.830000,1.990000,False,1.680000,1.990000,reg,102065
SAEX,2017-11-10,1.730000,1.800000,False,1.570000,1.800000,reg,20923
SAEX,2017-11-13,1.790000,1.840000,False,1.740000,1.740000,reg,13263
SAEX,2017-11-14,1.790000,1.840000,False,1.640000,1.840000,reg,18682
SAEX,2017-11-15,1.760000,1.780500,False,1.600000,1.680600,reg,29585
SAEX,2017-11-16,1.660000,1.705000,False,1.650000,1.694400,reg,3970
SAEX,2017-11-17,1.810000,1.890000,False,1.680000,1.680000,reg,57795
SAEX,2017-11-20,1.830000,2.050000,False,1.750000,1.870000,reg,39866
SAEX,2017-11-21,1.810000,2.040000,False,1.769800,1.816400,reg,28468
SAEX,2017-11-22,1.850000,2.040000,False,1.770100,1.850100,reg,180679
SAEX,2017-11-24,1.780000,1.959000,False,1.750000,1.900000,reg,38052
SAEX,2017-11-27,1.660000,1.780000,False,1.650000,1.760000,reg,37218
SAEX,2017-11-28,1.690000,1.770000,False,1.630000,1.680000,reg,33413
SAEX,2017-11-29,1.730000,1.768200,False,1.630000,1.715000,reg,18735
SAEX,2017-11-30,1.650000,1.880800,False,1.640000,1.790000,reg,65006
SAEX,2017-12-01,1.700000,1.840800,False,1.649200,1.650000,reg,22713
SAEX,2017-12-04,1.570000,1.700000,False,1.500000,1.651100,reg,72859
SAEX,2017-12-05,1.550000,1.619000,False,1.520000,1.540000,reg,28239
SAEX,2017-12-06,1.510000,1.649000,False,1.510000,1.530000,reg,23829
SAEX,2017-12-07,1.589000,1.630000,False,1.520000,1.565900,reg,67351
SAEX,2017-12-08,1.560000,1.600000,False,1.550000,1.600000,reg,13674
SAEX,2017-12-11,1.590000,1.780000,False,1.574800,1.589000,reg,121840
SAEX,2017-12-12,1.659400,1.680000,False,1.590100,1.590100,reg,17743
SAEX,2017-12-13,1.730000,1.800000,False,1.630000,1.660000,reg,135735
SAEX,2017-12-14,1.660000,1.775000,False,1.660000,1.739800,reg,38328
SAEX,2017-12-15,1.550000,1.700000,False,1.550000,1.700000,reg,69484
SAEX,2017-12-18,1.540000,1.620000,False,1.530000,1.620000,reg,28110
SAEX,2017-12-19,1.530000,1.581600,False,1.520000,1.580000,reg,47191
SAEX,2017-12-20,1.266200,1.550000,False,1.183600,1.520000,reg,221320
SAEX,2017-12-21,1.950000,2.200000,False,1.290000,1.370000,reg,2005659
SAEX,2017-12-22,2.650000,2.890000,False,1.557800,1.660000,reg,1766727
SAEX,2017-12-26,2.580000,2.949700,False,2.261000,2.370000,reg,504520
SAEX,2017-12-27,2.160000,2.589000,False,2.000000,2.520000,reg,212599
SAEX,2017-12-28,2.220000,2.400000,False,2.140000,2.150000,reg,139334
SAEX,2017-12-29,2.200000,2.280000,False,2.107300,2.210000,reg,111834
SAEX,2018-01-02,2.110000,2.200000,False,2.020000,2.200000,reg,99227
SAEX,2018-01-03,2.560000,2.769000,False,2.020100,2.090000,reg,525600
SAEX,2018-01-04,2.380000,2.790000,False,2.300000,2.550000,reg,296236
SAEX,2018-01-05,2.326100,2.371800,False,2.200000,2.360000,reg,83563
SAEX,2018-01-08,2.230000,2.310100,False,2.130000,2.300000,reg,59145
SAEX,2018-01-09,2.140000,2.210000,False,2.100000,2.210000,reg,52062
SAEX,2018-01-10,2.210100,2.300000,False,2.130000,2.130000,reg,40953
SAEX,2018-01-11,2.420000,2.520000,False,2.221200,2.260000,reg,499445
SAEX,2018-01-12,2.600000,3.500000,False,2.530000,2.770000,reg,1540216
SAEX,2018-01-16,2.360000,2.580000,False,2.280000,2.580000,reg,104479
SAEX,2018-01-17,2.270000,2.372100,False,2.180800,2.340000,reg,66977
SAEX,2018-01-18,2.280000,2.400000,False,2.120100,2.180000,reg,358018
SAEX,2018-01-19,2.200000,2.280000,False,2.120100,2.230000,reg,63250
SAEX,2018-01-22,2.280000,2.350000,False,2.155400,2.240000,reg,46704
SAEX,2018-01-23,2.430000,2.480000,False,2.260000,2.281000,reg,166616
SAEX,2018-01-24,2.540000,2.699000,False,2.410000,2.480000,reg,74981
SAEX,2018-01-25,2.460000,2.649000,False,2.310000,2.550000,reg,45599
SAEX,2018-01-26,2.520000,2.520600,False,2.290000,2.450000,reg,55961
SAEX,2018-01-29,2.390000,2.600000,False,2.380000,2.600000,reg,14882
SAEX,2018-01-30,2.400000,2.580000,False,2.350000,2.580000,reg,13830
SAEX,2018-01-31,2.180000,2.650000,False,2.160000,2.370000,reg,125835
SAEX,2018-02-01,2.000000,2.240000,False,1.950000,2.240000,reg,107235
SAEX,2018-02-02,1.960000,2.170000,False,1.950000,2.000000,reg,23755
SAEX,2018-02-05,1.668000,1.990000,False,1.570000,1.990000,reg,85981
SAEX,2018-02-06,1.640000,1.750000,False,1.541600,1.560000,reg,50960
SAEX,2018-02-07,1.760000,1.884700,False,1.700000,1.720000,reg,14949
SAEX,2018-02-08,1.680000,1.770000,False,1.650000,1.770000,reg,7982
SAEX,2018-02-09,1.675200,1.780000,False,1.600000,1.700000,reg,17839
SAEX,2018-02-12,1.650000,1.800000,False,1.600000,1.740000,reg,26108
SAEX,2018-02-13,1.660000,1.789600,False,1.610000,1.610000,reg,6250
SAEX,2018-02-14,1.680000,1.779000,False,1.540000,1.630000,reg,16366
SAEX,2018-02-15,1.690000,1.729000,False,1.685500,1.685500,reg,5559
SAEX,2018-02-16,1.630000,1.690000,False,1.620000,1.621000,reg,16051
SAEX,2018-02-20,1.690000,1.720000,False,1.641600,1.670000,reg,16451
SAEX,2018-02-21,1.740000,1.740000,False,1.661600,1.661600,reg,6478
SAEX,2018-02-22,1.900000,2.230000,False,1.720100,1.740000,reg,203359
SAEX,2018-02-23,1.740000,1.950000,False,1.700000,1.830000,reg,80493
SAEX,2018-02-26,1.710000,1.775000,False,1.690000,1.720000,reg,13710
SAEX,2018-02-27,1.640000,1.710000,False,1.640000,1.697300,reg,15474
SAEX,2018-02-28,1.550000,1.660000,False,1.550000,1.640000,reg,32596
SAEX,2018-03-01,1.590000,1.630000,False,1.550000,1.600000,reg,11418
SAEX,2018-03-02,1.590000,1.655900,False,1.540000,1.541000,reg,30118
SAEX,2018-03-05,1.850000,1.850000,False,1.558800,1.600000,reg,274123
SAEX,2018-03-06,1.620000,1.830000,False,1.620000,1.660000,reg,102474
SAEX,2018-03-07,1.620000,1.738300,False,1.590000,1.590000,reg,13900
SAEX,2018-03-08,1.630000,1.710000,False,1.591000,1.610000,reg,12195
SAEX,2018-03-09,1.660000,1.820000,False,1.610000,1.610000,reg,31422
SAEX,2018-03-12,1.710000,1.760600,False,1.701000,1.730000,reg,9932
SAEX,2018-03-13,1.660000,1.760000,False,1.650000,1.700000,reg,11826
SAEX,2018-03-14,1.600000,1.782000,False,1.600000,1.760000,reg,32547
SAEX,2018-03-15,1.610000,1.719900,False,1.610000,1.660000,reg,21108
SAEX,2018-03-16,1.530000,1.700000,False,1.508400,1.620000,reg,80680
SAEX,2018-03-19,1.460000,1.590000,False,1.460000,1.500000,reg,49076
SAEX,2018-03-20,1.480000,1.530000,False,1.450000,1.470000,reg,71287
SAEX,2018-03-21,1.550000,1.621700,False,1.480000,1.600000,reg,15100
SAEX,2018-03-22,1.465400,1.541700,False,1.450000,1.541000,reg,26119
SAEX,2018-03-23,1.460000,1.489900,False,1.450000,1.464400,reg,9423
SAEX,2018-03-26,1.480000,1.490000,False,1.460000,1.461400,reg,9102
