date,open,high,low,close,volume
2018-01-02,0.88,0.9489,0.85,0.91,140414
2018-01-03,0.9224,0.9489,0.91,0.931,144547
2018-01-04,0.93,0.9521,0.885,0.9521,186625
2018-01-05,1.0,1.15,1.0,1.0001,1083452
2018-01-08,1.03,1.04,0.9101,0.948,193191
2018-01-09,0.91,0.9737,0.86,0.86,134762
2018-01-10,0.8743,0.93,0.86,0.8951,118763
2018-01-11,0.8601,0.9198,0.8601,0.9052,74309
2018-01-12,0.9054,0.939,0.9,0.91,53400
2018-01-16,0.95,1.03,0.9102,0.9954,309812
2018-01-17,1.0,1.32,1.0,1.17,2844614
2018-01-18,1.15,1.25,1.07,1.24,586590
2018-01-19,1.26,1.299,1.18,1.2098,281799
2018-01-22,1.22,1.22,1.14,1.155,224186
2018-01-23,1.16,1.1758,1.1,1.13,214433
2018-01-24,1.13,1.16,1.06,1.1,284878
2018-01-25,1.1,1.1822,1.0801,1.17,546637
2018-01-26,1.17,1.17,1.05,1.13,1151607
2018-01-29,1.11,1.14,1.09,1.1,279988
2018-01-30,1.1,1.12,1.06,1.09,484738
2018-01-31,1.1,1.119,1.06,1.08,457784
2018-02-01,1.07,1.12,1.07,1.101,158131
2018-02-02,1.12,1.12,1.07,1.08,120980
2018-02-05,1.07,1.07,0.9504,0.955,255200
2018-02-06,0.9368,0.9743,0.9001,0.9652,101307
2018-02-07,0.95,1.01,0.95,0.95,76645
2018-02-08,0.964,0.999,0.9502,0.9601,56480
2018-02-09,1.02,1.02,0.9502,0.9502,112891
2018-02-12,0.95,0.98,0.93,0.97,75816
2018-02-13,0.95,1.02,0.9301,1.0,107820
2018-02-14,1.02,1.1,0.9601,1.05,211783
2018-02-15,1.05,1.21,0.95,0.9689,2577702
2018-02-16,1.0,1.0,0.86,0.91,593005
2018-02-20,0.91,0.9101,0.87,0.87,132508
2018-02-21,0.8841,0.914,0.86,0.8627,140327
2018-02-22,0.89,0.899,0.8501,0.8651,316078
2018-02-23,0.9083,0.9083,0.8612,0.8706,70528
2018-02-26,0.8902,0.8902,0.85,0.856,291375
2018-02-27,0.87,0.8795,0.82,0.84,134689
2018-02-28,0.84,0.84,0.8,0.8225,307635
2018-03-01,0.8334,0.89,0.8001,0.86,417591
2018-03-02,0.8642,0.87885,0.8301,0.8597,77478
2018-03-05,0.8695,0.8695,0.84,0.86,65484
2018-03-06,0.88,0.88,0.82,0.8303,117675
2018-03-07,0.84,0.86,0.82,0.827,42188
2018-03-08,0.8348,0.97,0.8112,0.83,1214173
2018-03-09,0.83,0.89,0.8016,0.86,960058
2018-03-12,0.85,0.919,0.8401,0.8734,324437
2018-03-13,0.8734,0.898,0.813,0.8221,421162
2018-03-14,0.85,1.36,0.8235,1.36,12950167
2018-03-15,1.25,1.3,0.99,1.0,7419603
2018-03-16,1.28,1.52,1.15,1.27,18408024
2018-03-19,1.24,1.24,1.06,1.12,3390711
2018-03-20,1.1,1.1101,1.01,1.03,1257339
2018-03-21,1.07,1.07,0.94,0.951,1908149
2018-03-22,0.915,0.95,0.878,0.878,1113978
2018-03-23,0.91,0.92,0.8303,0.8488,1060347
2018-03-26,0.841,0.9178,0.8007,0.8989,2435783
2018-03-27,0.91,0.92,0.841,0.8589,871899
2018-03-28,0.86,0.86,0.801,0.8021,800706
2018-03-29,0.83,0.83,0.74,0.7703,1611132
2018-04-02,0.78,0.819,0.75,0.7509,1091354
2018-04-03,0.76,0.7885,0.67,0.6906,1003531
2018-04-04,0.6905,0.6998,0.648,0.649,606898
2018-04-05,0.6501,0.698,0.6501,0.6845,331124
2018-04-06,0.7403,0.7403,0.6402,0.6776,457188
2018-04-09,0.7,0.734,0.651,0.66,368310
2018-04-10,0.66,0.72,0.66,0.6938,642026
2018-04-11,0.69,0.73,0.69,0.7058,437223
2018-04-12,0.72,0.8195,0.7,0.7999,1324306
2018-04-13,0.81,0.815,0.76,0.7778,444567
2018-04-16,0.79,0.81,0.72,0.724,210578
2018-04-17,0.7375,0.75,0.69,0.7329,221237
2018-04-18,0.735,0.76,0.715,0.7375,176260
2018-04-19,0.75,0.7505,0.7,0.7001,277801
2018-04-20,0.7025,0.73,0.68,0.69511,215630
2018-04-23,0.68,0.71,0.68,0.6998,135865
2018-04-24,0.7202,0.7202,0.68,0.6815,165239
2018-04-25,0.7,0.7295,0.67,0.685,159746
2018-04-26,0.72,0.72,0.68,0.693,156579
2018-04-27,0.67,0.7099,0.67,0.7018,128383
2018-04-30,0.7,0.7199,0.68,0.6805,91886
2018-05-01,0.681,0.6831,0.67,0.6711,68390
2018-05-02,0.67,0.69,0.665,0.6738,127960
2018-05-03,0.6702,0.6901,0.66,0.661,178998
2018-05-04,0.66,0.68,0.64,0.6429,243166
2018-05-07,0.65,0.7,0.65,0.69001,480498
2018-05-08,0.72,0.7468,0.67,0.680045,354295
2018-05-09,0.7,0.7,0.65,0.6651,121655
2018-05-10,0.67,0.698,0.6551,0.6693,189877
2018-05-11,0.6506,0.6759,0.65,0.6573,150268
2018-05-14,0.66,0.689,0.6506,0.6634,404089
2018-05-15,0.6515,0.71,0.6515,0.686,458921
2018-05-16,0.71,0.71,0.6701,0.69,116792
2018-05-17,0.68,0.7,0.6618,0.68,186935
