date,open,high,low,close,volume
2018-01-02,53.64,56.51,53.63,56.13,948150
2018-01-03,56.3,57.13,55.545,56.61,540920
2018-01-04,56.74,56.875,55.04,55.53,577881
2018-01-05,55.98,55.98,54.87,55.01,500420
2018-01-08,55.12,55.23,54.295,54.68,810358
2018-01-09,54.86,55.57,54.685,55.43,559914
2018-01-10,55.02,55.205,53.07,53.38,1423470
2018-01-11,53.41,53.41,50.76,51.78,1432366
2018-01-12,51.71,52.89,51.28,52.36,926614
2018-01-16,52.64,52.8,50.875,50.95,950172
2018-01-17,51.48,52.83,50.8,52.56,1862587
2018-01-18,52.5,53.57,52.27,53.45,1026770
2018-01-19,53.44,53.76,52.63,53.48,1287841
2018-01-22,54.02,56.38,53.7,56.29,1070962
2018-01-23,56.25,57.91,55.79,56.76,1284138
2018-01-24,56.8,57.06,55.24,55.96,919671
2018-01-25,56.29,56.51,55.14,55.59,523389
2018-01-26,55.22,56.37,55.07,56.08,491220
2018-01-29,55.88,57.18,55.88,56.6,607920
2018-01-30,55.82,56.17,54.9,55.21,804322
2018-01-31,53.99,53.99,51.475,52.3,2441914
2018-02-01,55.32,57.4,54.24,56.15,5871539
2018-02-02,55.76,56.969,55.3605,55.9,1823610
2018-02-05,55.58,55.7,53.24,53.27,2643334
2018-02-06,53.47,54.91,52.19,54.24,2803563
2018-02-07,53.4,53.6508,51.71,51.9,2503877
2018-02-08,51.92,52.36,50.54,50.54,1701688
2018-02-09,50.93,51.7355,48.78,50.14,2639672
2018-02-12,50.71,53.49,50.54,52.31,1233642
2018-02-13,52.11,52.28,50.87,52.15,1005298
2018-02-14,53.62,54.78,53.29,54.06,1156474
2018-02-15,54.53,55.18,53.6,54.85,845824
2018-02-16,54.8,55.81,54.27,54.48,965192
2018-02-20,54.0,55.5,53.86,54.16,710321
2018-02-21,54.35,55.43,54.07,54.11,594488
2018-02-22,54.32,55.1,53.54,53.78,924206
2018-02-23,53.96,55.45,53.44,55.35,600248
2018-02-26,55.24,55.98,54.31,55.92,592486
2018-02-27,56.0,56.72,54.71,55.55,489543
2018-02-28,55.52,55.63,53.99,54.0,787831
2018-03-01,54.09,54.82,51.64,52.27,1418783
2018-03-02,51.73,52.93,50.67,52.8,1061735
2018-03-05,52.71,54.95,51.93,54.71,684409
2018-03-06,54.66,55.35,53.98,55.27,694138
2018-03-07,54.99,56.32,54.67,56.25,1009047
2018-03-08,57.04,57.61,55.34,56.97,1228583
2018-03-09,57.48,58.0,56.56,57.19,647125
2018-03-12,57.47,59.98,57.0,58.68,1338681
2018-03-13,58.71,59.63,58.42,59.32,858327
2018-03-14,59.81,59.87,57.58,58.59,754541
2018-03-15,58.86,58.86,57.3,57.68,740593
2018-03-16,57.8,58.1,57.29,57.7,1442129
2018-03-19,57.25,57.63,55.01,55.73,765337
2018-03-20,56.1,57.1,54.65,54.86,1229035
2018-03-21,54.79,54.9,53.7,54.12,1089492
2018-03-22,53.94,54.92,53.15,53.21,622567
2018-03-23,52.89,53.135,50.91,50.95,863981
2018-03-26,51.62,53.69,50.89,53.57,1093297
2018-03-27,53.57,54.46,51.06,51.2,896917
2018-03-28,50.98,52.08,49.61,51.68,1026491
2018-03-29,51.77,53.135,51.38,52.34,994435
2018-04-02,51.83,52.44,49.9,50.94,1273519
2018-04-03,51.19,51.78,49.58,50.27,941025
2018-04-04,49.75,53.26,49.6375,53.07,766981
2018-04-05,53.28,53.48,51.685,51.87,651312
2018-04-06,51.39,51.65,50.01,50.07,979889
2018-04-09,50.66,51.57,49.976,50.2,645217
2018-04-10,50.93,51.95,50.52,51.69,655735
2018-04-11,51.41,53.1,51.29,51.65,921281
2018-04-12,51.79,52.67,51.5,51.63,599106
2018-04-13,51.75,52.27,49.73,50.24,736615
2018-04-16,50.49,50.63,49.56,50.32,564939
2018-04-17,51.1,52.88,50.636,51.72,588725
2018-04-18,51.78,52.065,50.7,50.79,711436
2018-04-19,50.72,50.96,49.48,49.57,767265
2018-04-20,49.44,49.86,48.965,49.68,1119036
2018-04-23,49.89,50.21,49.2,49.8,585873
2018-04-24,49.89,50.49,48.61,48.78,911319
2018-04-25,48.87,49.36,47.75,48.13,918172
2018-04-26,48.52,49.08,47.98,48.86,1009987
2018-04-27,50.75,54.61,50.52,51.58,2078252
2018-04-30,51.47,52.28,50.555,51.19,2027541
2018-05-01,51.32,52.6,51.06,52.52,1104409
2018-05-02,52.21,55.89,51.83,54.43,1855954
2018-05-03,54.55,55.78,53.725,53.98,1140329
2018-05-04,53.77,54.5,52.25,52.72,1287882
2018-05-07,52.69,54.32,52.53,54.05,1018150
2018-05-08,53.91,54.84,53.5,54.08,839721
2018-05-09,54.6,56.13,53.46,55.5,1063430
2018-05-10,55.5,56.26,55.31,55.6,760840
2018-05-11,55.34,57.19,55.25,56.92,497563
2018-05-14,56.87,57.86,56.56,57.58,1028091
2018-05-15,57.24,57.35,56.01,57.3,727336
2018-05-16,57.42,59.095,56.88,58.5,935112
2018-05-17,58.67,58.67,56.79,57.33,948522
