date,open,high,low,close,volume
2018-01-02,33.95,34.05,33.45,33.85,139525
2018-01-03,33.8,33.95,32.35,32.85,166504
2018-01-04,32.95,33.2,32.55,33.15,122274
2018-01-05,33.3,33.4,32.45,32.6,127137
2018-01-08,32.45,33.45,32.4,33.35,129188
2018-01-09,33.3,34.1,32.7,32.95,169268
2018-01-10,32.9,33.1,31.4,32.0,152087
2018-01-11,31.85,32.45,31.75,32.2,128425
2018-01-12,32.25,32.8,32.2,32.45,98713
2018-01-16,32.65,32.9,31.9,31.95,145999
2018-01-17,32.15,32.25,31.55,31.75,118573
2018-01-18,31.8,32.15,31.2,31.25,113982
2018-01-19,31.2,31.65,31.0,31.6,118207
2018-01-22,31.65,32.45,31.6,32.35,64906
2018-01-23,32.45,32.75,32.1,32.55,75739
2018-01-24,32.75,33.25,32.45,33.0,203990
2018-01-25,33.15,33.275,32.75,33.1,136370
2018-01-26,33.25,33.25,32.545,32.8,82891
2018-01-29,32.6,33.65,32.35,33.1,142250
2018-01-30,33.05,33.675,32.75,33.5,131099
2018-01-31,33.65,34.15,33.275,34.0,122434
2018-02-01,34.0,34.0,33.15,33.25,103054
2018-02-02,33.15,33.15,32.25,32.3,64539
2018-02-05,32.15,32.55,30.6,30.7,96158
2018-02-06,30.2,31.35,30.0,31.2,192162
2018-02-07,31.0,31.6,30.85,31.55,70150
2018-02-08,31.5,31.6,30.45,30.5,88167
2018-02-09,30.8,31.15,30.1,30.75,94599
2018-02-12,30.8,31.5,30.3,31.0,86686
2018-02-13,30.75,31.1,30.625,31.0,78582
2018-02-14,30.6,31.25,30.3,31.05,73315
2018-02-15,31.35,32.35,30.5156,32.25,84078
2018-02-16,32.15,33.25,32.15,32.85,91969
2018-02-20,32.7,33.2125,31.9,32.1,60613
2018-02-21,32.1,32.6,31.75,31.8,63835
2018-02-22,32.0,32.3,30.901,31.05,54229
2018-02-23,31.25,32.75,31.25,32.6,65899
2018-02-26,32.75,33.65,32.45,33.45,66326
2018-02-27,33.4,33.8,32.8,32.8,84514
2018-02-28,32.9,33.65,32.75,32.8,128149
2018-03-01,32.75,33.4,31.95,32.9,95844
2018-03-02,32.55,33.675,31.85,33.0,78230
2018-03-05,32.8,34.5,32.8,34.3,125050
2018-03-06,34.4,34.9,33.85,34.5,121328
2018-03-07,34.35,35.15,34.15,34.7,101461
2018-03-08,34.7,35.0,34.0,34.5,145955
2018-03-09,34.8,35.15,34.1082,34.65,106735
2018-03-12,34.6,34.6,31.3,32.8,326134
2018-03-13,32.9,33.2,32.6,32.95,246425
2018-03-14,33.1,33.75,32.75,33.45,171439
2018-03-15,32.3,35.6,32.3,34.05,217758
2018-03-16,34.0,36.9,33.3,36.85,1047304
2018-03-19,36.7,37.95,36.0,37.5,318294
2018-03-20,37.65,38.4,36.201,38.15,210273
2018-03-21,38.0,38.6,37.7501,38.05,148244
2018-03-22,37.5,37.6,36.2,36.2,234705
2018-03-23,36.4,37.25,35.85,35.85,180050
2018-03-26,36.45,36.65,35.55,35.85,169408
2018-03-27,35.9,36.4,35.55,35.8,151349
2018-03-28,35.8,36.55,35.7,35.85,171096
2018-03-29,36.1,36.7,35.95,36.0,199533
2018-04-02,35.85,35.95,34.1,34.25,210334
2018-04-03,34.4,35.2,33.775,34.95,187805
2018-04-04,34.95,36.2,34.7,36.05,154495
2018-04-05,36.15,37.2,36.1,37.0,98354
2018-04-06,36.85,37.75,36.8,37.3,190517
2018-04-09,37.3,37.45,36.25,36.4,100559
2018-04-10,36.7,37.4,36.3,36.65,256894
2018-04-11,37.05,38.1,36.95,37.55,268945
2018-04-12,37.55,37.85,37.35,37.8,92354
2018-04-13,37.85,38.0,37.4,37.55,91558
2018-04-16,37.6,38.05,36.4,38.0,133494
2018-04-17,38.0,38.5,37.95,38.4,89176
2018-04-18,38.45,39.0,38.3,38.75,145036
2018-04-19,38.65,39.35,38.3,39.05,107151
2018-04-20,38.85,39.1625,37.2,38.9,69741
2018-04-23,38.95,39.0,37.5,38.6,88056
2018-04-24,38.5,39.2,37.75,38.55,154067
2018-04-25,38.5,39.0,38.1,38.8,96725
2018-04-26,38.85,39.0,38.3,38.8,73687
2018-04-27,38.85,39.65,38.6,39.3,125868
2018-04-30,39.1,39.1,37.55,37.75,115910
2018-05-01,37.75,37.75,36.2,36.35,97779
2018-05-02,36.4,37.05,36.4,36.65,106808
2018-05-03,36.7,37.2,35.3,35.5,99643
2018-05-04,34.15,35.1,33.65,34.15,215719
2018-05-07,34.15,34.15,32.35,32.55,160365
2018-05-08,32.5,33.075,31.65,31.85,168646
2018-05-09,31.8,32.15,30.7,31.35,251251
2018-05-10,31.3,31.35,30.55,31.05,173408
2018-05-11,31.15,32.25,31.0,31.45,123916
2018-05-14,31.5,31.85,30.88,31.05,169651
2018-05-15,31.0,31.25,30.3,30.7,190229
2018-05-16,30.7,31.3,30.35,31.1,146080
2018-05-17,31.05,32.0248,31.05,31.25,124728
