symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
SKIS,2017-07-10,4.2202,4.3150,False,4.0779,4.0779,reg,31675
SKIS,2017-07-11,4.3624,4.3624,False,4.1737,4.2676,reg,34520
SKIS,2017-07-12,4.5047,4.5995,False,4.4098,4.4098,reg,144967
SKIS,2017-07-13,4.2676,4.5995,False,4.1267,4.5995,reg,128605
SKIS,2017-07-14,4.4098,4.4572,False,4.1615,4.2202,reg,30736
SKIS,2017-07-17,4.2676,4.5047,False,4.1727,4.3150,reg,75818
SKIS,2017-07-18,4.5995,4.8366,False,4.2676,4.2676,reg,295317
SKIS,2017-07-19,5.1211,5.2870,False,4.4098,4.4098,reg,382635
SKIS,2017-07-20,5.1685,5.2159,False,5.0310,5.1685,reg,148981
SKIS,2017-07-21,5.3108,5.3155,False,5.0737,5.2159,reg,205777
SKIS,2017-07-24,5.3582,5.4056,False,5.2159,5.4056,reg,82596
SKIS,2017-07-25,5.3294,5.3774,False,4.9933,5.0413,reg,116602
SKIS,2017-07-26,4.8973,5.2814,False,4.8973,5.2333,reg,63483
SKIS,2017-07-27,4.8973,5.0892,False,4.7292,4.9453,reg,97851
SKIS,2017-07-28,5.0893,5.0893,False,4.8973,4.9453,reg,33076
SKIS,2017-07-31,5.0413,5.1853,False,4.9933,5.0413,reg,19563
SKIS,2017-08-01,4.9453,5.0632,False,4.9453,5.0413,reg,21570
SKIS,2017-08-02,4.8012,4.9933,False,4.8012,4.9933,reg,28842
SKIS,2017-08-03,4.8973,5.0413,False,4.8012,4.8012,reg,48615
SKIS,2017-08-04,4.8012,4.9933,False,4.7532,4.8973,reg,57112
SKIS,2017-08-07,4.6092,4.8012,False,4.4651,4.7532,reg,99419
SKIS,2017-08-08,4.6092,4.8012,False,4.5612,4.6092,reg,37273
SKIS,2017-08-09,4.6092,4.6572,False,4.5612,4.6092,reg,15983
SKIS,2017-08-10,4.5612,4.6572,False,4.4651,4.6572,reg,18347
SKIS,2017-08-11,4.6572,4.7052,False,4.4949,4.6572,reg,29961
SKIS,2017-08-14,4.7532,4.8483,False,4.5612,4.5612,reg,35718
SKIS,2017-08-15,4.7532,4.8012,False,4.7062,4.7532,reg,5741
SKIS,2017-08-16,4.6572,4.7784,False,4.6571,4.7052,reg,29482
SKIS,2017-08-17,4.6092,4.7523,False,4.6092,4.6572,reg,17111
SKIS,2017-08-18,4.6572,4.7052,False,4.5612,4.6572,reg,39506
SKIS,2017-08-21,4.6092,4.6092,False,4.3883,4.6092,reg,57341
SKIS,2017-08-22,4.5612,4.7052,False,4.4752,4.6092,reg,23327
SKIS,2017-08-23,4.5612,4.6572,False,4.5132,4.5612,reg,11330
SKIS,2017-08-24,4.5132,4.6572,False,4.5132,4.5612,reg,18519
SKIS,2017-08-25,4.7052,4.7532,False,4.6092,4.6092,reg,10569
SKIS,2017-08-28,4.6092,4.7052,False,4.5612,4.7052,reg,17891
SKIS,2017-08-29,4.6572,4.7052,False,4.5612,4.6092,reg,38738
SKIS,2017-08-30,4.6572,4.8012,False,4.6092,4.7052,reg,37996
SKIS,2017-08-31,4.6572,4.8012,False,4.6092,4.8012,reg,14446
SKIS,2017-09-01,4.6572,4.7532,False,4.6092,4.6092,reg,32476
SKIS,2017-09-05,4.7052,4.7532,False,4.6572,4.7052,reg,15742
SKIS,2017-09-06,4.7532,4.8012,False,4.7052,4.7052,reg,71875
SKIS,2017-09-07,4.5132,4.8003,False,4.4651,4.7964,reg,43095
SKIS,2017-09-08,4.5612,4.6572,False,4.4651,4.6572,reg,48271
SKIS,2017-09-11,4.5132,4.5612,False,4.4651,4.4651,reg,21828
SKIS,2017-09-12,4.4171,4.5132,False,4.3691,4.5132,reg,47669
SKIS,2017-09-13,4.4171,4.4171,False,4.3691,4.3691,reg,14731
SKIS,2017-09-14,4.3691,4.4651,False,4.3691,4.3701,reg,23824
SKIS,2017-09-15,4.1771,4.4171,False,4.1771,4.4171,reg,66071
SKIS,2017-09-18,4.1291,4.2731,False,4.0330,4.1771,reg,117280
SKIS,2017-09-19,4.1291,4.3573,False,4.0810,4.3573,reg,22430
SKIS,2017-09-20,4.0810,4.2632,False,4.0810,4.1657,reg,31749
SKIS,2017-09-21,4.1771,4.2251,False,4.0810,4.1291,reg,39149
SKIS,2017-09-22,4.2251,4.2251,False,4.1771,4.1895,reg,19913
SKIS,2017-09-25,4.2251,4.3211,False,4.1771,4.2251,reg,22853
SKIS,2017-09-26,4.1771,4.3208,False,4.1771,4.3201,reg,5136
SKIS,2017-09-27,4.0810,4.2251,False,4.0810,4.2251,reg,64154
SKIS,2017-09-28,4.0330,4.1291,False,3.9850,4.0810,reg,101010
SKIS,2017-09-29,4.1771,4.1771,False,3.9610,3.9850,reg,77751
SKIS,2017-10-02,4.0330,4.1771,False,3.9370,4.1291,reg,35689
SKIS,2017-10-03,4.0330,4.1051,False,3.9370,4.0330,reg,135164
SKIS,2017-10-04,4.1291,4.2404,False,4.0810,4.0810,reg,124350
SKIS,2017-10-05,4.3691,4.3691,False,4.0810,4.1980,reg,309386
SKIS,2017-10-06,4.4171,4.4171,False,4.0330,4.2251,reg,28719
SKIS,2017-10-09,4.5132,4.5612,False,4.3691,4.3691,reg,60956
SKIS,2017-10-10,4.4651,4.6092,False,4.3691,4.4651,reg,29880
SKIS,2017-10-11,4.4171,4.4651,False,4.3691,4.4651,reg,15133
SKIS,2017-10-12,4.5612,4.6092,False,4.3691,4.4171,reg,51948
SKIS,2017-10-13,4.5602,4.7016,False,4.4885,4.6092,reg,8843
SKIS,2017-10-16,4.4651,4.6572,False,4.4651,4.6092,reg,13820
SKIS,2017-10-17,4.5132,4.5383,False,4.4171,4.4171,reg,17984
SKIS,2017-10-18,4.6092,4.6572,False,4.5132,4.5132,reg,61752
SKIS,2017-10-19,4.7052,4.7052,False,4.5612,4.6092,reg,68316
SKIS,2017-10-20,4.8012,4.8492,False,4.7052,4.7052,reg,158254
SKIS,2017-10-23,4.8012,4.8493,False,4.6572,4.7052,reg,56665
SKIS,2017-10-24,4.8973,4.9933,False,4.8012,4.8973,reg,22513
SKIS,2017-10-25,4.8680,4.9167,False,4.8194,4.8681,reg,56499
SKIS,2017-10-26,4.9167,4.9167,False,4.8559,4.8680,reg,62586
SKIS,2017-10-27,4.8194,4.8680,False,4.6733,4.8680,reg,14105
SKIS,2017-10-30,4.4786,4.8194,False,4.4786,4.7220,reg,41896
SKIS,2017-10-31,4.4786,4.5832,False,4.1378,4.5273,reg,31014
SKIS,2017-11-01,4.4299,4.4786,False,4.4299,4.4786,reg,5214
SKIS,2017-11-02,4.3595,4.4007,False,4.2352,4.3812,reg,19981
SKIS,2017-11-03,4.7220,4.7220,False,4.3586,4.4299,reg,16038
SKIS,2017-11-06,4.8680,4.9654,False,4.7220,4.8194,reg,70385
SKIS,2017-11-07,4.8680,4.9167,False,4.8103,4.8778,reg,10243
SKIS,2017-11-08,4.9167,5.0628,False,4.7707,4.8680,reg,60322
SKIS,2017-11-09,4.9167,5.0141,False,4.8680,4.9654,reg,13171
SKIS,2017-11-10,4.9167,5.0141,False,4.8680,4.9167,reg,18129
SKIS,2017-11-13,5.0141,5.1003,False,4.9167,4.9167,reg,43701
SKIS,2017-11-14,5.0141,5.0141,False,4.8680,5.0141,reg,15567
SKIS,2017-11-15,4.8680,5.1066,False,4.8680,5.0141,reg,32559
SKIS,2017-11-16,5.0141,5.0141,False,4.8680,5.0141,reg,20472
SKIS,2017-11-17,5.1114,5.1114,False,5.0141,5.0141,reg,25166
SKIS,2017-11-20,5.0141,5.1601,False,5.0141,5.0628,reg,8920
SKIS,2017-11-21,4.9167,5.1114,False,4.9167,5.0141,reg,14364
SKIS,2017-11-22,4.9167,4.9654,False,4.8204,4.9654,reg,18723
SKIS,2017-11-24,4.9167,4.9654,False,4.8194,4.9654,reg,3950
SKIS,2017-11-27,4.8680,4.9167,False,4.8680,4.8804,reg,5162
SKIS,2017-11-28,4.9167,4.9654,False,4.8680,4.9167,reg,6383
SKIS,2017-11-29,4.9644,4.9654,False,4.9167,4.9183,reg,13026
