date,open,high,low,close,volume
2018-01-02,0.75,0.75,0.51,0.75,18000
2018-01-03,0.75,0.97,0.75,0.97,1000
2018-01-04,,,,0.97,87
2018-01-05,0.63,0.63,0.63,0.63,100
2018-01-08,0.7,0.7,0.7,0.7,2500
2018-01-11,0.7103,0.7103,0.7,0.7,42200
2018-01-12,0.69,0.69,0.69,0.69,19000
2018-01-19,0.67,0.67,0.67,0.67,11000
2018-01-22,0.62,0.62,0.61,0.61,288
2018-01-24,0.68,0.68,0.68,0.68,3500
2018-01-25,0.69,0.69,0.69,0.69,700
2018-01-26,0.61,0.69,0.61,0.6804,6069
2018-01-30,,,,0.6804,13
2018-01-31,0.615,0.615,0.615,0.615,3650
2018-02-01,0.78,0.78,0.78,0.78,193
2018-02-02,,,,0.78,10
2018-02-07,0.55,0.55,0.5133,0.5133,1530
2018-02-09,0.47,0.47,0.4,0.4,221963
2018-02-12,0.6,0.6,0.4988,0.6,1600
2018-02-13,0.6,0.6,0.6,0.6,191
2018-02-15,0.6,0.64,0.6,0.64,2770
2018-02-16,0.7,0.7,0.7,0.7,400
2018-02-20,0.7,0.7,0.7,0.7,200
2018-02-22,0.62,0.68,0.62,0.68,1200
2018-03-01,0.57,0.57,0.52,0.52,1100
2018-03-02,0.62,0.62,0.45,0.59,6900
2018-03-07,0.51,0.51,0.51,0.51,600
2018-03-09,0.53,0.53,0.53,0.53,2400
2018-03-12,0.44,0.5315,0.44,0.53,1220
2018-03-13,0.5708,0.5708,0.5708,0.5708,500
2018-03-14,0.59,0.675,0.58,0.675,29077
2018-03-15,0.6,0.603,0.6,0.603,14000
2018-03-19,0.62,0.62,0.55,0.5511,4500
2018-03-22,0.5092,0.518,0.5092,0.518,600
2018-03-23,0.52,0.52,0.52,0.52,100
2018-03-29,0.6,0.6,0.6,0.6,500
2018-04-06,0.45,0.6,0.45,0.6,7639
2018-04-09,0.5136,0.6,0.5136,0.6,4000
2018-04-13,0.68,0.68,0.68,0.68,300
2018-04-17,0.6362,0.6362,0.6362,0.6362,200
2018-04-18,0.62,0.67,0.62,0.67,1300
2018-05-03,0.6632,0.985,0.6632,0.985,5100
2018-05-04,0.93,0.9721,0.86,0.91,14785
2018-05-08,0.698,0.698,0.698,0.698,880
2018-05-10,0.7678,0.7678,0.748,0.748,4060
2018-05-15,0.862,0.917,0.852,0.916,6920
2018-05-17,0.734,0.744,0.716,0.722,8140
