date,open,high,low,close,volume
2018-01-02,8.98,9.16,8.9289,9.09,60119
2018-01-03,9.06,9.3,8.96,9.24,50456
2018-01-04,9.125,9.44,9.125,9.39,37417
2018-01-05,9.25,9.3399,9.018,9.3399,21593
2018-01-08,9.34,9.4,9.2001,9.38,19968
2018-01-09,9.35,9.37,9.2,9.3322,17583
2018-01-10,9.2273,9.45,9.2273,9.4024,32774
2018-01-11,9.44,10.07,9.1994,9.83,121698
2018-01-12,9.92,10.14,9.728,10.09,66226
2018-01-16,10.16,10.3958,10.0248,10.05,75639
2018-01-17,10.07,10.29,9.98,10.27,43986
2018-01-18,10.27,11.16,10.06,10.09,157863
2018-01-19,10.08,10.3602,9.5391,9.89,63242
2018-01-22,9.81,10.17,9.81,10.08,29562
2018-01-23,9.99,10.75,9.99,10.75,166943
2018-01-24,10.83,11.08,10.39,10.39,64640
2018-01-25,10.4,10.7692,10.39,10.55,48854
2018-01-26,10.55,10.5699,10.3,10.38,55532
2018-01-29,10.4699,10.4699,10.05,10.12,23346
2018-01-30,10.09,10.19,10.0,10.17,26714
2018-01-31,10.19,10.28,10.065,10.11,25349
2018-02-01,10.05,10.28,10.05,10.24,42368
2018-02-02,10.17,10.215,9.75,9.8,52023
2018-02-05,9.74,9.902,9.35,9.35,52530
2018-02-06,9.22,9.5906,9.05,9.47,40607
2018-02-07,9.49,9.599,9.26,9.575,21128
2018-02-08,9.63,9.75,8.8587,9.1183,67555
2018-02-09,9.19,9.3399,8.97,9.33,19830
2018-02-12,9.32,9.34,9.07,9.25,36408
2018-02-13,9.13,9.38,9.0962,9.38,20024
2018-02-14,9.3,9.6646,9.3,9.66,39944
2018-02-15,9.69,9.69,9.35,9.635,9182
2018-02-16,9.54,9.7199,9.45,9.7199,8409
2018-02-20,9.66,9.75,9.611,9.7,25113
2018-02-21,9.72,10.11,9.6301,9.9,40771
2018-02-22,9.97,9.97,9.78,9.8599,8164
2018-02-23,9.89,10.0,9.74,9.9702,14847
2018-02-26,9.56,9.9405,9.56,9.88,26880
2018-02-27,9.7401,9.929,9.7401,9.76,19196
2018-02-28,9.64,9.8696,9.64,9.73,23985
2018-03-01,9.7,10.0825,9.7,10.06,36048
2018-03-02,9.92,10.936,9.92,10.87,73144
2018-03-05,10.89,11.0,10.8,10.975,61214
2018-03-06,10.98,10.98,10.681,10.72,16264
2018-03-07,10.62,11.0,10.62,10.84,21428
2018-03-08,10.9454,11.55,10.9454,11.46,63028
2018-03-09,11.51,11.52,11.1001,11.49,39399
2018-03-12,11.42,12.43,11.33,12.23,103809
2018-03-13,12.25,12.41,11.5977,11.73,85711
2018-03-14,11.82,12.56,11.61,12.34,117283
2018-03-15,12.4,12.6399,12.16,12.34,63659
2018-03-16,12.4,12.74,12.25,12.53,116704
2018-03-19,12.5,12.53,12.15,12.23,44402
2018-03-20,12.2,12.355,12.11,12.11,22532
2018-03-21,12.15,12.1816,12.09,12.1,17930
2018-03-22,12.04,12.2,11.78,11.81,23016
2018-03-23,11.84,11.9566,11.4577,11.6,31081
2018-03-26,11.81,11.89,11.66,11.86,16118
2018-03-27,11.87,11.98,11.7,11.77,17271
2018-03-28,11.76,11.846,11.02,11.05,47543
2018-03-29,11.08,11.44,11.08,11.29,26410
2018-04-02,11.15,11.28,10.65,10.65,26393
2018-04-03,10.7,10.9354,10.59,10.59,25693
2018-04-04,10.48,10.77,10.45,10.77,21055
2018-04-05,10.78,11.0,10.78,10.82,8656
2018-04-06,10.76,10.82,10.53,10.78,19379
2018-04-09,10.81,10.81,10.55,10.6,12121
2018-04-10,10.67,11.0,10.67,10.84,18851
2018-04-11,10.78,10.969,10.63,10.829,24143
2018-04-12,10.71,10.78,10.64,10.72,39155
2018-04-13,10.73,10.73,10.37,10.46,12408
2018-04-16,10.51,10.86,10.51,10.7347,11795
2018-04-17,10.76,10.87,10.75,10.84,20961
2018-04-18,10.8105,10.9,10.61,10.88,63063
2018-04-19,10.88,10.88,10.57,10.65,14777
2018-04-20,10.68,10.78,10.66,10.78,18603
2018-04-23,10.779,10.779,10.5927,10.71,11131
2018-04-24,10.75,10.85,10.35,10.61,7645
2018-04-25,10.6,10.6215,10.4824,10.6215,2602
2018-04-26,10.56,10.69,10.56,10.65,7212
2018-04-27,10.66,10.9,10.66,10.85,21841
2018-04-30,10.8667,10.97,10.8207,10.96,35878
2018-05-01,10.96,11.249,10.96,11.1,17949
2018-05-02,11.04,11.19,11.04,11.19,16229
2018-05-03,11.11,11.15,10.67,10.76,21096
2018-05-04,11.51,11.51,10.91,11.15,31370
2018-05-07,11.15,11.38,11.108,11.38,47083
2018-05-08,11.39,11.4,11.2118,11.4,17307
2018-05-09,11.4,11.5202,11.38,11.39,17602
2018-05-10,11.4,11.5272,11.3516,11.4283,22528
2018-05-11,11.3,11.5399,11.3,11.36,12613
2018-05-14,11.47,11.52,11.4,11.45,12837
2018-05-15,11.45,11.53,11.3014,11.53,11892
2018-05-16,11.46,11.6,11.4332,11.52,21660
2018-05-17,11.53,11.57,11.3695,11.57,13260
