date,open,high,low,close,volume
2018-01-02,9.65,15.0,9.65,10.8,140889
2018-01-03,10.6,11.0099,10.15,10.42,82254
2018-01-04,10.35,11.11,10.24,10.42,8347
2018-01-05,11.1398,11.1398,10.117,10.68,12107
2018-01-08,10.45,10.65,10.2,10.24,44546
2018-01-09,10.21,10.9,10.11,10.48,46257
2018-01-10,10.5,10.75,10.1101,10.56,19121
2018-01-11,10.7,10.7,10.44,10.45,9710
2018-01-12,10.66,10.84,10.43,10.45,9058
2018-01-16,10.41,10.79,10.32,10.74,45931
2018-01-17,10.78,10.78,10.5,10.59,4635
2018-01-18,10.57,10.69,10.53,10.56,6533
2018-01-19,10.6,10.64,10.12,10.25,17396
2018-01-22,10.2,10.93,10.11,10.63,82652
2018-01-23,10.29,11.07,10.29,10.71,49187
2018-01-24,9.8,10.1,9.35,9.7,1656724
2018-01-25,9.7,9.75,9.5,9.67,274441
2018-01-26,9.7,9.75,9.4999,9.65,258809
2018-01-29,9.9,9.99,9.62,9.66,530833
2018-01-30,9.95,9.9806,9.66,9.73,194281
2018-01-31,9.8,10.2321,9.62,9.97,373797
2018-02-01,10.2,10.27,9.79,9.82,146097
2018-02-02,9.78,9.9299,9.5,9.8,343212
2018-02-05,9.76,10.08,9.6,9.95,182857
2018-02-06,9.83,9.85,9.23,9.83,83316
2018-02-07,9.83,10.04,9.5,9.9,186355
2018-02-08,9.94,9.94,9.52,9.73,135261
2018-02-09,9.75,9.8,9.22,9.54,165863
2018-02-12,9.61,9.61,9.29,9.41,41221
2018-02-13,9.35,9.6399,9.31,9.49,41302
2018-02-14,9.49,10.55,9.36,10.18,347821
2018-02-15,10.38,10.9499,9.8,10.83,222106
2018-02-16,10.89,12.1499,10.8651,10.98,205836
2018-02-20,11.0,11.74,11.0,11.47,143188
2018-02-21,11.62,11.825,11.161,11.35,143603
2018-02-22,11.33,11.92,11.27,11.6,93807
2018-02-23,11.69,12.6899,11.69,12.12,156560
2018-02-26,12.19,12.3499,11.52,11.54,106432
2018-02-27,11.47,12.25,10.76,10.82,68176
2018-02-28,11.0,11.55,10.61,10.73,102078
2018-03-01,10.641,10.68,10.1,10.39,92974
2018-03-02,10.24,10.82,9.9514,10.74,132378
2018-03-05,10.75,10.99,10.47,10.82,51269
2018-03-06,10.92,11.25,10.82,10.93,49440
2018-03-07,10.89,11.37,10.79,11.31,90937
2018-03-08,11.35,11.7,11.26,11.47,89114
2018-03-09,11.59,11.59,11.011,11.26,25923
2018-03-12,11.36,11.49,10.05,10.29,124294
2018-03-13,10.35,10.545,10.02,10.08,62378
2018-03-14,10.14,10.32,9.88,9.95,90651
2018-03-15,10.21,10.77,10.0,10.04,89343
2018-03-16,10.18,10.18,9.8,9.81,122645
2018-03-19,10.01,10.4,9.875,9.92,93225
2018-03-20,9.95,10.1,9.5,9.53,113482
2018-03-21,9.56,10.25,9.56,10.05,131665
2018-03-22,9.95,10.25,9.82,9.94,94314
2018-03-23,10.0,10.26,9.6994,9.93,120312
2018-03-26,9.97,10.0,9.655,9.94,154517
2018-03-27,9.96,10.28,9.4,9.46,88801
2018-03-28,9.46,10.2,9.2517,9.47,108173
2018-03-29,9.54,9.65,9.26,9.38,64685
2018-04-02,9.31,10.09,9.31,9.5,150605
2018-04-03,9.54,9.545,9.25,9.29,43391
2018-04-04,9.25,9.49,9.25,9.34,90310
2018-04-05,9.36,9.4,9.1,9.18,62101
2018-04-06,9.23,9.8,9.2,9.7,196520
2018-04-09,9.73,10.2499,9.5801,9.89,108680
2018-04-10,9.95,10.705,9.52,10.58,72398
2018-04-11,10.59,11.55,10.36,11.32,88344
2018-04-12,11.31,11.79,11.0751,11.74,71899
2018-04-13,11.77,11.8799,11.0,11.46,84648
2018-04-16,11.46,11.55,11.0942,11.38,48996
2018-04-17,11.49,11.9599,11.4,11.93,60417
2018-04-18,11.92,12.0,11.49,11.79,63847
2018-04-19,11.84,11.88,11.45,11.73,45123
2018-04-20,11.75,11.9999,11.44,11.94,73775
2018-04-23,11.95,12.9,11.74,12.7,197057
2018-04-24,12.68,13.14,12.33,13.07,65196
2018-04-25,13.07,13.25,11.92,13.15,175636
2018-04-26,13.02,13.428,12.96,13.15,29016
2018-04-27,13.13,13.5,12.81,13.26,75723
2018-04-30,13.29,13.3,12.7252,13.18,50565
2018-05-01,13.22,13.5,12.9428,13.13,57908
2018-05-02,13.1,13.45,13.1,13.29,43323
2018-05-03,13.23,13.32,12.75,13.18,40806
2018-05-04,13.25,13.25,12.9042,13.23,55397
2018-05-07,13.22,13.3,11.9,13.1,60314
2018-05-08,13.37,13.37,12.8,13.2,36851
2018-05-09,13.2,13.5,13.17,13.33,44055
2018-05-10,13.43,13.5,13.165,13.27,27610
2018-05-11,13.0,13.035,11.281,11.76,172279
2018-05-14,11.84,12.1899,10.47,10.59,114455
2018-05-15,10.79,10.8499,9.6001,10.24,202623
2018-05-16,10.31,10.77,10.14,10.2,77488
2018-05-17,10.2,10.39,9.67,9.97,95504
