symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
T,2017-06-05,36.8174,36.8648,False,36.5897,36.8174,reg,13821863
T,2017-06-06,36.7415,36.9217,False,36.6656,36.7889,reg,16218315
T,2017-06-07,36.7700,36.8743,False,36.5613,36.8553,reg,16429432
T,2017-06-08,36.5233,36.8459,False,36.4474,36.8174,reg,20272048
T,2017-06-09,36.7984,36.8079,False,36.5717,36.6466,reg,18398257
T,2017-06-12,37.0640,37.3486,False,36.8079,36.8079,reg,22779929
T,2017-06-13,36.6941,37.0071,False,36.5992,37.0071,reg,18842056
T,2017-06-14,36.7320,36.8174,False,36.5233,36.7984,reg,16356187
T,2017-06-15,36.8459,36.9028,False,36.6561,36.6846,reg,16686186
T,2017-06-16,36.9597,36.9976,False,36.6751,36.9692,reg,29734739
T,2017-06-19,36.9123,36.9787,False,36.6988,36.9787,reg,20957794
T,2017-06-20,36.6751,36.9217,False,36.6182,36.7794,reg,21738797
T,2017-06-21,36.1913,36.6846,False,35.9067,36.6561,reg,24597739
T,2017-06-22,36.1438,36.3810,False,36.0158,36.2292,reg,16200953
T,2017-06-23,36.0015,36.2008,False,35.8782,36.2008,reg,22906645
T,2017-06-26,36.1913,36.3146,False,35.9162,35.9921,reg,18403775
T,2017-06-27,35.7644,35.9351,False,35.6695,35.8972,reg,19862049
T,2017-06-28,35.9921,36.1106,False,35.8403,35.9351,reg,20345237
T,2017-06-29,35.6885,36.0300,False,35.6885,35.9257,reg,23717920
T,2017-06-30,35.7928,35.9257,False,35.6126,35.7928,reg,22540739
T,2017-07-05,36.1628,36.2482,False,35.9067,36.1533,reg,20084860
T,2017-07-06,35.7304,36.2253,False,35.7304,36.1244,reg,20807681
T,2017-07-07,35.5382,35.7784,False,35.3844,35.7304,reg,20840791
T,2017-07-10,35.3940,35.6343,False,35.3844,35.5189,reg,22775155
T,2017-07-11,35.1730,35.4228,False,35.1153,35.3940,reg,21588516
T,2017-07-12,35.3940,35.4613,False,35.1826,35.3171,reg,17486345
T,2017-07-13,34.7982,35.1730,False,34.7790,35.1153,reg,30230063
T,2017-07-14,34.8847,34.9616,False,34.7597,34.8174,reg,23561432
T,2017-07-17,34.9712,35.0288,False,34.8366,34.9039,reg,20546783
T,2017-07-18,34.5868,35.0096,False,34.4714,35.0096,reg,29145897
T,2017-07-19,34.7213,34.7213,False,34.4138,34.6252,reg,26281264
T,2017-07-20,35.0961,35.2883,False,34.7501,34.9135,reg,31892457
T,2017-07-21,35.0865,35.1826,False,34.8414,35.0000,reg,20150775
T,2017-07-24,34.8174,35.1249,False,34.7694,35.0865,reg,22403501
T,2017-07-25,34.8078,35.0769,False,34.7213,34.8751,reg,29446967
T,2017-07-26,36.5472,36.6145,False,35.9418,35.9610,reg,72431800
T,2017-07-27,37.8734,37.9599,False,36.7106,36.7106,reg,61986966
T,2017-07-28,37.4794,38.1233,False,37.3160,37.7197,reg,36012922
T,2017-07-31,37.4794,37.6043,False,37.2055,37.4506,reg,28481301
T,2017-08-01,37.3641,37.7389,False,37.2007,37.7197,reg,29374491
T,2017-08-02,36.7779,37.4698,False,36.5568,37.4602,reg,34610544
T,2017-08-03,36.7875,36.9989,False,36.6625,36.7394,reg,18852222
