symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
TANNZ,2017-07-20,23.497800,23.750000,False,23.400000,23.750000,reg,8856
TANNZ,2017-07-21,23.290000,23.650000,False,23.280000,23.610000,reg,15373
TANNZ,2017-07-24,23.210000,23.400000,False,23.200000,23.325000,reg,29202
TANNZ,2017-07-25,23.262000,23.420000,False,23.220000,23.220000,reg,18169
TANNZ,2017-07-26,23.230000,23.350000,False,23.225000,23.350000,reg,16218
TANNZ,2017-07-27,23.450000,23.550000,False,23.180000,23.350000,reg,40075
TANNZ,2017-07-28,23.424700,23.451100,False,23.203000,23.451100,reg,18240
TANNZ,2017-07-31,23.400000,23.610000,False,23.270000,23.520000,reg,8969
TANNZ,2017-08-01,23.320000,23.700000,False,23.300100,23.700000,reg,3227
TANNZ,2017-08-02,23.500000,23.580000,False,23.474700,23.510000,reg,7067
TANNZ,2017-08-03,23.516000,23.580000,False,23.400000,23.570000,reg,11195
TANNZ,2017-08-04,23.460000,23.540000,False,23.418000,23.523500,reg,4951
TANNZ,2017-08-07,23.430000,23.500000,False,23.260000,23.500000,reg,8311
TANNZ,2017-08-08,23.230000,23.490000,False,23.220000,23.400000,reg,9175
TANNZ,2017-08-09,23.251600,23.381000,False,23.150000,23.230000,reg,17269
TANNZ,2017-08-10,22.650000,23.234500,False,21.790000,23.190000,reg,38156
TANNZ,2017-08-11,22.990000,23.340000,False,22.539000,23.340000,reg,58133
TANNZ,2017-08-14,23.000100,23.450000,False,22.291000,23.450000,reg,49052
TANNZ,2017-08-15,22.583700,23.330000,False,22.510000,23.000000,reg,16854
TANNZ,2017-08-16,22.000000,22.530000,False,21.640000,22.510000,reg,55314
TANNZ,2017-08-17,21.260000,21.878700,False,20.900000,21.770000,reg,45848
TANNZ,2017-08-18,21.790000,22.230000,False,21.200000,21.590000,reg,29754
TANNZ,2017-08-21,21.000000,22.230000,False,20.574300,21.594700,reg,32872
TANNZ,2017-08-22,21.130000,21.550000,False,20.719000,20.880000,reg,21028
TANNZ,2017-08-23,21.170000,21.300000,False,20.750000,21.300000,reg,38898
TANNZ,2017-08-24,21.000000,21.109900,False,20.800000,21.010000,reg,12704
TANNZ,2017-08-25,20.760000,21.020000,False,20.550000,20.862400,reg,17884
TANNZ,2017-08-28,18.360000,20.807600,False,18.360000,20.610000,reg,117218
TANNZ,2017-08-29,17.750000,19.125100,False,17.002500,18.410000,reg,151344
TANNZ,2017-08-30,20.540000,20.740000,False,17.390000,18.280000,reg,113354
TANNZ,2017-08-31,21.960000,21.960000,False,19.480000,20.490000,reg,94902
TANNZ,2017-09-01,22.150000,22.423200,False,21.000000,21.300000,reg,79928
TANNZ,2017-09-05,21.750000,22.380000,False,21.550000,22.370000,reg,57053
TANNZ,2017-09-06,21.300000,22.420000,False,21.100000,22.007600,reg,64573
TANNZ,2017-09-07,21.840000,21.990000,False,21.100000,21.680000,reg,21396
TANNZ,2017-09-08,21.600000,21.781100,False,21.260100,21.440000,reg,29256
TANNZ,2017-09-11,22.453200,22.500000,False,21.130000,21.500000,reg,53418
TANNZ,2017-09-12,22.770000,23.000000,False,22.390000,22.620000,reg,88910
TANNZ,2017-09-13,22.820000,22.853000,False,22.360000,22.750000,reg,22234
TANNZ,2017-09-14,22.800000,22.940000,False,22.540000,22.820000,reg,29215
TANNZ,2017-09-15,22.865100,22.939900,False,22.690000,22.780000,reg,34158
TANNZ,2017-09-18,23.020000,23.293000,False,22.790000,22.880000,reg,54297
TANNZ,2017-09-19,23.400000,23.440000,False,22.980000,23.140000,reg,48492
TANNZ,2017-09-20,23.190000,23.400000,False,22.880000,23.400000,reg,13601
TANNZ,2017-09-21,22.940000,23.189900,False,22.830000,23.020000,reg,29577
TANNZ,2017-09-22,23.170000,23.230000,False,23.100000,23.156200,reg,16673
TANNZ,2017-09-25,23.415000,23.440000,False,22.966300,23.200000,reg,43282
TANNZ,2017-09-26,23.350000,23.400000,False,23.150000,23.320000,reg,15763
TANNZ,2017-09-27,23.330000,23.350000,False,23.160000,23.340000,reg,10590
TANNZ,2017-09-28,22.950000,23.335700,False,22.663100,22.830000,reg,40655
TANNZ,2017-09-29,23.040000,23.272000,False,23.000000,23.148500,reg,10995
TANNZ,2017-10-02,23.064000,23.180000,False,23.050000,23.050000,reg,9283
TANNZ,2017-10-03,23.580000,23.760000,False,23.304000,23.760000,reg,60421
TANNZ,2017-10-04,23.960000,24.266000,False,23.639700,23.650000,reg,48058
TANNZ,2017-10-05,24.340000,24.380000,False,24.020000,24.020000,reg,74600
TANNZ,2017-10-06,24.551000,24.720000,False,24.050000,24.450000,reg,60502
TANNZ,2017-10-09,24.500000,24.590000,False,24.360000,24.550000,reg,28989
TANNZ,2017-10-10,24.360000,24.553000,False,24.200000,24.517200,reg,40091
TANNZ,2017-10-11,23.870000,24.290000,False,23.486000,24.290000,reg,95425
TANNZ,2017-10-12,23.870000,23.900000,False,23.455000,23.900000,reg,14934
TANNZ,2017-10-13,23.700000,23.750000,False,23.506000,23.520000,reg,22267
TANNZ,2017-10-16,23.970000,24.240000,False,23.650000,23.850000,reg,22011
TANNZ,2017-10-17,24.200000,24.440000,False,23.978000,24.140000,reg,16664
TANNZ,2017-10-18,24.180000,24.372500,False,24.090000,24.300000,reg,7271
TANNZ,2017-10-19,24.250000,24.330000,False,24.100000,24.200000,reg,26155
TANNZ,2017-10-20,24.500000,24.500000,False,24.105000,24.290000,reg,18496
TANNZ,2017-10-23,24.220000,24.600000,False,24.220000,24.550000,reg,9591
TANNZ,2017-10-24,24.250000,24.547500,False,24.220000,24.220000,reg,8016
TANNZ,2017-10-25,24.300000,24.497200,False,24.220000,24.250000,reg,6242
TANNZ,2017-10-26,24.399900,24.400000,False,24.200000,24.300000,reg,26670
TANNZ,2017-10-27,24.450000,24.450000,False,24.314000,24.450000,reg,4359
TANNZ,2017-10-30,24.460000,24.550000,False,24.350000,24.440000,reg,4983
TANNZ,2017-10-31,24.450000,24.550000,False,24.450000,24.550000,reg,8046
TANNZ,2017-11-01,24.377900,24.600000,False,24.377900,24.600000,reg,1700
TANNZ,2017-11-02,24.600000,24.630300,False,24.350000,24.350000,reg,4213
TANNZ,2017-11-03,24.550000,24.600000,False,24.460000,24.530000,reg,7924
TANNZ,2017-11-06,24.640000,24.640000,False,24.350000,24.569100,reg,11781
TANNZ,2017-11-07,24.510000,24.650000,False,24.432500,24.432500,reg,1320
TANNZ,2017-11-08,24.200000,24.590000,False,24.200000,24.590000,reg,5319
TANNZ,2017-11-09,24.530000,24.600000,False,24.500000,24.500000,reg,14576
TANNZ,2017-11-10,24.620000,24.650000,False,24.550000,24.640000,reg,6012
TANNZ,2017-11-13,24.560100,24.560100,False,24.560000,24.560000,reg,1539
TANNZ,2017-11-14,24.550000,24.689900,False,24.550000,24.550000,reg,10521
TANNZ,2017-11-15,24.595000,24.627600,False,24.290000,24.480500,reg,6094
TANNZ,2017-11-16,24.629100,24.649000,False,24.600000,24.600000,reg,923
TANNZ,2017-11-17,24.640000,24.650000,False,24.475000,24.520000,reg,12149
TANNZ,2017-11-20,24.799900,24.903800,False,24.622000,24.622000,reg,12583
