date,open,high,low,close,volume
2018-01-02,10.3,11.0,8.75,9.2,406496
2018-01-03,9.05,9.25,8.0,8.25,220203
2018-01-04,8.25,10.2116,8.1071,10.1,258074
2018-01-05,10.5,12.6,10.3,12.45,335638
2018-01-08,12.0,12.3,10.5621,11.6,227558
2018-01-09,11.9,12.3,11.075,11.35,93648
2018-01-10,11.5,11.54,10.8,10.95,93287
2018-01-11,11.0,11.344,10.35,10.7,99199
2018-01-12,10.75,10.9465,10.35,10.65,76760
2018-01-16,10.95,11.249,8.85,9.15,163953
2018-01-17,9.2,10.194,9.2,10.1,117221
2018-01-18,10.25,10.3188,9.75,9.95,50971
2018-01-19,10.0,10.3,10.0,10.0,36648
2018-01-22,10.2,10.6,9.7083,10.45,62438
2018-01-23,10.6,10.9,10.3501,10.7,61242
2018-01-24,10.75,10.75,9.8001,10.05,95957
2018-01-25,9.9,10.2,9.75,9.85,59199
2018-01-26,10.05,10.05,9.1,9.4,100176
2018-01-29,9.5,9.5,8.2536,8.7,120047
2018-01-30,8.6,9.0221,8.55,9.0,28183
2018-01-31,9.2,9.75,9.101,9.6,56359
2018-02-01,9.4,9.75,9.0,9.25,26939
2018-02-02,9.0,9.3996,8.55,9.0,33132
2018-02-05,9.05,9.05,8.1,8.55,28985
2018-02-06,7.65,8.3826,7.5,7.65,51394
2018-02-07,7.95,8.3125,7.601,8.025,43278
2018-02-08,8.0,8.295,7.6,7.65,80900
2018-02-09,7.35,7.725,6.8,7.275,67749
2018-02-12,7.05,7.3792,6.9365,7.25,13872
2018-02-13,7.55,7.65,7.25,7.3,13397
2018-02-14,7.7,7.75,7.2723,7.75,16341
2018-02-15,7.55,7.75,7.45,7.5,62227
2018-02-16,7.55,7.55,7.25,7.4,11296
2018-02-20,7.55,8.0,7.4501,7.9,22273
2018-02-21,7.9395,8.2,7.7,7.8,17205
2018-02-22,7.8,8.2,7.5,7.55,15957
2018-02-23,7.8,7.95,7.5,7.7921,18764
2018-02-26,7.7,8.0473,7.7,7.7,21984
2018-02-27,7.45,8.1001,7.25,7.9,52922
2018-02-28,7.75,7.95,7.7,7.8,9452
2018-03-01,7.85,7.85,7.401,7.8,21361
2018-03-02,7.6617,7.6617,7.557,7.575,4904
2018-03-05,7.35,7.6,7.3,7.4,21829
2018-03-06,7.35,7.3752,6.8,6.95,22743
2018-03-07,7.5,7.5,7.0,7.1,37321
2018-03-08,7.0,7.0,6.75,6.8,24015
2018-03-09,6.9,6.9,6.5901,6.6,20642
2018-03-12,6.55,6.65,6.4,6.6,21934
2018-03-13,6.75,6.75,6.368,6.45,18013
2018-03-14,6.4,6.4,6.15,6.2,19661
2018-03-15,6.25,6.25,5.9,6.15,20082
2018-03-16,6.05,6.25,6.0,6.1,32636
2018-03-19,6.15,6.15,5.65,5.7,24115
2018-03-20,5.65,5.65,5.201,5.3,38353
2018-03-21,5.4,6.0835,5.15,6.05,81902
2018-03-22,6.0,6.7,5.801,6.101,61809
2018-03-23,6.1,6.449,5.45,5.5,28716
2018-03-26,5.55,6.15,5.3,5.75,110027
2018-03-27,5.8,6.1222,5.2,5.25,27276
2018-03-28,5.4,5.65,5.15,5.15,9573
2018-03-29,5.15,5.308,5.05,5.25,13106
2018-04-02,5.25,5.7,5.0999,5.5,96861
2018-04-03,5.451,5.5499,5.1,5.15,22737
2018-04-04,5.25,5.6,5.0999,5.35,59416
2018-04-05,5.65,5.65,5.3016,5.4,14364
2018-04-06,5.45,5.6717,5.0,5.15,20841
2018-04-09,5.25,5.25,4.9,4.9,32652
2018-04-10,5.05,5.1197,4.85,5.1,15216
2018-04-11,5.05,5.1001,5.0001,5.05,10877
2018-04-12,5.0839,5.25,4.95,4.95,35285
2018-04-13,4.9,5.15,4.9,5.0,20328
2018-04-16,5.15,5.15,4.95,4.95,4968
2018-04-17,5.1,5.1,4.9,5.0,10673
2018-04-18,4.95,4.95,4.7,4.8,31517
2018-04-19,4.701,4.8,4.7,4.7,9695
2018-04-20,4.7,4.7,4.6001,4.7,10519
2018-04-23,4.7,4.7141,4.475,4.5,31504
2018-04-24,4.6,4.6352,4.525,4.55,15246
2018-04-25,4.5235,4.5415,4.5,4.5,4425
2018-04-26,4.5145,4.56,4.5,4.55,7496
2018-04-27,4.5225,4.65,4.45,4.65,13316
2018-04-30,4.55,4.6109,4.5,4.5,6741
2018-05-01,4.45,4.5,4.3,4.4008,13098
2018-05-02,4.3,4.6,4.3,4.5,14988
2018-05-03,4.55,6.0,4.35,5.75,291282
2018-05-04,5.75,6.0,4.65,4.95,106733
2018-05-07,4.75,4.75,4.45,4.45,29418
2018-05-08,4.45,4.65,4.45,4.6362,19063
2018-05-09,4.55,4.6353,4.451,4.5,25432
2018-05-10,4.5,4.9,4.5,4.7,56272
2018-05-11,4.6,4.65,4.55,4.65,14331
2018-05-14,4.55,4.6638,4.45,4.5,13588
2018-05-15,4.45,4.549,4.4,4.45,9300
2018-05-16,4.5,4.5502,4.4001,4.5502,10282
2018-05-17,4.6,4.6,4.4,4.4872,15354
