symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
TESS,2017-07-10,12.6245,12.9579,False,12.6245,12.7198,reg,44784
TESS,2017-07-11,12.8150,13.2438,False,12.6245,12.7198,reg,46643
TESS,2017-07-12,12.9579,13.1485,False,12.6721,13.0056,reg,71372
TESS,2017-07-13,12.7198,12.9579,False,12.7198,12.9579,reg,15507
TESS,2017-07-14,13.3867,13.6249,False,12.6721,12.6721,reg,99566
TESS,2017-07-17,13.1485,13.7678,False,12.9307,13.3867,reg,64526
TESS,2017-07-18,12.9579,13.2037,False,12.6245,13.0685,reg,39829
TESS,2017-07-19,13.5296,14.0060,False,13.1485,13.5296,reg,70040
TESS,2017-07-20,13.7202,13.8155,False,13.4343,13.5058,reg,17040
TESS,2017-07-21,13.6725,13.8155,False,13.5782,13.7678,reg,62287
TESS,2017-07-24,13.7202,13.9107,False,13.5534,13.7678,reg,32622
TESS,2017-07-25,13.6725,13.8155,False,13.5773,13.7202,reg,25026
TESS,2017-07-26,13.5773,13.8155,False,13.4343,13.8155,reg,40897
TESS,2017-07-27,13.5773,13.8155,False,13.5296,13.5773,reg,56885
TESS,2017-07-28,13.3867,13.7202,False,13.3867,13.6249,reg,34875
TESS,2017-07-31,12.7198,13.4343,False,12.7198,13.3867,reg,19639
TESS,2017-08-01,13.1009,13.3867,False,12.7198,12.7198,reg,60953
TESS,2017-08-02,12.8150,13.1961,False,12.6721,13.1961,reg,12005
TESS,2017-08-03,12.8150,13.0056,False,12.7198,12.8150,reg,13830
TESS,2017-08-04,12.9579,13.0532,False,12.7674,12.7674,reg,21280
TESS,2017-08-07,12.9096,13.1030,False,12.8612,13.1030,reg,29657
TESS,2017-08-08,12.8854,12.9579,False,12.8331,12.8331,reg,10030
TESS,2017-08-09,12.8129,12.8612,False,12.8129,12.8129,reg,23359
TESS,2017-08-10,12.8129,12.8612,False,12.7162,12.7162,reg,25576
TESS,2017-08-11,12.7645,12.9096,False,12.6195,12.7162,reg,53847
TESS,2017-08-14,13.0063,13.0063,False,12.7162,12.7645,reg,17564
TESS,2017-08-15,12.5711,12.9579,False,12.5711,12.9579,reg,13141
TESS,2017-08-16,12.7162,12.7645,False,12.5711,12.5711,reg,14437
TESS,2017-08-17,12.6678,12.7645,False,12.5953,12.6678,reg,11212
TESS,2017-08-18,12.8612,12.8612,False,12.7162,12.7162,reg,12798
TESS,2017-08-21,12.9579,13.0547,False,12.5711,12.7645,reg,20491
TESS,2017-08-22,13.5382,13.5865,False,12.8612,13.0063,reg,22336
TESS,2017-08-23,13.0547,13.2964,False,13.0063,13.2964,reg,33772
TESS,2017-08-24,13.0547,13.1997,False,13.0547,13.1030,reg,32525
TESS,2017-08-25,13.0547,13.1997,False,13.0063,13.0547,reg,25861
TESS,2017-08-28,12.9096,13.1243,False,12.5711,13.1030,reg,15859
TESS,2017-08-29,12.7645,12.8612,False,12.6401,12.8612,reg,3157
TESS,2017-08-30,12.3777,12.7645,False,11.9426,12.7645,reg,43991
TESS,2017-08-31,12.6678,12.7645,False,12.4744,12.5228,reg,37065
TESS,2017-09-01,12.6195,12.6233,False,12.4261,12.5711,reg,14031
TESS,2017-09-05,12.4744,12.6195,False,12.3294,12.6195,reg,7876
TESS,2017-09-06,12.0876,12.4261,False,12.0876,12.4261,reg,19707
TESS,2017-09-07,11.8942,12.1360,False,11.7492,12.1360,reg,26865
TESS,2017-09-08,11.8942,11.9320,False,11.7492,11.8459,reg,12250
TESS,2017-09-11,11.8942,11.9426,False,11.7492,11.8459,reg,10704
TESS,2017-09-12,12.1843,12.1843,False,11.8459,11.8459,reg,11395
TESS,2017-09-13,12.1843,12.2327,False,12.1360,12.1843,reg,11320
TESS,2017-09-14,12.4261,12.6678,False,12.2327,12.2327,reg,11889
TESS,2017-09-15,12.4744,12.6195,False,12.2810,12.3294,reg,15742
TESS,2017-09-18,12.4261,12.6418,False,12.3777,12.4744,reg,9137
TESS,2017-09-19,12.5228,12.6678,False,12.3777,12.5228,reg,13359
TESS,2017-09-20,12.5711,12.6195,False,12.4744,12.6195,reg,13888
TESS,2017-09-21,12.2327,12.4261,False,12.2327,12.3777,reg,13426
TESS,2017-09-22,12.5228,12.5228,False,12.2810,12.2814,reg,1632
TESS,2017-09-25,12.3777,12.4261,False,12.2810,12.3777,reg,6692
TESS,2017-09-26,12.3294,12.7645,False,12.2327,12.7645,reg,3316
TESS,2017-09-27,12.3777,12.4261,False,12.0876,12.4261,reg,12852
TESS,2017-09-28,12.4261,12.5711,False,12.0876,12.1963,reg,8029
TESS,2017-09-29,12.0393,12.4744,False,12.0393,12.4261,reg,24237
TESS,2017-10-02,12.0876,12.2327,False,11.9426,11.9665,reg,32366
TESS,2017-10-03,12.3294,12.6195,False,11.9665,11.9665,reg,62492
TESS,2017-10-04,12.5228,12.5711,False,12.4261,12.4744,reg,6492
TESS,2017-10-05,12.2327,12.4489,False,12.2327,12.2984,reg,12152
TESS,2017-10-06,12.1843,12.2806,False,12.0876,12.1360,reg,12763
TESS,2017-10-09,12.3294,12.4551,False,12.1843,12.2327,reg,5973
TESS,2017-10-10,12.4744,12.7162,False,12.4261,12.4261,reg,149424
TESS,2017-10-11,13.1997,13.2964,False,12.4261,12.4261,reg,32750
TESS,2017-10-12,13.2964,13.5382,False,13.0547,13.0547,reg,9727
TESS,2017-10-13,13.0547,13.2964,False,12.6727,13.2964,reg,13191
TESS,2017-10-16,13.0547,13.1514,False,13.0547,13.0547,reg,3849
TESS,2017-10-17,12.9579,13.1030,False,12.9096,13.0063,reg,13271
TESS,2017-10-18,12.9579,13.4415,False,12.9096,12.9579,reg,10341
TESS,2017-10-19,12.8129,12.9579,False,12.7162,12.9579,reg,9609
TESS,2017-10-20,12.7162,12.8129,False,12.7162,12.8129,reg,6530
TESS,2017-10-23,12.7645,12.8129,False,12.6340,12.6678,reg,11374
TESS,2017-10-24,15.1821,15.2788,False,13.3448,13.3448,reg,46804
TESS,2017-10-25,15.7623,15.8493,False,14.7931,15.1821,reg,28802
TESS,2017-10-26,16.4875,17.4062,False,15.7623,15.7623,reg,46331
TESS,2017-10-27,15.4238,16.6809,False,15.2304,16.5842,reg,31358
TESS,2017-10-30,15.3755,15.7139,False,15.0370,15.5205,reg,16657
TESS,2017-10-31,15.4722,15.7623,False,15.0128,15.4722,reg,11470
TESS,2017-11-01,15.4238,15.5931,False,15.1821,15.3755,reg,11793
TESS,2017-11-02,15.2304,15.5689,False,15.1821,15.3271,reg,8124
TESS,2017-11-03,14.9887,15.4238,False,14.8436,15.3271,reg,6797
TESS,2017-11-06,14.7953,14.7953,False,14.4094,14.6986,reg,23779
TESS,2017-11-07,14.7463,14.7669,False,14.6483,14.6483,reg,14543
TESS,2017-11-08,14.5993,14.6973,False,14.5993,14.6973,reg,3846
TESS,2017-11-09,14.7463,14.9671,False,14.4033,14.4474,reg,9779
TESS,2017-11-10,14.5503,14.8443,False,14.5503,14.7463,reg,7937
TESS,2017-11-13,14.4033,14.5748,False,14.3544,14.3544,reg,14727
TESS,2017-11-14,14.5013,14.5013,False,14.3544,14.4033,reg,13823
TESS,2017-11-15,14.5503,14.5993,False,14.4033,14.4033,reg,11039
TESS,2017-11-16,15.1872,15.1872,False,14.5503,14.5503,reg,11082
TESS,2017-11-17,15.0402,15.2362,False,14.7463,14.9422,reg,13214
TESS,2017-11-20,15.2852,15.2852,False,15.0876,15.0892,reg,4773
TESS,2017-11-21,15.2852,15.4811,False,14.9912,15.4811,reg,9243
TESS,2017-11-22,16.5100,17.0464,False,15.3832,15.5791,reg,43662
TESS,2017-11-24,17.5388,17.5837,False,17.2448,17.2938,reg,23636
TESS,2017-11-27,17.2448,17.5388,False,16.5100,17.5388,reg,27149
TESS,2017-11-28,17.2448,17.3918,False,16.7550,17.2448,reg,15927
TESS,2017-11-29,16.8529,17.2448,False,16.8529,17.2448,reg,8880
TESS,2017-11-30,16.6569,16.8039,False,16.6324,16.8039,reg,12397
TESS,2017-12-01,16.7549,17.0978,False,16.6104,16.6569,reg,23878
TESS,2017-12-04,16.9999,16.9999,False,16.8529,16.8529,reg,5510
TESS,2017-12-05,17.3918,17.3918,False,16.7549,16.9999,reg,23755
TESS,2017-12-06,17.2938,17.5878,False,16.9999,17.1713,reg,27064
TESS,2017-12-07,17.4898,17.5878,False,17.1958,17.1958,reg,15821
TESS,2017-12-08,17.4898,17.6367,False,17.2987,17.5878,reg,15119
TESS,2017-12-11,17.3428,17.6367,False,17.3428,17.4408,reg,12602
TESS,2017-12-12,16.6569,17.1958,False,16.4120,17.1958,reg,17695
TESS,2017-12-13,16.2650,16.8284,False,16.1670,16.7059,reg,14521
TESS,2017-12-14,16.4120,16.4120,False,16.0200,16.0200,reg,32337
TESS,2017-12-15,16.4610,16.5100,False,16.1670,16.1670,reg,86313
TESS,2017-12-18,16.6079,16.9509,False,16.4610,16.4610,reg,16523
TESS,2017-12-19,16.4120,16.8676,False,16.2160,16.5100,reg,23228
TESS,2017-12-20,16.8039,16.8039,False,16.2160,16.3140,reg,27964
TESS,2017-12-21,16.9019,17.0489,False,16.7894,16.8039,reg,16340
TESS,2017-12-22,17.0489,17.4898,False,16.9509,16.9509,reg,12312
TESS,2017-12-26,17.4553,17.5878,False,17.0978,17.0978,reg,9458
TESS,2017-12-27,21.7030,23.1727,False,17.2938,17.2938,reg,438655
TESS,2017-12-28,20.3312,21.6584,False,20.1843,21.5560,reg,101579
TESS,2017-12-29,19.7434,20.9298,False,19.4592,20.3802,reg,22987
TESS,2018-01-02,18.5676,22.3703,False,17.1958,19.7434,reg,323773
TESS,2018-01-03,18.1267,18.5676,False,17.8727,18.5676,reg,35274
TESS,2018-01-04,17.9797,18.4206,False,17.5551,18.1267,reg,23613
TESS,2018-01-05,19.6944,19.9393,False,17.8817,17.9307,reg,49947
TESS,2018-01-08,18.7635,19.9393,False,18.4206,19.6944,reg,30689
TESS,2018-01-09,18.9595,19.5474,False,18.1276,18.8125,reg,21663
TESS,2018-01-10,19.5964,19.6454,False,18.7106,18.8125,reg,19850
TESS,2018-01-11,19.4984,19.5964,False,18.8154,19.5964,reg,38048
TESS,2018-01-12,20.8212,20.8212,False,19.4984,19.4984,reg,20995
TESS,2018-01-16,20.2823,21.1233,False,19.8903,20.9191,reg,31919
TESS,2018-01-17,20.2823,20.9191,False,20.0863,20.4782,reg,9602
TESS,2018-01-18,19.9883,20.7232,False,19.6454,20.1843,reg,14891
TESS,2018-01-19,19.8903,20.1843,False,19.7923,20.0373,reg,15305
TESS,2018-01-22,19.6454,20.0372,False,19.2534,19.8413,reg,72238
TESS,2018-01-23,19.5964,19.9785,False,19.4494,19.7434,reg,35821
TESS,2018-01-24,20.5762,21.1151,False,19.6366,20.5762,reg,75251
TESS,2018-01-25,21.7520,22.6338,False,17.6416,20.7232,reg,65803
TESS,2018-01-26,21.9969,22.4869,False,21.3601,21.7030,reg,20612
TESS,2018-01-29,22.5358,22.8788,False,21.3601,21.9969,reg,61189
TESS,2018-01-30,21.8990,22.5358,False,21.7118,22.3889,reg,14071
TESS,2018-01-31,21.5070,22.5358,False,21.0661,21.9480,reg,37089
TESS,2018-02-01,22.3399,22.5848,False,20.9191,21.4091,reg,30736
TESS,2018-02-02,21.4580,22.7808,False,20.9681,22.2419,reg,12674
TESS,2018-02-05,21.5560,22.2419,False,20.2333,21.1151,reg,35603
TESS,2018-02-06,22.4869,22.8332,False,21.3601,21.3601,reg,19777
TESS,2018-02-07,21.5560,23.0747,False,21.5560,22.3399,reg,13682
TESS,2018-02-08,21.7030,22.3889,False,20.9681,21.4580,reg,27221
TESS,2018-02-09,21.2621,22.0459,False,20.9681,22.0459,reg,7948
TESS,2018-02-12,21.0171,22.1439,False,20.9191,21.2621,reg,21683
TESS,2018-02-13,21.1160,21.7589,False,20.5226,21.0666,reg,48400
TESS,2018-02-14,21.3138,21.8410,False,20.8193,20.9677,reg,24321
TESS,2018-02-15,22.5501,22.6985,False,20.3742,21.2644,reg,29256
TESS,2018-02-16,23.5392,23.9348,False,21.5116,22.5996,reg,23260
TESS,2018-02-20,22.7974,23.6381,False,22.5007,23.6381,reg,29055
TESS,2018-02-21,22.9458,24.1821,False,22.1545,22.8963,reg,23035
TESS,2018-02-22,23.6134,23.9249,False,23.0941,23.1436,reg,17374
TESS,2018-02-23,24.1326,24.5381,False,23.4897,23.7864,reg,86153
TESS,2018-02-26,23.5886,24.5777,False,23.3908,24.3304,reg,65636
TESS,2018-02-27,22.7479,23.5886,False,22.5996,23.5392,reg,35918
TESS,2018-02-28,21.9073,22.7974,False,21.6105,22.7479,reg,25111
TESS,2018-03-01,21.8084,22.2534,False,21.7095,21.8578,reg,27773
TESS,2018-03-02,21.6600,21.9073,False,20.5918,21.5116,reg,14909
TESS,2018-03-05,21.4622,22.2040,False,21.1656,21.1656,reg,13297
TESS,2018-03-06,21.2149,21.9570,False,21.1160,21.7095,reg,38874
TESS,2018-03-07,20.7204,21.7095,False,20.4732,21.1655,reg,30956
TESS,2018-03-08,20.5721,21.6105,False,20.5721,20.7699,reg,27168
TESS,2018-03-09,20.7204,21.3138,False,18.8956,21.1200,reg,76598
TESS,2018-03-12,21.3633,21.7589,False,20.4665,20.7204,reg,31396
TESS,2018-03-13,21.6600,22.1545,False,21.3138,21.4127,reg,14648
TESS,2018-03-14,22.3029,22.6490,False,21.6105,22.0556,reg,13921
TESS,2018-03-15,22.4512,22.5007,False,22.2040,22.5007,reg,11627
TESS,2018-03-16,22.0556,22.5007,False,21.9073,22.3029,reg,17347
TESS,2018-03-19,21.8578,21.8578,False,20.8194,21.8578,reg,12493
TESS,2018-03-20,21.9567,22.2040,False,21.2278,21.9567,reg,8282
TESS,2018-03-21,22.1051,22.6490,False,21.7095,22.0062,reg,17222
TESS,2018-03-22,22.6738,22.9952,False,21.9184,22.0062,reg,20691
TESS,2018-03-23,22.5501,22.8786,False,22.1051,22.8786,reg,11971
TESS,2018-03-26,23.0447,23.5886,False,21.8578,22.6985,reg,26748
TESS,2018-03-27,22.2534,23.2425,False,21.7095,22.9210,reg,17270
TESS,2018-03-28,21.6600,22.5996,False,20.8203,20.8203,reg,15316
TESS,2018-03-29,22.8963,23.4403,False,21.3138,21.6105,reg,17094
TESS,2018-04-02,22.7974,23.0941,False,22.5007,23.0447,reg,19332
TESS,2018-04-03,21.6105,22.8468,False,19.0390,22.8468,reg,17969
TESS,2018-04-04,21.5116,21.7095,False,20.6520,21.3633,reg,41535
TESS,2018-04-05,21.5116,22.2534,False,21.2644,21.6600,reg,59588
TESS,2018-04-06,20.8688,21.7095,False,20.6710,21.5611,reg,17052
TESS,2018-04-09,20.9182,21.1655,False,20.4237,21.0171,reg,28072
TESS,2018-04-10,20.7204,21.8578,False,20.5226,20.8688,reg,58947
TESS,2018-04-11,20.8193,21.5611,False,20.4732,20.7699,reg,13430
TESS,2018-04-12,20.5721,21.4622,False,20.4237,21.2149,reg,16877
TESS,2018-04-13,20.2259,21.7547,False,19.8797,20.4237,reg,28437
TESS,2018-04-16,19.7314,21.5611,False,19.2368,20.1764,reg,58483
TESS,2018-04-17,19.2368,19.6819,False,19.1379,19.6819,reg,13292
TESS,2018-04-18,19.0390,19.2863,False,18.7918,19.0390,reg,28620
TESS,2018-04-19,19.0390,19.3852,False,18.7423,19.0885,reg,17894
TESS,2018-04-20,18.0500,19.4643,False,17.9511,18.9401,reg,22811
TESS,2018-04-23,18.0500,18.4607,False,17.6059,18.2478,reg,28124
TESS,2018-04-24,18.1489,18.3962,False,17.8275,18.1489,reg,66013
TESS,2018-04-25,18.1489,18.6929,False,17.7533,17.9016,reg,48040
