date,open,high,low,close,volume
2018-01-02,7.2828,7.3971,6.9576,7.3419,39653
2018-01-03,7.3912,7.5686,7.333,7.4602,31870
2018-01-04,7.4503,7.5686,7.3419,7.5488,13753
2018-01-05,7.539,7.6277,7.4897,7.6027,6840
2018-01-08,7.6178,7.7065,7.5291,7.6375,21619
2018-01-09,7.7262,7.8741,7.7164,7.8445,81912
2018-01-10,7.8938,8.0615,7.8543,7.9824,47152
2018-01-11,8.15,9.6578,8.0416,9.0665,138928
2018-01-12,9.2636,9.2636,8.7413,8.8103,101537
2018-01-16,8.9187,8.9942,8.7709,8.8595,45577
2018-01-17,8.7709,8.968,8.7709,8.8201,44927
2018-01-18,8.8201,9.0123,8.7709,8.9088,14713
2018-01-19,8.8595,9.7407,8.8595,9.1059,15602
2018-01-22,9.0665,9.2242,9.0074,9.1059,9874
2018-01-23,9.1552,9.2031,8.899,9.0665,22354
2018-01-24,9.0074,9.032,8.8694,8.9975,14497
2018-01-25,9.1552,9.156,8.9877,9.0172,5098
2018-01-26,9.0172,9.0649,8.8694,8.9482,26212
2018-01-29,8.8694,9.1165,8.7709,9.0172,34406
2018-01-30,8.9975,9.1108,8.9088,9.0665,16656
2018-01-31,9.0566,9.2045,8.8201,8.8201,23901
2018-02-01,8.8004,9.1693,8.8004,9.1552,2890
2018-02-02,9.0172,9.0468,8.899,8.9088,26157
2018-02-05,8.8398,9.0665,8.8251,8.9581,47455
2018-02-06,8.8595,9.0271,8.6723,8.83,46385
2018-02-07,8.8004,8.9187,8.6822,8.899,30685
2018-02-08,8.8595,8.899,8.7807,8.8398,26683
2018-02-09,8.8694,8.899,8.6526,8.7216,57074
2018-02-12,8.7413,8.8595,8.6526,8.83,24815
2018-02-13,8.7613,8.7613,8.4555,8.6624,27460
2018-02-14,8.6624,8.8201,8.6624,8.7413,3888
2018-02-15,8.8004,8.8004,8.6575,8.7117,14548
2018-02-16,8.7019,8.8693,8.7019,8.8326,3024
2018-02-20,8.7709,8.9713,8.6785,8.6822,35264
2018-02-21,8.693,8.7405,8.693,8.7216,3611
2018-02-22,8.692,8.7906,8.692,8.7117,17328
2018-02-23,8.7117,8.8398,8.6723,8.7709,14330
2018-02-26,8.8398,9.0468,8.8398,9.0468,8819
2018-02-27,9.0665,9.0665,8.9581,8.968,21953
2018-02-28,8.9187,9.0468,8.9187,8.9975,14105
2018-03-01,8.9581,9.0505,8.9581,9.0172,32609
2018-03-02,8.9234,9.0468,8.9187,9.0369,13513
2018-03-05,8.9778,9.0665,8.9482,9.0172,43948
2018-03-06,8.968,9.0665,8.8695,8.968,63174
2018-03-07,8.9975,8.9975,8.8793,8.8793,112932
2018-03-08,8.9384,8.9384,8.6734,8.8398,17020
2018-03-09,8.9384,9.0566,8.9384,9.0172,45636
2018-03-12,8.9482,8.9975,8.9354,8.9482,15252
2018-03-13,9.0665,9.4607,9.0665,9.2045,36986
2018-03-14,9.1256,9.1256,8.8201,8.968,132095
2018-03-15,9.0369,9.0468,8.9581,8.9975,6670
2018-03-16,9.0074,9.2537,8.9779,9.2537,53123
2018-03-19,9.1946,9.4016,9.1552,9.4016,13293
2018-03-20,9.4016,9.5297,9.3917,9.4508,8297
2018-03-21,9.4016,9.6381,9.4016,9.5297,11082
2018-03-22,9.4231,9.5592,9.0961,9.372,41776
2018-03-23,9.4114,9.4311,9.2083,9.4213,16824
2018-03-26,9.4607,9.4607,9.303,9.4508,23795
2018-03-27,9.4607,9.5592,9.4039,9.5079,11010
2018-03-28,9.5,9.51,9.45,9.46,30608
2018-03-29,9.43,9.48,9.3,9.45,39420
2018-04-02,9.48,9.54,9.44,9.49,20160
2018-04-03,9.54,9.54,9.3,9.31,11829
2018-04-04,9.37,9.5099,9.02,9.2,32565
2018-04-05,9.25,9.43,9.14,9.15,10890
2018-04-06,9.11,9.33,8.9654,8.99,18346
2018-04-09,8.92,9.01,8.82,8.82,6315
2018-04-10,9.01,9.01,8.86,8.89,2040
2018-04-11,8.93,8.98,8.91,8.97,2298
2018-04-12,8.995,8.995,8.81,8.91,7849
2018-04-13,8.81,8.92,8.81,8.91,4499
2018-04-16,8.81,8.92,8.81,8.91,7243
2018-04-17,8.6601,8.91,8.6601,8.85,13546
2018-04-18,8.84,8.84,8.68,8.69,5620
2018-04-19,8.66,8.6601,8.031,8.35,14855
2018-04-20,8.3,8.42,8.21,8.39,7051
2018-04-23,8.0461,8.22,7.94,7.94,33915
2018-04-24,8.05,8.2145,7.62,7.66,27117
2018-04-25,7.8633,8.59,7.56,8.19,37400
2018-04-26,8.54,8.54,8.1,8.36,13795
2018-04-27,8.46,8.93,8.2,8.93,19531
2018-04-30,8.95,8.95,8.49,8.49,6046
2018-05-01,8.575,8.61,8.12,8.61,5345
2018-05-02,8.5,8.5,8.28,8.28,9397
2018-05-03,8.028,8.2102,8.028,8.11,2239
2018-05-04,8.15,8.6,8.12,8.5352,10411
2018-05-07,8.4758,8.88,8.25,8.37,12556
2018-05-08,8.5,8.75,8.26,8.26,15650
2018-05-09,8.41,8.81,8.41,8.76,6614
2018-05-10,8.56,8.81,8.38,8.6,9858
2018-05-11,8.5953,8.866,8.5953,8.75,7721
2018-05-14,8.65,8.9299,8.65,8.81,3083
2018-05-15,8.6569,8.79,8.6,8.65,3232
2018-05-16,8.66,8.883,8.66,8.8,7043
2018-05-17,8.73,8.8,8.73,8.8,6248
