date,open,high,low,close,volume
2018-01-02,23.74,24.15,23.73,24.15,2909
2018-01-03,24.06,24.06,23.87,23.99,2426
2018-01-04,23.91,23.91,23.68,23.68,2444
2018-01-05,40.64,41.0,40.39,40.73,136409
2018-01-08,40.65,40.75,38.011,40.74,40826
2018-01-09,40.7,40.74,40.45,40.45,14790
2018-01-10,40.85,40.95,40.45,40.47,16659
2018-01-11,40.99,41.09,40.9474,41.01,8042
2018-01-12,41.51,41.685,41.11,41.35,16798
2018-01-16,42.0,42.07,41.7,41.82,26740
2018-01-17,42.07,42.0937,41.85,42.08,14218
2018-01-18,42.1,42.32,41.97,42.19,6055
2018-01-19,42.071,42.09,41.89,41.94,1288
2018-01-22,42.03,42.04,41.96,42.0,2863
2018-01-23,41.85,42.0,41.85,42.0,1440
2018-01-24,42.1,42.45,42.1,42.45,3169
2018-01-25,42.73,42.73,42.09,42.57,800
2018-01-26,42.35,42.61,42.35,42.58,584
2018-01-29,42.27,42.27,42.27,42.27,171
2018-01-30,42.51,42.51,42.51,42.51,105
2018-01-31,42.65,43.33,42.65,43.33,2033
2018-02-01,43.08,43.08,43.08,43.08,457
2018-02-02,42.92,43.09,42.91,43.09,504
2018-02-05,42.3349,42.3349,42.1975,42.1975,793
2018-02-06,43.09,48.0,43.03,43.075,1439
2018-02-07,42.37,42.37,41.965,41.965,1502
2018-02-08,41.9337,42.2911,41.86,41.9537,1364
2018-02-09,41.85,41.85,41.65,41.7703,571
2018-02-12,42.22,42.22,42.05,42.12,1205
2018-02-13,,,,42.12,587
2018-02-14,41.83,41.83,41.83,41.83,178
2018-02-16,42.95,43.32,40.3278,42.75,6440
2018-02-20,42.6,42.6,39.56,39.56,907
2018-02-21,42.6444,42.6444,41.75,41.75,449
2018-02-22,42.665,42.82,41.92,41.92,1075
2018-02-23,40.77,40.77,40.77,40.77,194
2018-02-26,42.7,42.7,42.38,42.45,5832
2018-02-27,42.31,42.45,41.97,41.97,1313
2018-02-28,42.0,42.0,41.3,41.3,554
2018-03-01,41.03,41.03,41.03,41.03,306
2018-03-02,42.5,42.73,41.95,41.95,1606
2018-03-05,42.51,42.51,42.49,42.49,260
2018-03-06,43.1844,43.25,42.79,42.8,752
2018-03-07,41.13,41.13,41.13,41.13,272
2018-03-08,42.73,42.93,42.15,42.15,918
2018-03-09,42.43,42.69,42.34,42.34,886
2018-03-12,42.49,42.618,42.49,42.53,412
2018-03-13,42.6,42.93,42.6,42.61,1450
2018-03-14,42.3,42.7,41.9,41.9,2740
2018-03-15,42.3,42.5,42.05,42.05,1173
2018-03-16,42.01,42.01,42.01,42.01,344
2018-03-20,41.58,41.58,41.46,41.46,433
2018-03-21,41.71,41.8039,41.56,41.76,615
2018-03-22,41.68,41.68,41.68,41.68,103
2018-03-23,42.02,42.45,41.19,42.44,6833
2018-03-26,43.53,43.75,43.5,43.75,2657
2018-03-27,43.48,43.4806,43.48,43.4806,1231
2018-03-28,43.0901,43.0901,42.88,42.88,211
2018-03-29,43.1724,43.1724,43.1724,43.1724,301
2018-04-02,42.74,42.74,42.74,42.74,101
2018-04-03,42.94,43.0,42.94,43.0,329
2018-04-04,42.96,43.36,42.32,43.12,3801
2018-04-05,42.87,43.17,42.01,43.0,3712
2018-04-06,42.81,42.81,42.81,42.81,110
2018-04-09,42.86,42.86,42.86,42.86,230
2018-04-10,42.91,43.22,42.91,43.22,221
2018-04-11,43.24,43.24,43.03,43.03,685
2018-04-12,43.2,43.2,43.01,43.01,6215
2018-04-13,43.03,43.05,43.03,43.05,200
2018-04-16,43.5599,43.5599,43.31,43.31,646
2018-04-17,43.4,43.4,43.32,43.32,301
2018-04-19,43.09,43.09,43.09,43.09,101
2018-04-20,42.76,42.76,42.76,42.76,103
2018-04-23,42.24,42.24,42.24,42.24,102
2018-04-24,42.51,42.51,42.51,42.51,101
2018-04-25,42.6,42.6,42.6,42.6,102
2018-04-26,42.6,42.6,42.6,42.6,221
2018-04-27,42.6,42.6,42.5,42.5,3300
2018-04-30,42.5,42.5,42.5,42.5,261
2018-05-01,42.5192,42.52,42.4,42.4,1075
2018-05-02,42.1678,42.33,42.1678,42.32,1801
2018-05-03,42.32,42.32,42.2,42.2,2126
2018-05-04,42.47,42.6018,42.31,42.37,1444
2018-05-07,,,,42.37,201
2018-05-08,,,,42.37,1
2018-05-09,41.95,41.95,41.95,41.95,306
2018-05-11,42.21,42.21,41.71,41.81,20439
2018-05-14,,,,41.81,76
2018-05-16,41.41,41.61,41.11,41.11,3621
2018-05-17,41.5444,41.5444,41.5444,41.5444,179
