date,open,high,low,close,volume
2018-01-02,1.1367,1.22,1.1367,1.17,49456
2018-01-03,1.17,1.19,1.14,1.15,62872
2018-01-04,1.14,1.179,1.14,1.15,54325
2018-01-05,1.15,1.19,1.15,1.15,40270
2018-01-08,1.15,1.17,1.13,1.15,38203
2018-01-09,1.18,1.18,1.11,1.11,93230
2018-01-10,1.11,1.125,1.1,1.11,144169
2018-01-11,1.1101,1.13,1.1,1.11,59116
2018-01-12,1.11,1.12,1.07,1.1,95285
2018-01-16,1.1,1.11,1.07,1.07,45472
2018-01-17,1.07,1.12,1.06,1.09,78757
2018-01-18,1.12,1.12,1.06,1.1,22322
2018-01-19,1.09,1.2346,1.07,1.12,619742
2018-01-22,1.15,1.1699,1.14,1.14,101777
2018-01-23,1.14,1.15,1.14,1.15,32120
2018-01-24,1.15,1.188,1.15,1.1542,37414
2018-01-25,1.16,1.16,1.12,1.12,24010
2018-01-26,1.12,1.1465,1.11,1.1239,29413
2018-01-29,1.17,1.17,1.11,1.1199,22832
2018-01-30,1.11,1.129,1.1,1.1,9021
2018-01-31,1.1,1.1235,1.1,1.1046,38863
2018-02-01,1.11,1.126,1.09,1.12,45909
2018-02-02,1.09,1.09,1.02,1.03,132522
2018-02-05,1.03,1.03,1.0,1.0001,57250
2018-02-06,1.05,1.05,0.99,1.015,49117
2018-02-07,1.0228,1.06,1.0228,1.0452,35505
2018-02-08,1.03,1.047,0.99,1.01,78911
2018-02-09,1.01,1.0164,0.9879,0.9945,32202
2018-02-12,1.02,1.05,1.0,1.03,4649
2018-02-13,1.06,1.0638,1.0331,1.04,9633
2018-02-14,1.04,1.08,1.01,1.07,57471
2018-02-15,1.07,1.07,1.0462,1.0643,15217
2018-02-16,1.051,1.08,1.04,1.06,12343
2018-02-20,1.07,1.08,1.05,1.07,1961
2018-02-21,1.069,1.07,1.05,1.07,31476
2018-02-22,1.07,1.1,1.07,1.07,5378
2018-02-23,1.07,1.08,1.065,1.07,12442
2018-02-26,1.07,1.07,1.02,1.04,322410
2018-02-27,1.05,1.06,1.03,1.06,19182
2018-02-28,1.04,1.05,1.03,1.05,18751
2018-03-01,1.03,1.03,1.01,1.02,13184
2018-03-02,1.01,1.03,1.01,1.02,29530
2018-03-05,1.0201,1.06,1.02,1.04,31998
2018-03-06,1.0488,1.0488,1.02,1.04,60102
2018-03-07,1.02,1.05,1.02,1.05,14176
2018-03-08,1.04,1.06,1.04,1.05,11207
2018-03-09,1.06,1.068,1.02,1.0586,65600
2018-03-12,1.069,1.07,1.06,1.06,29510
2018-03-13,1.0552,1.0599,1.02,1.02,66678
2018-03-14,1.04,1.0599,1.02,1.04,22885
2018-03-15,1.045,1.045,1.01,1.01,88876
2018-03-16,1.01,1.02,0.99,1.0,137800
2018-03-19,1.02,1.02,0.99,0.99,19162
2018-03-20,0.99,0.995,0.95,0.9591,148006
2018-03-21,0.9648,0.9998,0.9648,0.99,36449
2018-03-22,0.99,0.9999,0.9749,0.99,16225
2018-03-23,0.99,0.9901,0.98,0.98,30391
2018-03-26,0.96,0.99,0.96,0.99,51202
2018-03-27,0.9997,1.0199,0.998,1.0,57302
2018-03-28,0.9801,1.01,0.97,0.99,16800
2018-03-29,0.99,0.9995,0.97,0.9993,35990
2018-04-02,0.98,0.99,0.97,0.98,88401
2018-04-03,0.98,0.9997,0.97,0.982,12560
2018-04-04,0.9945,0.9968,0.99,0.99,3867
2018-04-05,0.99,0.9968,0.9851,0.99,12299
2018-04-06,0.995,1.07,0.9801,1.0502,32432
2018-04-09,1.06,1.07,1.03,1.03,27776
2018-04-10,1.0341,1.09,1.0341,1.0857,16570
2018-04-11,1.07,1.071,1.05,1.05,19362
2018-04-12,1.04,1.07,1.04,1.06,6844
2018-04-13,1.05,1.09,1.05,1.09,6575
2018-04-16,1.07,1.09,1.07,1.09,8553
2018-04-17,1.08,1.11,1.08,1.09,33010
2018-04-18,1.09,1.11,1.09,1.1052,21108
2018-04-19,1.1,1.11,1.0972,1.1,18196
2018-04-20,1.08,1.12,1.08,1.12,18793
2018-04-23,1.12,1.12,1.09,1.0965,4219
2018-04-24,1.1,1.12,1.09,1.09,48900
2018-04-25,1.08,1.1111,1.08,1.1,10796
2018-04-26,1.1,1.12,1.1,1.11,23358
2018-04-27,1.1,1.1278,1.1,1.1278,19853
2018-04-30,1.11,1.14,1.11,1.12,20575
2018-05-01,1.1,1.13,1.08,1.11,68099
2018-05-02,1.1,1.13,1.0705,1.102,55860
2018-05-03,1.08,1.102,1.08,1.0801,8100
2018-05-04,1.08,1.1019,1.05,1.05,5040
2018-05-07,1.03,1.09,1.03,1.07,23100
2018-05-08,1.06,1.0804,1.06,1.0775,28084
2018-05-09,1.051,1.0747,1.051,1.06,2800
2018-05-10,1.0918,1.0918,1.07,1.08,6781
2018-05-11,1.0772,1.1045,1.0772,1.09,600
2018-05-14,1.0501,1.11,1.0501,1.08,6672
2018-05-15,1.08,1.08,1.08,1.08,320
2018-05-16,1.05,1.08,1.0375,1.08,31109
2018-05-17,1.0339,1.0675,1.0339,1.06,20802
