date,open,high,low,close,volume
2018-01-02,379.67,382.41,375.46,379.61,68736
2018-01-03,380.08,380.08,375.04,375.64,36178
2018-01-04,377.38,382.56,377.0,380.02,63788
2018-01-05,380.76,380.76,375.48,375.48,24262
2018-01-08,374.92,376.52,372.0,373.44,43626
2018-01-09,374.38,375.025,372.25,374.94,31545
2018-01-10,374.87,376.16,371.5,372.96,33227
2018-01-11,374.17,377.67,373.41,377.54,36512
2018-01-12,378.67,379.8925,372.175,373.38,63974
2018-01-16,375.1,375.2375,364.11,367.1,54539
2018-01-17,367.85,372.91,367.61,370.07,57729
2018-01-18,369.5,370.22,366.465,367.51,29432
2018-01-19,367.68,372.34,366.85,371.67,37576
2018-01-22,372.0,377.58,372.0,376.24,109715
2018-01-23,375.66,381.86,375.17,380.69,83396
2018-01-24,381.14,381.85,378.0,380.35,68388
2018-01-25,380.34,381.15,376.12,378.4,86528
2018-01-26,377.98,385.5,377.98,384.0,65884
2018-01-29,382.45,385.9999,373.24,374.26,85711
2018-01-30,371.01,372.58,361.22,370.63,137732
2018-01-31,371.33,374.0296,363.125,365.08,107092
2018-02-01,363.84,369.1389,363.7,365.19,44713
2018-02-02,363.91,368.075,358.5,359.6,121004
2018-02-05,358.72,362.125,351.05,351.43,134418
2018-02-06,347.96,357.59,347.96,351.69,170394
2018-02-07,351.37,357.6,351.16,354.33,158565
2018-02-08,353.91,363.65,349.0,351.67,112023
2018-02-09,354.99,356.65,345.17,353.31,110424
2018-02-12,355.13,358.31,348.745,354.34,56993
2018-02-13,351.81,352.67,348.345,351.96,35318
2018-02-14,349.19,356.69,349.14,355.5,43807
2018-02-15,356.24,356.24,348.3,349.33,48618
2018-02-16,347.57,351.74,346.88,349.45,57570
2018-02-20,346.82,356.02,346.82,354.5,77171
2018-02-21,353.38,353.73,350.7,351.14,72685
2018-02-22,352.89,355.42,349.18,349.18,48414
2018-02-23,350.45,354.565,349.0,353.63,30641
2018-02-26,355.15,356.35,351.19,354.5,25162
2018-02-27,354.63,356.66,348.1,348.35,62228
2018-02-28,349.0,351.11,343.13,344.0,151828
2018-03-01,345.13,346.415,332.46,335.87,90014
2018-03-02,332.87,335.26,330.11,331.17,117931
2018-03-05,329.66,336.9,326.295,331.69,130079
2018-03-06,332.12,335.25,328.26,332.82,54923
2018-03-07,330.44,330.865,327.61,329.075,81342
2018-03-08,330.31,331.475,327.1,328.46,71296
2018-03-09,330.09,342.47,328.77,341.44,95306
2018-03-12,342.34,342.34,333.99,336.95,89126
2018-03-13,338.78,344.81,335.5,340.71,85794
2018-03-14,341.7,345.0,339.63,340.39,48869
2018-03-15,341.7,342.5,339.5,340.56,40036
2018-03-16,343.86,345.07,340.555,343.95,100514
2018-03-19,342.47,344.48,339.14,343.92,57674
2018-03-20,344.4,345.8,340.81,341.43,61782
2018-03-21,342.29,343.33,339.0,342.06,27440
2018-03-22,339.71,344.0,336.101,340.0,128661
2018-03-23,340.75,345.47,336.14,338.0,76412
2018-03-26,341.72,345.005,340.0,343.57,90869
2018-03-27,345.0,345.58,337.77,341.57,71718
2018-03-28,341.77,348.07,341.77,342.78,50674
2018-03-29,343.21,350.42,343.09,345.1,67894
2018-04-02,343.64,346.775,337.77,341.88,62275
2018-04-03,342.76,353.5,341.8701,349.51,90559
2018-04-04,345.76,356.5,343.6,349.36,75862
2018-04-05,351.16,359.35,347.5,357.89,76871
2018-04-06,354.42,354.42,341.0,345.8,89357
2018-04-09,349.19,351.57,343.57,343.92,71029
2018-04-10,348.15,348.15,341.87,342.93,48117
2018-04-11,341.63,344.95,341.25,343.8,46064
2018-04-12,345.34,347.6,340.22,341.44,69413
2018-04-13,341.84,349.0,341.06,348.4,67270
2018-04-16,348.93,356.91,346.5548,351.16,61692
2018-04-17,352.21,352.21,347.18,349.49,51429
2018-04-18,349.14,355.49,346.94,349.94,74125
2018-04-19,349.5,349.5,344.28,344.65,39451
2018-04-20,345.02,345.02,339.86,339.9,46048
2018-04-23,340.51,345.07,340.01,343.88,38434
2018-04-24,344.66,345.555,338.005,341.47,29585
2018-04-25,340.54,345.91,340.02,345.55,57770
2018-04-26,347.81,347.81,339.21,341.61,39572
2018-04-27,344.19,344.19,339.1,343.96,33506
2018-04-30,344.35,344.35,335.96,337.52,47172
2018-05-01,337.38,337.57,334.25,336.22,39827
2018-05-02,335.91,339.76,333.94,336.14,40059
2018-05-03,335.11,335.97,328.0,333.22,36088
2018-05-04,331.35,337.46,326.6,331.78,51476
2018-05-07,331.92,334.425,329.21,332.08,44653
2018-05-08,336.13,337.39,332.44,335.73,66778
2018-05-09,336.15,340.44,335.99,336.91,76168
2018-05-10,338.06,344.0,336.3413,340.85,61024
2018-05-11,341.27,343.95,340.16,342.77,53722
2018-05-14,342.77,344.9,341.02,343.86,67387
2018-05-15,343.07,358.97,340.87,355.85,116469
2018-05-16,356.0,356.53,350.0,354.35,103916
2018-05-17,355.5,356.68,353.53,353.96,87997
