date,open,high,low,close,volume
2018-01-02,10.074,10.14,10.074,10.14,1100
2018-01-03,10.23,10.23,10.15,10.15,500
2018-01-04,,,,10.15,9
2018-01-05,10.13,10.13,10.1,10.1,104800
2018-01-10,10.1052,10.1052,10.1052,10.1052,202
2018-01-11,10.1,10.12,10.1,10.12,4000
2018-01-12,10.125,10.13,10.05,10.07,40475
2018-01-16,10.15,10.15,10.15,10.15,400
2018-01-19,10.16,10.16,10.11,10.11,1000
2018-01-23,10.0902,10.0902,10.0902,10.0902,101
2018-01-26,10.1,10.19,10.1,10.19,314
2018-01-30,10.14,10.19,10.14,10.19,200
2018-01-31,10.17,10.18,10.17,10.18,900
2018-02-01,10.15,10.2,10.15,10.2,200
2018-02-02,10.15,10.15,10.15,10.15,100
2018-02-05,10.1,10.1999,10.1,10.1999,1100
2018-02-06,10.11,10.15,10.08,10.15,3600
2018-02-07,10.08,10.14,10.08,10.14,700
2018-02-08,10.14,10.15,10.06,10.08,5200
2018-02-09,10.06,10.145,10.05,10.13,13777
2018-02-13,10.05,10.0999,10.05,10.065,6877
2018-02-15,10.07,10.07,10.019,10.019,300
2018-02-16,10.03,10.1,10.03,10.1,13250
2018-02-20,10.05,10.14,10.05,10.14,200
2018-02-22,10.09,10.09,10.09,10.09,100
2018-02-23,10.04,10.15,10.01,10.15,2653
2018-03-01,10.15,10.15,10.15,10.15,30769
2018-03-02,10.12,10.12,10.12,10.12,100
2018-03-09,10.2,10.2,10.2,10.2,1000
2018-03-12,10.18,10.18,10.18,10.18,50000
2018-03-13,10.18,10.18,10.18,10.18,1000
2018-03-16,10.18,10.2,10.18,10.2,8100
2018-03-26,10.18,10.19,10.18,10.19,5000
2018-03-27,10.18,10.2158,10.18,10.2158,5100
2018-03-28,10.22,10.25,10.19,10.25,30806
2018-03-29,10.23,10.23,10.23,10.23,100
2018-04-02,10.22,10.22,10.22,10.22,16641
2018-04-03,10.25,10.27,10.25,10.27,2500
2018-04-04,10.23,10.27,10.23,10.27,2100
2018-04-05,10.23,10.27,10.23,10.27,1600
2018-04-06,10.24,10.24,10.24,10.24,100
2018-04-09,10.12,10.27,10.12,10.26,2200
2018-04-10,10.15,10.28,10.15,10.28,13109
2018-04-23,10.27,10.27,10.27,10.27,500
2018-04-24,10.26,10.27,10.25,10.2501,54200
2018-04-25,10.17,10.27,10.17,10.27,5233
2018-04-26,10.2,10.3,10.2,10.3,1900
2018-04-30,10.3,10.3,10.3,10.3,100
2018-05-02,,,,10.3,1
2018-05-03,10.3,10.3,10.2567,10.2567,300
2018-05-04,10.25,10.25,10.25,10.25,650300
2018-05-07,10.21,10.25,10.2,10.25,6966
2018-05-08,10.25,10.25,10.25,10.25,400
2018-05-09,10.3,10.36,10.2993,10.2993,14500
2018-05-11,10.35,10.35,10.35,10.35,1000
2018-05-16,10.2808,10.35,10.26,10.29,4800
2018-05-17,10.26,10.26,10.25,10.25,840
