date,open,high,low,close,volume
2018-01-02,23.31,24.05,23.08,23.22,382508
2018-01-03,23.3,23.84,23.05,23.73,436453
2018-01-04,23.96,24.11,23.35,23.66,296306
2018-01-05,23.96,23.9928,23.1,23.41,456183
2018-01-08,23.49,24.61,22.8,24.01,596797
2018-01-09,24.25,24.45,23.08,23.27,427130
2018-01-10,23.04,23.49,22.9,23.38,227295
2018-01-11,23.45,23.45,23.03,23.18,112388
2018-01-12,23.11,24.16,22.85,23.33,277495
2018-01-16,23.48,24.5,22.81,22.89,477750
2018-01-17,23.06,23.4,22.7501,23.14,160229
2018-01-18,23.14,23.65,22.85,23.46,234526
2018-01-19,23.48,24.33,23.11,24.01,345691
2018-01-22,24.15,25.09,23.91,24.12,614186
2018-01-23,24.13,24.67,23.22,23.26,327991
2018-01-24,23.22,23.73,22.81,22.9,269385
2018-01-25,22.97,23.44,22.8395,23.01,136439
2018-01-26,23.29,23.59,23.0,23.24,104613
2018-01-29,23.13,23.4,22.9,22.96,215067
2018-01-30,22.86,23.42,22.79,23.15,142396
2018-01-31,23.3,23.371,17.55,17.75,1256531
2018-02-01,17.6,18.72,17.3,18.1,317166
2018-02-02,17.88,18.0352,15.8,16.19,383257
2018-02-05,16.03,16.91,15.6001,15.72,202151
2018-02-06,15.0,16.27,13.2726,15.8,688589
2018-02-07,16.0,16.0,14.74,15.01,235414
2018-02-08,15.52,15.9789,14.05,14.24,286326
2018-02-09,14.41,14.89,13.4,14.72,271926
2018-02-12,14.91,15.0,14.24,14.83,143065
2018-02-13,14.56,14.99,14.46,14.92,88212
2018-02-14,15.0,16.47,14.91,16.08,389088
2018-02-15,16.15,16.43,15.35,16.15,227641
2018-02-16,16.01,16.23,14.6,14.72,201838
2018-02-20,14.77,14.84,14.02,14.37,170924
2018-02-21,14.38,14.93,14.18,14.32,115041
2018-02-22,14.44,14.98,14.21,14.66,158515
2018-02-23,14.71,15.6,14.71,15.38,302495
2018-02-26,15.65,18.19,15.38,18.09,864118
2018-02-27,15.25,15.65,14.24,14.27,861446
2018-02-28,14.27,14.6204,13.755,13.95,229106
2018-03-01,13.57,13.8514,12.33,12.72,450322
2018-03-02,12.71,13.87,12.45,13.32,282125
2018-03-05,13.33,13.9786,13.1,13.92,122273
2018-03-06,14.0,14.07,13.26,13.42,139864
2018-03-07,13.29,14.95,13.29,14.69,282807
2018-03-08,15.08,15.5,13.3112,14.04,218803
2018-03-09,14.07,14.4,13.6,14.06,101387
2018-03-12,14.95,15.15,14.2921,15.1,321147
2018-03-13,15.34,15.51,14.0,14.36,273851
2018-03-14,14.38,14.978,14.3,14.66,140667
2018-03-15,14.51,15.25,14.51,15.14,148736
2018-03-16,15.31,17.4255,15.0358,16.1,439961
2018-03-19,15.94,16.47,15.3,15.7,141460
2018-03-20,15.74,16.2045,15.36,15.6,57218
2018-03-21,15.49,16.75,15.41,16.72,297278
2018-03-22,16.17,16.64,15.0,15.52,206791
2018-03-23,15.38,16.0,15.25,15.45,222033
2018-03-26,15.66,16.1799,13.67,14.96,291566
2018-03-27,15.0,15.0,13.7,13.82,254878
2018-03-28,13.8,14.51,13.5,13.72,126523
2018-03-29,13.69,14.51,13.61,13.92,147578
2018-04-02,13.76,14.13,13.57,14.06,107150
2018-04-03,14.18,14.3353,13.605,13.79,119380
2018-04-04,13.6,13.87,12.75,13.16,197261
2018-04-05,14.39,15.91,13.9837,15.32,840956
2018-04-06,15.17,17.1,15.0525,15.78,428594
2018-04-09,15.98,17.05,15.98,16.16,166550
2018-04-10,16.43,17.8,16.43,16.96,309815
2018-04-11,16.82,18.1999,16.61,17.51,364803
2018-04-12,17.67,17.93,16.96,17.22,149013
2018-04-13,17.32,17.75,16.92,17.2,114721
2018-04-16,17.28,18.35,16.96,17.23,207525
2018-04-17,17.38,17.77,16.9,17.15,109543
2018-04-18,17.24,17.4,16.78,16.95,126546
2018-04-19,16.9,17.27,16.5,17.11,86274
2018-04-20,17.01,17.45,16.8,17.05,63394
2018-04-23,18.0,18.79,17.55,17.6,581426
2018-04-24,17.61,18.06,17.0,17.17,157291
2018-04-25,17.17,17.57,16.82,16.87,83327
2018-04-26,17.77,18.88,17.57,18.59,321512
2018-04-27,18.59,19.95,18.59,19.57,297248
2018-04-30,20.38,21.7,20.28,20.71,371408
2018-05-01,20.97,21.2399,19.13,19.34,212694
2018-05-02,19.34,20.3,19.2427,20.05,143455
2018-05-03,20.05,20.5,19.36,20.38,154476
2018-05-04,20.13,21.39,20.0,21.25,246114
2018-05-07,21.34,21.55,20.02,20.57,220219
2018-05-08,20.47,20.67,19.605,20.18,210208
2018-05-09,20.24,23.49,20.13,22.48,550327
2018-05-10,22.49,23.8,21.501,21.72,258932
2018-05-11,21.74,22.5,21.23,22.18,163899
2018-05-14,22.37,22.37,20.94,21.47,145485
2018-05-15,21.13,21.88,20.611,21.26,129748
2018-05-16,21.56,22.15,21.52,21.78,118933
2018-05-17,21.78,22.48,21.78,22.27,94349
