date,open,high,low,close,volume
2018-01-02,77.1317,77.1614,76.282,76.5072,122068
2018-01-03,76.7947,76.9027,76.4972,76.8145,34298
2018-01-04,76.5568,76.874,76.418,76.8541,591445
2018-01-05,76.7154,76.9136,76.4379,76.6063,76093
2018-01-08,76.7748,76.8244,76.3535,76.527,99199
2018-01-09,76.0909,76.0909,75.5092,75.5258,76426
2018-01-10,74.8716,75.5853,74.8121,75.4961,146706
2018-01-11,75.3672,75.9025,75.2185,75.7736,166943
2018-01-12,75.625,76.0413,75.5754,75.9124,56434
2018-01-16,76.3486,76.3486,75.9521,76.1999,100734
2018-01-17,76.1999,76.5171,75.9223,76.0611,115137
2018-01-18,75.5456,75.7142,75.2781,75.3672,51811
2018-01-19,75.2383,75.3189,74.9707,74.9905,66752
2018-01-22,75.278,75.4267,74.9608,75.0599,69224
2018-01-23,75.4366,75.6349,75.1487,75.3672,30203
2018-01-24,74.9311,75.0104,74.6931,74.9608,39362
2018-01-25,75.1095,75.615,74.8815,75.5655,54284
2018-01-26,75.5159,75.5335,75.0401,75.2185,50852
2018-01-29,75.0302,75.0302,74.6337,74.941,757205
2018-01-30,74.6238,74.7229,74.2966,74.4651,679566
2018-01-31,74.8716,74.9266,74.3858,74.8517,126664
2018-02-01,74.9009,74.9108,73.7684,73.8181,145012
2018-02-02,73.5102,73.6095,72.9028,73.0929,256497
2018-02-05,72.9141,74.2949,72.0896,73.838,877274
2018-02-06,73.4108,73.8579,73.1029,73.2519,793390
2018-02-07,73.3711,73.5084,72.487,72.5963,143652
2018-02-08,72.1989,72.8446,72.1095,72.5367,128150
2018-02-09,72.1492,72.6559,72.03,72.0896,159197
2018-02-12,72.5069,72.8148,72.2672,72.4671,86018
2018-02-13,72.5267,72.7453,72.4075,72.6857,119127
2018-02-14,72.4671,72.5168,71.8413,71.9704,55177
2018-02-15,72.2784,72.6658,72.2029,72.2486,219054
2018-02-16,72.7254,72.8496,72.3679,72.5764,99653
2018-02-20,72.4771,72.4771,72.0698,72.3181,54248
2018-02-21,72.3479,72.3479,71.3744,71.4241,80833
2018-02-22,71.7221,71.9406,71.5731,71.6029,56620
2018-02-23,72.1492,72.338,71.9307,72.2088,17629
2018-02-26,72.5367,72.7254,72.2535,72.2784,35702
2018-02-27,72.4671,72.5963,71.7916,72.1393,55831
2018-02-28,72.4671,72.6261,72.328,72.5963,77551
2018-03-01,72.5937,73.2208,72.3349,73.1213,54755
2018-03-02,72.8625,72.9322,72.3758,72.4942,36242
2018-03-05,72.7231,72.7928,72.0762,72.325,440362
2018-03-06,72.5042,72.7431,72.3648,72.3748,37676
2018-03-07,72.6535,72.6734,72.315,72.3548,22508
2018-03-08,72.4843,72.8973,72.4843,72.7231,17779
2018-03-09,72.3349,72.4544,72.1259,72.2752,31826
2018-03-12,72.4444,72.7132,72.4411,72.7032,28161
2018-03-13,72.8824,73.1296,72.6734,73.0218,17024
2018-03-14,73.1213,73.7583,73.1213,73.6489,85793
2018-03-15,73.5991,73.7401,73.3911,73.6289,25117
2018-03-16,73.3602,73.4588,73.2109,73.2905,24014
2018-03-19,73.0417,73.4498,73.0253,73.191,51757
2018-03-20,72.8127,72.9819,72.8127,72.8625,38189
2018-03-21,72.6634,73.0616,72.3649,72.9322,36457
2018-03-22,73.6887,73.9423,73.3104,73.6389,89908
2018-03-23,73.3403,73.6688,73.3403,73.619,87891
2018-03-26,73.4697,73.7384,73.3204,73.3403,37160
2018-03-27,73.3901,74.1281,73.3901,74.0968,45387
2018-03-28,74.3556,74.475,74.0968,74.256,55422
2018-03-29,74.4352,74.8433,74.4103,74.6741,80072
2018-04-02,74.5091,75.0877,74.3105,74.7685,105603
2018-04-03,74.4592,74.5083,74.1599,74.2097,33733
2018-04-04,74.4292,74.519,73.9902,74.0701,354920
2018-04-05,73.7209,73.7907,73.5313,73.5413,44607
2018-04-06,74.0302,74.3594,73.8406,74.3594,24940
2018-04-09,74.0601,74.4492,73.8965,74.4292,24783
2018-04-10,74.3694,74.4648,74.1101,74.3295,27754
2018-04-11,74.7784,74.8233,74.4292,74.5789,36827
2018-04-12,74.2696,74.2696,73.8805,74.0302,29613
2018-04-13,73.9404,74.2796,73.9404,74.1998,62599
2018-04-16,73.7608,74.1998,73.6909,74.1998,66151
2018-04-17,74.1299,74.5889,74.1299,74.3993,35920
2018-04-18,74.3594,74.3943,73.7901,73.8007,38984
2018-04-19,73.2619,73.3322,72.9446,73.242,56031
2018-04-20,72.9626,73.1322,72.6733,72.7232,61181
2018-04-23,72.6134,72.803,72.5037,72.7631,50438
2018-04-24,72.5835,72.7232,72.3141,72.4139,56541
2018-04-25,72.1146,72.2542,71.786,71.9749,90492
2018-04-26,72.2842,72.4937,72.1944,72.4538,63651
2018-04-27,72.7032,73.0031,72.7032,72.9526,27073
2018-04-30,73.0624,73.3318,73.0324,73.1522,100484
2018-05-01,73.06,73.06,72.7208,72.84,46061
2018-05-02,72.98,73.08,72.74,72.77,49933
2018-05-03,73.1,73.34,73.02,73.09,581681
2018-05-04,73.33,73.35,72.93,73.17,127255
2018-05-07,73.18,73.18,73.02,73.08,74965
2018-05-08,72.94,73.112,72.77,73.02,157873
2018-05-09,72.71,72.86,72.59,72.63,114252
2018-05-10,72.92,73.21,72.8004,73.16,91567
2018-05-11,73.36,73.3954,73.08,73.33,204525
2018-05-14,73.06,73.17,72.94,72.95,30895
2018-05-15,72.31,72.31,71.8214,72.15,60428
2018-05-16,72.23,72.26,71.88,71.88,250637
2018-05-17,71.78,71.8552,71.47,71.52,28237
