date,open,high,low,close,volume
2018-01-02,66.5314,66.7506,66.3767,66.7407,131958
2018-01-03,66.9002,67.1245,66.8205,67.0597,214801
2018-01-04,67.3488,67.5083,67.1893,67.4086,196578
2018-01-05,67.7675,67.8966,67.59,67.8871,264743
2018-01-08,67.7177,67.7775,67.5881,67.7775,142955
2018-01-09,67.7775,67.7874,67.5382,67.718,126615
2018-01-10,67.5382,67.5382,67.1246,67.2392,130814
2018-01-11,67.0497,67.299,67.0398,67.299,154970
2018-01-12,67.299,67.8273,67.299,67.8273,165672
2018-01-16,68.0566,68.1462,67.7274,67.7974,155383
2018-01-17,68.1563,68.5042,67.9982,68.246,107313
2018-01-18,68.0367,68.1862,67.8871,68.0765,183248
2018-01-19,68.5351,68.57,68.3307,68.5351,92407
2018-01-22,68.6547,68.8873,68.575,68.8774,139027
2018-01-23,69.1033,69.3126,68.9348,69.2927,115809
2018-01-24,69.7313,69.8609,69.2927,69.5818,136022
2018-01-25,69.831,69.84,69.2229,69.3326,154344
2018-01-26,69.8709,70.17,69.7904,70.17,111253
2018-01-29,69.7014,69.7014,69.3436,69.4323,179290
2018-01-30,69.1133,69.1331,68.7245,68.7843,104402
2018-01-31,69.0634,69.1736,68.4274,68.6746,171800
2018-02-01,68.3656,68.5839,68.237,68.3955,100894
2018-02-02,67.7675,67.7874,66.9202,67.0198,154081
2018-02-05,66.2921,66.4426,64.3781,64.5476,312374
2018-02-06,63.79,65.704,63.5507,65.5245,218730
2018-02-07,64.8267,65.2753,64.5277,64.5476,196924
2018-02-08,64.5675,64.5675,62.8031,62.8629,228783
2018-02-09,63.4909,63.6902,61.9557,63.451,167750
2018-02-12,63.9495,64.5576,63.7202,64.3881,146010
2018-02-13,64.0791,64.398,63.9505,64.2585,82385
2018-02-14,64.1688,65.4348,63.9993,65.4348,74037
2018-02-15,65.8435,66.1227,65.5445,66.003,50794
2018-02-16,65.9931,66.5413,65.9238,66.2423,63551
2018-02-20,65.5046,65.5933,65.0859,65.2354,79951
2018-02-21,65.5843,66.1276,65.0759,65.0759,63261
2018-02-22,65.4647,65.8173,65.32,65.4547,52890
2018-02-23,65.7239,66.1625,65.6708,66.1625,54438
2018-02-26,66.1027,66.6225,66.0728,66.5413,69514
2018-02-27,66.023,66.0427,65.2952,65.2952,54305
2018-02-28,65.3451,65.36,64.4579,64.4579,149684
2018-03-01,64.3382,64.6851,63.6006,63.9096,116882
2018-03-02,63.6504,64.428,63.5707,64.2286,48235
2018-03-05,63.9993,64.9264,63.9993,64.9264,51848
2018-03-06,65.3451,65.3451,64.9069,65.0161,66071
2018-03-07,64.8167,65.1457,64.5894,65.066,63680
2018-03-08,65.0959,65.3301,65.0261,65.3052,43777
2018-03-09,65.5943,65.9532,65.4264,65.9033,42657
2018-03-12,65.9033,66.1276,65.8037,66.0828,77936
2018-03-13,66.2323,66.2722,65.4448,65.5744,73004
2018-03-14,65.9332,66.0604,65.4648,65.6691,92195
2018-03-15,65.7239,65.9004,65.3716,65.5245,99010
2018-03-16,65.6442,65.6442,65.1856,65.2055,40511
2018-03-19,65.066,65.066,64.5077,64.747,87678
2018-03-20,64.5675,65.1012,64.5675,64.9065,38698
2018-03-21,64.8167,65.2544,64.8167,65.0759,43406
2018-03-22,64.3482,64.428,63.6504,63.6504,79085
2018-03-23,63.7302,63.9893,62.9127,62.9127,90603
2018-03-26,63.76,64.339,63.401,64.22,47393
2018-03-27,64.21,64.6799,63.56,63.63,51922
2018-03-28,63.85,64.3476,63.6608,63.98,61654
2018-03-29,64.13,64.71,64.031,64.41,54592
2018-04-02,64.12,64.399,63.17,63.39,60924
2018-04-03,64.07,64.18,63.69,64.18,35397
2018-04-04,63.26,64.5,63.26,64.41,53695
2018-04-05,64.85,65.1426,64.8312,65.04,36950
2018-04-06,64.79,65.22,64.35,64.59,53663
2018-04-09,65.18,65.47,64.83,65.04,39676
2018-04-10,65.63,65.79,65.38,65.58,42578
2018-04-11,65.46,65.662,65.315,65.4,55915
2018-04-12,65.57,65.839,65.494,65.76,38326
2018-04-13,65.66,65.85,65.31,65.48,35968
2018-04-16,65.6,65.7299,65.49,65.64,35444
2018-04-17,65.89,66.2587,65.724,66.0,33612
2018-04-18,66.17,66.34,66.0662,66.26,88508
2018-04-19,66.12,66.2056,65.591,65.72,51208
2018-04-20,65.58,65.58,65.281,65.44,35217
2018-04-23,65.48,65.48,64.85,64.92,53738
2018-04-24,65.39,65.44,64.62,64.82,44579
2018-04-25,64.69,64.784,64.4,64.6797,67943
2018-04-26,65.06,65.34,65.0363,65.32,29871
2018-04-27,65.57,65.65,65.33,65.51,29045
2018-04-30,65.75,65.757,65.3801,65.44,45120
2018-05-01,65.37,65.37,64.77,65.22,33001
2018-05-02,65.31,65.6199,65.0235,65.12,34017
2018-05-03,65.17,65.21,64.5,65.03,65802
2018-05-04,64.9,65.59,64.81,65.47,51310
2018-05-07,65.53,65.7,65.39,65.39,77104
2018-05-08,65.41,65.69,65.4,65.6223,47241
2018-05-09,65.84,66.1,65.755,66.05,115752
2018-05-10,66.41,66.61,66.198,66.55,36112
2018-05-11,66.81,66.9,66.49,66.7,32314
2018-05-14,66.87,67.005,66.7985,66.83,34888
2018-05-15,66.3,66.3,65.89,66.15,154983
2018-05-16,66.29,66.7735,66.29,66.73,87763
2018-05-17,66.54,66.75,66.39,66.52,93822
