date,open,high,low,close,volume
2018-01-02,12.18,12.71,12.02,12.58,591373
2018-01-03,12.52,12.52,11.66,11.81,602804
2018-01-04,11.77,11.97,11.63,11.83,360187
2018-01-05,11.81,11.85,11.24,11.4,486421
2018-01-08,11.48,11.64,11.36,11.38,315089
2018-01-09,11.33,11.4,11.1,11.21,389321
2018-01-10,11.19,11.26,10.94,11.11,316238
2018-01-11,11.12,11.4,11.07,11.19,250952
2018-01-12,11.23,11.38,11.1,11.14,233613
2018-01-16,11.22,11.22,10.26,10.33,440039
2018-01-17,10.4,10.5,10.27,10.33,202922
2018-01-18,10.32,10.36,10.17,10.28,185087
2018-01-19,10.33,10.4,10.2,10.38,233609
2018-01-22,10.28,10.42,10.13,10.19,240461
2018-01-23,10.1,10.34,10.09,10.3,183082
2018-01-24,10.29,10.32,9.87,10.01,266057
2018-01-25,10.09,10.09,9.73,9.78,406307
2018-01-26,9.66,9.94,9.62,9.78,188569
2018-01-29,9.7,9.77,9.51,9.52,242064
2018-01-30,9.48,9.59,9.34,9.39,280609
2018-01-31,9.38,9.45,9.25,9.29,225421
2018-02-01,9.19,9.39,9.02,9.32,408576
2018-02-02,9.3,9.37,9.17,9.33,293282
2018-02-05,9.28,9.51,9.04,9.15,367701
2018-02-06,9.14,9.55,9.12,9.46,319596
2018-02-07,9.47,9.67,9.33,9.55,192011
2018-02-08,9.55,9.63,9.4025,9.56,280715
2018-02-09,9.69,9.89,9.45,9.83,283968
2018-02-12,9.9,10.19,9.59,9.87,264030
2018-02-13,9.86,10.03,9.86,9.96,181452
2018-02-14,9.93,10.37,9.8676,10.28,189791
2018-02-15,10.32,10.46,10.07,10.45,226741
2018-02-16,10.39,10.66,10.23,10.45,263142
2018-02-20,10.36,10.36,10.09,10.1,236831
2018-02-21,10.18,10.3967,9.87,9.87,195526
2018-02-22,9.86,10.03,9.7,9.88,170064
2018-02-23,9.95,10.14,9.88,10.11,138539
2018-02-26,10.19,10.42,10.13,10.23,304688
2018-02-27,10.33,10.41,9.93,10.0,229694
2018-02-28,10.08,10.25,9.94,10.06,234670
2018-03-01,10.1,10.21,9.79,10.08,201775
2018-03-02,9.98,10.29,9.81,10.23,182872
2018-03-05,10.22,10.4,10.13,10.24,163631
2018-03-06,10.23,10.55,10.105,10.52,258734
2018-03-07,10.45,10.78,10.375,10.66,291898
2018-03-08,10.7,10.7,10.34,10.4,218428
2018-03-09,10.47,10.51,10.11,10.28,275899
2018-03-12,10.32,10.37,10.0,10.11,271182
2018-03-13,10.12,10.42,10.12,10.3,324970
2018-03-14,10.6,10.85,9.32,9.45,1827652
2018-03-15,9.38,10.1804,9.38,9.88,568043
2018-03-16,9.88,10.23,9.755,10.21,668527
2018-03-19,10.21,10.61,10.11,10.58,468113
2018-03-20,10.58,10.74,10.475,10.7,279348
2018-03-21,10.64,10.7088,10.42,10.53,319640
2018-03-22,10.46,10.67,10.23,10.23,225883
2018-03-23,10.27,10.53,10.19,10.19,175577
2018-03-26,10.3,10.31,10.03,10.2,227698
2018-03-27,10.22,10.45,10.025,10.08,222550
2018-03-28,10.12,10.63,10.06,10.61,331782
2018-03-29,10.64,10.78,10.58,10.61,270070
2018-04-02,10.61,10.9,10.33,10.38,151319
2018-04-03,10.43,10.68,10.43,10.65,174201
2018-04-04,10.53,10.84,10.4,10.79,354299
2018-04-05,10.85,11.03,10.725,10.92,162822
2018-04-06,10.9,11.01,10.7104,10.88,189420
2018-04-09,10.94,11.01,10.74,10.76,201440
2018-04-10,10.84,11.04,10.76,10.96,151063
2018-04-11,10.92,11.03,10.83,10.91,133477
2018-04-12,10.95,11.0,10.81,10.96,176755
2018-04-13,11.02,11.16,10.87,10.92,149130
2018-04-16,10.93,11.12,10.8366,10.96,180396
2018-04-17,10.98,11.09,10.95,11.0,198035
2018-04-18,11.06,11.11,10.88,10.94,151643
2018-04-19,10.88,10.94,10.71,10.82,93931
2018-04-20,10.75,10.945,10.63,10.84,274369
2018-04-23,10.96,11.14,10.83,11.11,397690
2018-04-24,11.16,11.43,11.09,11.26,205246
2018-04-25,11.25,11.33,11.08,11.29,202435
2018-04-26,11.28,11.48,11.2,11.46,187000
2018-04-27,11.47,11.72,11.42,11.58,219409
2018-04-30,11.56,11.68,11.3002,11.38,177700
2018-05-01,11.32,11.32,10.84,11.02,247250
2018-05-02,11.0,11.13,10.96,11.08,162704
2018-05-03,11.06,11.09,10.66,10.72,169625
2018-05-04,10.71,10.72,10.37,10.38,116289
2018-05-07,10.37,10.51,10.2604,10.29,169787
2018-05-08,10.19,10.77,10.11,10.26,254473
2018-05-09,10.27,10.49,10.17,10.47,187189
2018-05-10,10.43,10.52,10.32,10.49,113956
2018-05-11,10.47,10.62,10.39,10.41,144628
2018-05-14,10.43,10.57,10.36,10.39,181570
2018-05-15,10.39,10.585,10.335,10.49,152445
2018-05-16,10.55,11.01,10.51,11.0,291825
2018-05-17,11.02,11.53,11.0,11.47,367030
