date,open,high,low,close,volume
2018-01-02,40.28,40.82,40.0,40.39,179760
2018-01-03,40.66,40.66,40.13,40.41,134197
2018-01-04,40.64,40.78,40.04,40.2,132136
2018-01-05,40.35,40.74,39.94,40.72,177694
2018-01-08,40.71,40.97,39.88,39.97,201523
2018-01-09,40.12,40.47,39.96,39.97,70875
2018-01-10,40.0,40.44,39.75,40.33,118049
2018-01-11,40.37,41.275,40.37,40.62,119859
2018-01-12,40.6,41.3989,40.6,40.89,261324
2018-01-16,41.3,41.8,40.33,40.52,284778
2018-01-17,40.55,41.32,40.485,40.6,107138
2018-01-18,40.65,40.9,40.27,40.39,96844
2018-01-19,40.32,40.98,40.2,40.61,130280
2018-01-22,40.36,40.79,39.8517,40.5,165215
2018-01-23,40.37,40.775,40.07,40.58,68348
2018-01-24,40.79,41.19,40.58,41.04,137342
2018-01-25,41.3,42.75,41.1532,42.75,438754
2018-01-26,42.82,43.54,42.5002,43.37,199124
2018-01-29,43.09,43.76,42.61,43.11,131134
2018-01-30,42.78,43.26,42.52,42.99,433550
2018-01-31,42.98,43.68,42.24,42.47,425101
2018-02-01,42.45,43.56,41.4,43.43,582141
2018-02-02,37.32,38.2925,34.355,34.61,2274293
2018-02-05,34.31,34.87,33.04,33.46,643138
2018-02-06,32.83,36.02,32.67,35.72,647583
2018-02-07,35.56,35.99,34.25,35.05,536636
2018-02-08,35.17,35.72,34.78,35.47,366014
2018-02-09,35.7,35.98,34.88,35.76,347717
2018-02-12,35.87,36.79,35.45,36.25,314457
2018-02-13,35.97,36.28,35.61,36.21,273443
2018-02-14,35.89,36.79,35.85,36.54,379163
2018-02-15,36.64,37.75,36.1937,37.1,334509
2018-02-16,36.95,37.48,36.69,37.13,214889
2018-02-20,36.78,37.21,36.38,36.47,177563
2018-02-21,36.6,37.37,36.46,36.53,137697
2018-02-22,36.76,37.01,36.13,36.24,195915
2018-02-23,36.34,36.51,36.045,36.23,154304
2018-02-26,36.24,36.81,36.24,36.66,260342
2018-02-27,36.55,37.0,36.52,36.55,175989
2018-02-28,36.71,36.9,34.84,34.89,212058
2018-03-01,34.82,35.06,34.03,34.3,306664
2018-03-02,34.18,36.01,34.18,35.77,197731
2018-03-05,35.7,37.13,35.66,36.46,355255
2018-03-06,36.65,37.2,36.58,37.01,215118
2018-03-07,36.74,37.46,36.0,37.44,191087
2018-03-08,37.51,37.69,37.14,37.44,122218
2018-03-09,37.55,38.2,37.51,38.03,132734
2018-03-12,38.2,39.05,38.2,38.41,202879
2018-03-13,38.45,39.1,38.18,38.86,175172
2018-03-14,38.93,39.15,37.8,38.01,299464
2018-03-15,38.19,38.39,37.06,37.42,155465
2018-03-16,37.35,37.92,37.01,37.65,538219
2018-03-19,37.65,37.65,36.44,37.04,176988
2018-03-20,36.88,37.32,36.38,36.5,199604
2018-03-21,36.57,37.52,36.28,37.21,185670
2018-03-22,36.83,37.21,36.11,36.23,153513
2018-03-23,36.12,36.679,35.7331,35.8,233956
2018-03-26,36.32,36.49,35.69,36.38,144540
2018-03-27,36.47,36.64,35.675,35.79,119548
2018-03-28,35.81,36.14,35.29,35.67,161538
2018-03-29,35.79,36.41,35.66,35.78,154508
2018-04-02,35.9,36.25,34.57,34.97,141459
2018-04-03,35.03,36.291,35.03,35.87,165241
2018-04-04,35.43,36.24,35.265,36.07,103616
2018-04-05,36.21,37.09,35.91,36.79,116647
2018-04-06,36.53,36.985,35.57,35.84,101641
2018-04-09,36.19,36.74,35.72,36.19,89643
2018-04-10,36.47,37.7,36.28,37.34,127112
2018-04-11,37.09,37.615,36.81,37.25,126445
2018-04-12,37.35,37.5,36.935,37.07,96563
2018-04-13,37.24,37.59,37.09,37.32,76213
2018-04-16,37.48,38.1,37.32,37.61,158736
2018-04-17,37.81,38.2,37.61,37.89,127514
2018-04-18,37.86,38.72,37.71,38.16,220628
2018-04-19,38.16,38.74,37.34,37.4,213960
2018-04-20,37.21,37.21,36.4,36.62,167463
2018-04-23,36.82,37.6047,36.7143,37.09,132588
2018-04-24,37.29,37.74,36.82,37.29,94912
2018-04-25,37.16,37.16,36.55,36.83,122358
2018-04-26,36.9,37.09,35.89,36.63,138451
2018-04-27,36.56,36.58,35.84,36.21,138526
2018-04-30,36.33,36.5599,35.96,35.99,167305
2018-05-01,35.91,36.75,35.61,36.74,170882
2018-05-02,36.54,37.35,36.3961,36.91,155712
2018-05-03,36.76,36.84,35.46,35.88,302975
2018-05-04,35.4,37.17,35.39,36.33,481870
2018-05-07,36.5,36.76,35.355,36.21,257533
2018-05-08,36.2,36.85,35.741,36.79,184648
2018-05-09,36.75,37.04,36.42,36.97,207314
2018-05-10,36.99,37.26,36.22,36.3,181430
2018-05-11,36.41,36.62,35.93,36.39,397449
2018-05-14,36.51,37.58,36.32,37.24,442234
2018-05-15,37.16,37.4,36.73,36.8,381425
2018-05-16,36.79,37.95,36.65,37.36,589065
2018-05-17,37.36,37.96,37.32,37.51,162861
