date,open,high,low,close,volume
2018-01-02,29.5916,29.5916,29.5916,29.5916,216
2018-01-03,29.4487,29.4487,29.4487,29.4487,148
2018-01-04,28.0511,28.4504,28.0511,28.4504,953
2018-01-05,28.4504,28.4504,28.2508,28.4504,6607
2018-01-09,28.151,28.2009,28.151,28.2009,227
2018-01-10,28.7,28.7,28.7,28.7,106
2018-01-11,29.4487,29.4487,28.9496,28.9995,2231
2018-01-12,28.9995,29.249,28.9995,29.249,1220
2018-01-16,29.1983,29.249,29.1983,29.249,1132
2018-01-17,,,,29.249,1
2018-01-18,,,,29.249,10
2018-01-19,,,,29.249,8
2018-01-22,29.249,29.249,29.1872,29.1991,1751
2018-01-23,,,,29.1991,2
2018-01-26,29.1991,29.1991,29.1991,29.1991,1093
2018-01-29,29.2361,29.2361,29.2361,29.2361,500
2018-01-30,29.1991,29.1991,29.1991,29.1991,102
2018-01-31,29.249,29.6484,29.1991,29.6484,2322
2018-02-01,29.1991,29.1991,29.0494,29.0494,1212
2018-02-02,29.1492,29.1492,29.1492,29.1492,1116
2018-02-05,29.2125,29.249,29.1492,29.2441,3108
2018-02-06,29.0494,29.1233,28.8231,28.8231,2323
2018-02-08,29.3988,29.3988,28.4504,28.4554,783
2018-02-12,,,,28.4554,45
2018-02-13,28.4504,29.4487,28.3702,28.9942,16030
2018-02-16,27.9563,28.8448,27.9563,28.8448,1200
2018-02-21,28.6574,28.6574,28.6574,28.6574,230
2018-02-22,28.6501,28.6501,28.6002,28.6002,1007
2018-02-23,,,,28.6002,13
2018-02-26,28.4504,29.2615,28.4504,28.9995,4329
2018-02-27,28.9596,29.0494,28.9496,29.0494,3314
2018-02-28,29.0494,29.0494,29.0494,29.0494,121
2018-03-01,,,,29.0494,17
2018-03-02,29.0494,29.0494,28.3007,28.8997,1029
2018-03-05,29.0494,29.0494,28.7,28.8997,6176
2018-03-06,28.9995,29.0494,28.5503,28.5503,8807
2018-03-07,28.8497,28.8497,28.0911,28.3007,1685
2018-03-08,28.3506,29.0494,28.3506,28.7998,5321
2018-03-09,28.4504,29.0095,28.2242,28.8909,6836
2018-03-12,28.8497,28.8497,28.7,28.7,301
2018-03-13,,,,28.7,120
2018-03-14,,,,28.7,122
2018-03-15,28.35,28.35,28.35,28.35,114
2018-03-16,29.0,29.3,29.0,29.3,1910
2018-03-19,,,,29.3,58
2018-03-20,28.96,28.96,28.95,28.95,1000
2018-03-21,29.65,29.7,29.0,29.0,833
2018-03-22,29.4,29.7,29.4,29.7,3206
2018-03-23,29.45,29.945,29.45,29.945,2277
2018-03-26,29.6938,29.6938,29.6938,29.6938,469
2018-03-27,29.6,29.6,29.6,29.6,242
2018-03-28,,,,29.6,1
2018-03-29,30.7,30.7,29.8,29.8,2155
2018-04-02,,,,29.8,75
2018-04-03,30.5,30.5,28.5,29.55,3348
2018-04-04,30.255,30.7,30.25,30.65,1894
2018-04-05,,,,30.65,9
2018-04-06,31.25,31.25,31.25,31.25,231
2018-04-09,31.25,31.25,30.7766,31.25,904
2018-04-10,31.25,31.75,31.25,31.75,2360
2018-04-11,,,,31.75,58
2018-04-12,,,,31.75,34
2018-04-13,,,,31.75,58
2018-04-16,,,,31.75,22
2018-04-17,31.5,31.5,31.375,31.5,1162
2018-04-18,31.067,31.5,31.067,31.5,444
2018-04-19,31.35,31.35,31.0,31.0,3123
2018-04-20,31.0,31.0,31.0,31.0,122
2018-04-23,,,,31.0,22
2018-04-24,,,,31.0,22
2018-04-25,31.75,31.75,31.75,31.75,313
2018-04-26,32.1971,32.505,31.8041,32.5,2969
2018-04-27,32.75,33.25,32.25,32.25,1336
2018-04-30,33.25,33.25,33.25,33.25,135
2018-05-01,32.9175,32.9175,32.25,32.25,1369
2018-05-02,32.0,32.4,31.6,32.35,8378
2018-05-04,,,,32.35,15
2018-05-07,32.3,32.35,32.3,32.35,295
2018-05-08,32.5,32.875,32.5,32.5,1699
2018-05-09,33.0,33.0,32.5,32.95,6052
2018-05-10,33.25,33.25,33.0,33.245,5271
2018-05-11,,,,33.245,38
2018-05-14,32.95,32.95,32.95,32.95,218
2018-05-15,32.55,33.25,32.447,33.0,4113
2018-05-16,33.75,33.75,32.3,32.4,5874
2018-05-17,32.5,32.5,32.5,32.5,489
