date,open,high,low,close,volume
2018-01-02,35.1,35.25,33.8,34.8,177628
2018-01-03,34.85,35.495,34.2,34.8,119385
2018-01-04,34.85,35.075,34.255,34.8,84191
2018-01-05,34.8,35.2498,33.3,33.55,76478
2018-01-08,33.2,33.2,31.9,32.55,152432
2018-01-09,32.65,32.725,31.65,32.45,99842
2018-01-10,32.3,34.25,31.75,33.9,205270
2018-01-11,33.9,37.4,33.3,37.35,164442
2018-01-12,37.25,37.25,34.51,36.55,210157
2018-01-16,36.7,37.55,36.35,37.1,188965
2018-01-17,37.1,38.05,36.775,37.55,152188
2018-01-18,37.35,38.3,36.825,38.0,110420
2018-01-19,37.6,38.6,37.6,38.0,164216
2018-01-22,38.0,39.495,37.65,39.4,124568
2018-01-23,39.5,41.2,39.35,40.05,236091
2018-01-24,40.3,40.8,39.6,40.75,140290
2018-01-25,41.0,41.5,40.05,40.25,40434
2018-01-26,40.4,42.05,39.35,39.5,287167
2018-01-29,39.35,41.145,37.95,38.4,123348
2018-01-30,37.95,40.35,36.95,40.0,121511
2018-01-31,40.1,41.15,39.5,40.0,109365
2018-02-01,40.1,40.45,38.95,40.2,160492
2018-02-02,39.75,39.8,38.3,39.2,98581
2018-02-05,39.0,39.75,38.15,38.55,56959
2018-02-06,37.7,39.55,37.0,39.5,122040
2018-02-07,39.3,40.25,38.725,39.8,61790
2018-02-08,39.95,39.95,38.3,39.65,80498
2018-02-09,39.75,41.55,39.3,41.25,176429
2018-02-12,41.45,42.65,40.05,41.2,78854
2018-02-13,41.0,42.3,40.55,42.3,51137
2018-02-14,41.95,48.8,41.95,48.35,349112
2018-02-15,48.85,52.5,48.85,52.25,329460
2018-02-16,52.4,55.0,50.3819,54.7,176782
2018-02-20,55.95,55.95,49.2,52.1,747520
2018-02-21,52.15,54.65,49.18,51.0,237365
2018-02-22,50.75,53.85,50.45,50.6,112162
2018-02-23,51.0,51.45,49.85,50.75,122276
2018-02-26,51.05,53.4,50.05,52.65,195323
2018-02-27,52.85,53.75,49.7098,53.35,189805
2018-02-28,53.35,53.8,50.8,50.95,235112
2018-03-01,50.95,50.95,48.3,49.8,142469
2018-03-02,49.75,49.75,45.7,47.75,243522
2018-03-05,47.45,50.1,47.0,49.0,242779
2018-03-06,49.0,50.45,45.25,45.7,150026
2018-03-07,45.15,48.25,43.45,47.5,239064
2018-03-08,47.65,48.55,45.71,46.2,88957
2018-03-09,46.45,47.6,45.65,47.0,103950
2018-03-12,46.9,48.3,44.85,44.9,135796
2018-03-13,44.9,49.7,43.2,43.3,149429
2018-03-14,43.6,43.6,41.7,42.3,102785
2018-03-15,42.6,44.65,40.0,40.35,205486
2018-03-16,40.4,41.8,40.15,41.5,277921
2018-03-19,41.5,43.9,39.49,40.2,133882
2018-03-20,40.2,41.55,39.8,40.55,99935
2018-03-21,40.55,42.65,40.55,41.85,116743
2018-03-22,41.25,41.725,39.8,40.35,129456
2018-03-23,40.85,41.45,39.5,39.7,137725
2018-03-26,40.3,40.325,38.75,39.85,78385
2018-03-27,39.95,40.9,38.55,39.75,236214
2018-03-28,39.65,39.9,37.6,38.55,207191
2018-03-29,38.7,40.3,38.4,40.1,145144
2018-04-02,40.0,41.05,38.0,40.0,204734
2018-04-03,40.5,41.8,40.0,41.55,148181
2018-04-04,40.85,42.845,40.0,40.65,259119
2018-04-05,40.9,41.25,40.45,40.8,105452
2018-04-06,40.6,41.3,39.4,39.8,93696
2018-04-09,40.1,46.1,40.1,43.45,376275
2018-04-10,44.0,46.45,40.6,44.3,217807
2018-04-11,44.3,45.15,41.8,42.05,78538
2018-04-12,42.35,44.0,41.55,42.65,143162
2018-04-13,42.85,42.85,39.61,40.95,121116
2018-04-16,41.3,41.85,39.7,41.1,76062
2018-04-17,41.3,43.0,40.0,42.05,83711
2018-04-18,42.25,43.9,41.2,42.2,137927
2018-04-19,42.0,42.35,41.01,42.0,78340
2018-04-20,42.0,43.75,42.0,43.5,111250
2018-04-23,43.65,44.7,42.9,44.6,216426
2018-04-24,44.6,45.7,43.75,45.55,164568
2018-04-25,45.5,45.5,44.15,45.05,184598
2018-04-26,45.35,46.8,44.75,45.15,72809
2018-04-27,45.2,45.25,44.0,45.1,70678
2018-04-30,45.35,45.35,43.95,44.45,101548
2018-05-01,43.95,44.35,42.4,44.1,140154
2018-05-02,44.2,45.0,42.45,44.7,105956
2018-05-03,44.5,44.6,43.3,43.7,149130
2018-05-04,43.6,43.7,42.35,42.95,118285
2018-05-07,43.0,43.6,41.9,42.65,124631
2018-05-08,42.55,43.85,41.65,43.6,141208
2018-05-09,41.6,43.6,40.75,42.65,164268
2018-05-10,42.75,43.75,39.95,40.6,229616
2018-05-11,40.7,40.7,39.0,39.2,147044
2018-05-14,39.35,39.65,38.85,39.35,177053
2018-05-15,39.25,41.125,38.9,39.6,87549
2018-05-16,39.65,41.8,38.85,41.6,124223
2018-05-17,41.45,44.2,41.45,43.05,186738
