date,open,high,low,close,volume
2018-01-02,14.52,15.2,14.5025,14.99,633176
2018-01-03,15.06,15.1,14.4,14.71,530880
2018-01-04,14.76,14.97,14.46,14.51,470391
2018-01-05,14.6,14.67,14.21,14.35,319218
2018-01-08,14.35,14.65,14.18,14.62,460951
2018-01-09,14.66,14.8,14.45,14.77,324542
2018-01-10,14.66,15.44,14.615,15.09,925662
2018-01-11,15.18,15.75,15.04,15.72,661067
2018-01-12,15.75,15.8,15.32,15.55,388996
2018-01-16,15.7,15.79,15.24,15.34,935149
2018-01-17,15.37,15.52,15.1,15.51,309794
2018-01-18,15.55,16.37,15.54,16.29,802841
2018-01-19,16.33,17.075,15.98,17.01,698925
2018-01-22,17.04,17.56,17.04,17.45,827632
2018-01-23,17.47,17.5,16.95,17.37,552994
2018-01-24,17.52,17.61,16.86,17.06,718324
2018-01-25,17.19,17.19,16.71,16.93,442902
2018-01-26,17.1,17.45,16.8501,17.16,427496
2018-01-29,17.15,17.25,16.36,16.38,727090
2018-01-30,16.14,16.31,15.7,15.77,757666
2018-01-31,15.92,16.46,15.83,15.97,605562
2018-02-01,15.76,16.02,15.64,15.81,615793
2018-02-02,13.1,14.21,12.05,12.34,3865715
2018-02-05,12.01,12.38,10.87,10.925,2522747
2018-02-06,10.52,11.27,10.13,10.45,2596919
2018-02-07,10.41,10.675,10.29,10.41,1402012
2018-02-08,10.36,10.58,9.63,9.63,1334522
2018-02-09,9.87,10.19,9.41,10.09,1668847
2018-02-12,10.19,10.225,9.78,9.88,1108797
2018-02-13,9.75,10.25,9.64,10.16,971751
2018-02-14,10.06,10.32,10.0366,10.06,798144
2018-02-15,10.19,10.19,9.83,9.92,1031633
2018-02-16,9.9,10.02,9.78,9.85,685830
2018-02-20,9.75,9.8041,9.52,9.6,582161
2018-02-21,9.6,9.85,9.6,9.62,532687
2018-02-22,9.71,9.7552,9.51,9.52,527343
2018-02-23,9.55,9.71,9.08,9.36,1704194
2018-02-26,9.45,9.5,9.33,9.42,661140
2018-02-27,9.47,9.5601,9.09,9.11,565912
2018-02-28,9.12,9.32,8.7,8.72,1108804
2018-03-01,8.74,9.125,8.55,8.75,865458
2018-03-02,8.65,8.862,8.54,8.82,596307
2018-03-05,8.73,8.98,8.57,8.86,685799
2018-03-06,8.93,9.115,8.87,9.07,572165
2018-03-07,8.96,9.17,8.92,9.07,592981
2018-03-08,9.07,9.22,8.84,9.09,509843
2018-03-09,9.12,10.165,9.06,10.11,1123572
2018-03-12,10.1,10.25,9.72,9.79,998921
2018-03-13,9.88,10.01,9.73,9.76,445291
2018-03-14,9.85,9.89,9.55,9.72,530677
2018-03-15,9.79,9.88,9.66,9.66,489679
2018-03-16,9.65,9.95,9.55,9.6,1217413
2018-03-19,9.52,9.71,9.4,9.68,567616
2018-03-20,9.7,9.79,9.6001,9.69,289293
2018-03-21,9.7,9.93,9.62,9.7,800377
2018-03-22,9.59,9.96,9.28,9.28,685490
2018-03-23,9.27,9.4,9.01,9.09,620031
2018-03-26,9.37,9.4399,8.71,8.88,885457
2018-03-27,8.92,8.95,8.455,8.51,677076
2018-03-28,8.52,8.78,8.315,8.48,494208
2018-03-29,8.56,9.03,8.54,8.83,1382850
2018-04-02,8.83,8.92,8.49,8.6,543422
2018-04-03,8.69,8.88,8.49,8.56,731044
2018-04-04,8.4,8.63,8.28,8.61,746623
2018-04-05,8.71,8.82,8.51,8.71,520250
2018-04-06,8.6,8.72,8.18,8.38,582556
2018-04-09,8.46,8.529,8.07,8.07,726855
2018-04-10,8.22,8.6001,8.17,8.38,1009089
2018-04-11,8.32,8.47,8.15,8.32,563438
2018-04-12,8.4,8.49,8.25,8.32,549244
2018-04-13,8.39,8.46,8.24,8.29,440496
2018-04-16,8.35,8.86,8.23,8.7,740296
2018-04-17,8.81,8.91,8.53,8.86,510309
2018-04-18,8.92,9.215,8.92,8.97,470064
2018-04-19,8.97,9.1,8.725,8.79,440265
2018-04-20,8.77,8.87,8.57,8.72,567057
2018-04-23,8.71,8.89,8.6699,8.79,399278
2018-04-24,8.86,9.15,8.38,8.62,555215
2018-04-25,8.6,8.859,8.46,8.68,549208
2018-04-26,8.68,8.7,8.24,8.43,1443912
2018-04-27,8.43,8.63,8.36,8.52,343207
2018-04-30,8.57,8.79,8.305,8.32,466914
2018-05-01,8.34,8.365,8.08,8.25,548216
2018-05-02,8.25,8.665,8.23,8.44,976340
2018-05-03,9.71,10.77,9.46,9.99,3353970
2018-05-04,9.82,9.98,9.51,9.77,1073541
2018-05-07,9.83,10.04,9.7,9.83,767473
2018-05-08,9.8,10.06,9.8,9.99,746693
2018-05-09,10.0,10.18,9.91,10.08,628804
2018-05-10,10.1,10.437,9.99,10.3,520189
2018-05-11,10.35,10.99,10.34,10.89,982391
2018-05-14,10.89,10.99,10.56,10.62,809262
2018-05-15,10.54,10.69,10.35,10.36,700519
2018-05-16,10.34,10.67,10.34,10.51,453281
2018-05-17,10.5,10.69,10.49,10.57,398642
